@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE vars_reduced_depth_1 NUMERIC
@ATTRIBUTE vars_reduced_depth_4 NUMERIC
@ATTRIBUTE vars_reduced_depth_16 NUMERIC
@ATTRIBUTE vars_reduced_depth_64 NUMERIC
@ATTRIBUTE vars_reduced_depth_256 NUMERIC
@ATTRIBUTE LPSLack_mean NUMERIC
@ATTRIBUTE LPSLack_coeff_variation NUMERIC
@ATTRIBUTE LPSLack_min NUMERIC
@ATTRIBUTE LPSLack_max NUMERIC
@ATTRIBUTE lpIntRatio NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC

@DATA
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1062911858.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.37596,0.648907524,0.2,1.0,0.832452707,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.115462874,0.0068,0.0225,3.687455557,0.080035988,0.063505254,0.0,0.371428571,2.998970788,0.001907816,0.230430967,0.0007,0.0041,2.857867716,0.1904,0.027491784,0.074928646,0.0202,0.042,0.02492556,0.073056211,0.019,0.0355,4.259948833,0.03021953,0.107776125,0.022039154,0.04775242,0.71818519,3.0,0.0,3.0,3.0,0.0,128.395833333,0.280670069,93.0,272.0,161.0,99.0,131.0,109.0,121.0,44.702285551,0.067079127,38.380165289,55.176470588,48.817391304,40.978947368,46.061538462,42.869230769,44.701923077,0.167976336,0.715730156,0.001010214,0.612733816,0.346459688,0.027450079,0.249103121,0.073046247,0.145531431,0.002832209,0.718717834,1.085e-06,0.015671034,0.005030565,0.001043617,0.003616593,0.001467618,0.002363586,0.0,0.0,0.0,0.028056112,0.254509018,0.0,0.0,0.0,0.0,0.0,28.3299,0.197875,95.6311,0.0822918,96.0,85.0,106.0,1.16135,0.214971,0.858272,0.0371507,24.6462,0.203519,95.8821,0.0811362,96.0,86.0,107.0,0.522917,0.422399,0.846007,0.0362714,0.498369018,0.611909443,10.53,5.312,-0.0,5.4,-0.0,-0.005745,0.3508,-0.01287,-0.0005817,5.633,-0.1699,3.67,-0.0,3.463,11.54,4.32
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1097591767.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.38168,0.646286521,0.2,1.0,0.845108926,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.111460734,0.0068,0.02,3.671948768,0.07942586,0.05736374,0.0,0.288888889,2.977426783,0.001942886,0.222513001,0.0007,0.0033,2.858758731,0.1939,0.027492986,0.075069059,0.0205,0.04,0.0249159,0.067977852,0.0185,0.0359,4.211799345,0.030363552,0.107218906,0.021834313,0.046537303,0.730196164,3.0,0.0,3.0,3.0,0.0,124.395833333,0.312456028,91.0,282.0,143.0,95.0,126.0,105.0,116.0,43.716135312,0.067026681,39.429752066,52.960992908,48.09375,40.175,45.112068966,41.766990291,43.459016393,0.167809295,0.666064537,1.4678e-05,0.516683157,0.335918987,0.030763785,0.238910041,0.078598513,0.151333775,0.002761547,0.718487876,5.684e-06,0.01669677,0.005349503,0.000951203,0.00341697,0.001459549,0.002282526,0.0,0.0,0.0,0.012024048,0.248496994,0.0,0.0,0.0,0.0,0.0,28.8129,0.190578,96.0357,0.0794716,96.0,86.0,106.0,1.17403,0.224845,0.858937,0.0392747,25.202,0.325677,95.2783,0.096091,95.0,85.0,106.0,0.525146,0.522258,0.847739,0.088414,0.497235211,0.633780853,11.85,6.043,-0.0,4.89,-0.0,-0.001806,0.282,-0.0112,-3.606e-05,6.816,-0.1169,4.445,-0.0,4.344,12.625,4.88
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1139517430.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.37016,0.651633268,0.2,1.0,0.819279705,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.114746702,0.0071,0.0214,3.67958385,0.08218289,0.063823631,0.0,0.375,3.035347536,0.001788577,0.255815717,0.0006,0.0054,2.859515721,0.1785,0.027534669,0.074275338,0.021,0.0411,0.0249183,0.072301598,0.0189,0.0352,4.266994991,0.030205664,0.107619552,0.022276029,0.047088482,0.721121596,3.0,0.0,3.0,3.0,0.0,130.1875,0.291977886,90.0,303.0,161.0,104.0,132.0,110.0,122.0,44.445095307,0.057406522,40.188976378,51.597359736,47.274509804,41.190839695,46.215517241,42.740458015,44.232,0.172012722,0.699031373,0.002111152,0.652158132,0.344025024,0.031774103,0.245217344,0.079593315,0.14457995,0.002805176,0.640923648,2.596e-06,0.013260902,0.005198122,0.000986704,0.003556384,0.001543572,0.002436565,0.0,0.0,0.0,0.004008016,0.270541082,0.0,0.0,0.0,0.0,0.0,29.0424,0.229042,95.5076,0.0914492,96.0,85.0,105.0,1.18147,0.234748,0.859613,0.0540134,25.0155,0.551463,95.4485,0.0948361,96.0,86.0,106.0,0.508668,0.413157,0.842196,0.0616148,0.494823549,0.635715516,11.61,5.93,-0.0,4.76,-0.0,-0.002192,0.2732,-0.01299,-4.93e-05,6.703,-0.1173,4.37,-0.0,4.273,12.37,4.79
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1180426174.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.377,0.652579196,0.2,1.0,0.836921144,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.104979552,0.0069,0.0185,3.621792067,0.078038352,0.061372555,0.0,0.305263158,3.004948609,0.00190481,0.231903496,0.0007,0.0033,2.865295337,0.1901,0.027621643,0.072282205,0.0216,0.038,0.02488662,0.065726726,0.0196,0.0328,4.196804604,0.030120859,0.108288738,0.022159285,0.044494024,0.722973014,3.0,0.0,3.0,3.0,0.0,130.85106383,0.326209662,88.0,310.0,162.0,100.0,129.0,112.0,119.0,44.183260596,0.056310067,39.219858156,50.951612903,47.123893805,40.359375,46.148148148,42.532258065,44.361344538,0.163594222,0.718622561,0.000229714,0.536632873,0.331449288,0.026548924,0.240515916,0.067586136,0.143053659,0.002697319,0.667904106,1.1353e-05,0.015184006,0.004899178,0.000998267,0.003393942,0.001520441,0.002244138,0.0,0.0,0.0,0.0,0.248496994,0.0,0.0,0.0,0.0,0.0,28.9502,0.242866,96.1728,0.0892533,97.0,86.0,106.0,1.17236,0.223057,0.86017,0.0570413,25.0789,0.199621,95.9924,0.0814941,96.0,86.0,106.0,0.513523,0.423575,0.846535,0.0360174,0.498165102,0.629736301,8.484,3.77,-0.0,7.434,-0.0,-0.0393,2.467,-0.001198,-0.006306,2.84,3.082,2.484,-0.0,1.914,11.1,5.24
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1193866207.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.37736,0.651872779,0.2,1.0,0.837458593,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.104804485,0.0072,0.0184,3.661040807,0.077446303,0.056657515,0.0,0.303370787,2.956741088,0.00189479,0.241870416,0.0007,0.0043,2.879085509,0.1891,0.027516232,0.070191594,0.0215,0.0388,0.02489652,0.06463211,0.0189,0.0324,4.180806143,0.030209526,0.106613558,0.021844725,0.045779685,0.719240911,3.0,0.0,3.0,3.0,0.0,127.083333333,0.347597274,83.0,343.0,147.0,93.0,129.0,105.0,119.0,44.300578716,0.063121535,39.7,53.539358601,48.609090909,40.762295082,45.533980583,42.247524752,44.025,0.163086858,0.675339404,0.000838171,0.550526704,0.313755326,0.025049353,0.223189913,0.071858063,0.158739246,0.002671263,0.699381279,1.3534e-05,0.014250783,0.004994811,0.000912161,0.003264522,0.001482427,0.002216362,0.0,0.0,0.0,0.0,0.344689379,0.0,0.0,0.0,0.0,0.0,29.3137,0.203042,95.4317,0.092769,95.0,85.0,105.0,1.15686,0.220312,0.856021,0.0461754,25.046,0.195193,96.1611,0.0837002,96.0,86.0,107.0,0.509643,0.420557,0.846686,0.036947,0.494558738,0.623724037,10.85,5.516,-0.0,5.168,-0.0,-0.004097,0.2996,-0.01268,-0.0002844,5.99,-0.1604,3.914,-0.0,3.717,11.805,4.43
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1227698674.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.36988,0.652391085,0.2,1.0,0.818948756,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.108842323,0.0072,0.0191,3.660609473,0.080899376,0.059263106,0.0,0.287128713,2.991540958,0.001790581,0.237634524,0.0007,0.0032,2.842789726,0.1787,0.027473347,0.072756157,0.0217,0.0393,0.02489694,0.06727758,0.0186,0.0335,4.213205553,0.030255028,0.10765674,0.022007722,0.04791715,0.721619282,3.0,0.0,3.0,3.0,0.0,122.87755102,0.321351024,86.0,286.0,154.0,95.0,125.0,101.0,115.0,44.472498356,0.062027562,40.237410072,52.804195804,47.991666667,40.846846847,46.163793103,42.52173913,44.088495575,0.16971916,0.670189349,0.000654522,0.530028131,0.333897539,0.029420498,0.251041289,0.078995618,0.154435632,0.002729545,0.664078034,8.793e-06,0.012345309,0.005162037,0.001071891,0.003534851,0.001476081,0.00213086,0.0,0.0,0.0,0.002004008,0.284569138,0.0,0.0,0.0,0.0,0.0,29.3206,0.184758,96.0399,0.080704,96.0,86.0,106.0,1.17042,0.212984,0.858259,0.0363853,25.6675,0.625917,95.04,0.0970704,95.0,85.0,106.0,0.514262,0.416756,0.842005,0.061531,0.494784558,0.597957253,8.99,4.195,-0.0,6.6,-0.0,-0.02637,1.677,-0.003462,-0.003565,3.63,1.695,2.871,-0.0,2.3,11.04,4.824
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1229019410.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.3768,0.644886766,0.2,1.0,0.832331013,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.116021619,0.0072,0.0227,3.672360074,0.079726555,0.064561924,0.0,0.369565217,3.009273953,0.001896794,0.247545678,0.0007,0.0053,2.883265401,0.1893,0.027540681,0.073724107,0.0216,0.0421,0.02492612,0.073055506,0.0191,0.0357,4.255109694,0.030139767,0.10787283,0.021886885,0.047115606,0.722382952,3.0,0.0,3.0,3.0,0.0,124.306122449,0.29176672,78.0,259.0,154.0,93.0,132.0,105.0,117.0,44.13107164,0.066135553,39.78030303,53.910931174,48.242857143,40.325,45.276190476,42.558441558,43.75,0.167367527,0.73088859,0.002328974,0.634797142,0.333412274,0.027316964,0.244149079,0.067985964,0.147545047,0.002805837,0.652039372,9.2e-07,0.011031733,0.005404582,0.000975018,0.003620164,0.001517995,0.002345986,0.0,0.0,0.0,0.0,0.166332665,0.0,0.0,0.0,0.0,0.0,28.0952,0.391657,96.2653,0.0920267,96.0,86.0,106.0,1.15274,0.276347,0.866234,0.201953,24.617,0.688527,95.3342,0.0978656,95.0,85.0,105.0,0.519794,0.870954,0.89756,1.15566,0.500351929,0.620393408,10.016,5.01,-0.0,5.5,-0.0,-0.00938,0.434,-0.01445,-0.001304,5.17,-0.1547,3.385,-0.0,3.162,11.08,4.19
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1239105171.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.37272,0.650099761,0.2,1.0,0.824970468,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.107102773,0.0072,0.0193,3.650178475,0.078250983,0.062370618,0.0,0.362637363,2.996928709,0.001845691,0.232764261,0.0008,0.0037,2.849738354,0.1842,0.027548697,0.071603419,0.0217,0.0402,0.02489012,0.067029262,0.0196,0.0342,4.209908708,0.030193068,0.10812644,0.021755289,0.045920502,0.726405502,3.0,0.0,3.0,3.0,0.0,126.083333333,0.338730192,82.0,323.0,160.0,96.0,127.0,106.0,116.0,44.32182418,0.06873507,37.159090909,53.745283019,48.197916667,41.010204082,46.162393162,42.37007874,43.843373494,0.16382373,0.719490502,0.001412409,0.60614668,0.329633368,0.032839482,0.233948869,0.066014764,0.139080493,0.00270581,0.62457741,6.775e-06,0.013353132,0.004937101,0.000999926,0.003528052,0.001466265,0.00228987,0.0,0.0,0.0,0.0,0.144288577,0.0,0.0,0.0,0.0,0.0,29.2283,0.193023,95.4183,0.0909214,96.0,86.0,105.0,1.17764,0.223652,0.858445,0.0446333,24.6905,0.191067,95.7187,0.0775713,96.0,85.0,105.0,0.505422,0.392307,0.845466,0.0340723,0.499784552,0.618293861,10.45,5.25,-0.0,5.605,-0.0,-0.00669,0.4163,-0.011955,-0.0007353,5.47,-0.1655,3.568,-0.0,3.35,11.54,4.344
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1241973064.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.37452,0.652062647,0.2,1.0,0.830492157,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.103416436,0.0072,0.0197,3.603792623,0.07793244,0.059208451,0.0,0.292929293,2.982042141,0.001873747,0.222927265,0.0009,0.0035,2.802333678,0.187,0.027533066,0.067588859,0.0223,0.0397,0.02487788,0.065092759,0.0191,0.0346,4.170262209,0.030211447,0.106104994,0.022192409,0.045327839,0.719993218,3.0,0.0,3.0,3.0,0.0,124.5625,0.289108652,91.0,264.0,147.0,95.0,128.0,106.0,118.0,45.177403947,0.061697383,39.931372549,53.727272727,49.134920635,41.633027523,47.011494253,43.202020202,45.212389381,0.165383559,0.69466877,0.001401259,0.519631693,0.334129402,0.030343747,0.236003129,0.066955382,0.148438515,0.00266603,0.628869582,5.832e-06,0.014174142,0.004634932,0.001060959,0.003336448,0.001504074,0.00230594,0.0,0.0,0.0,0.002004008,0.168336673,0.0,0.0,0.0,0.0,0.0,29.2912,0.458722,96.0133,0.0934568,96.0,86.0,107.0,1.18605,0.220872,0.85864,0.055611,23.99,0.198112,96.8358,0.0806614,97.0,87.0,107.0,0.517663,0.435036,0.846157,0.0358156,0.496211208,0.612050266,6.902,2.857,-0.0,8.58,-0.0,-0.0986,3.922,-0.0001802,-0.0148,1.148,5.418,1.87,-3e-07,1.064,10.734,5.816
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1316889648.cnf,1.0,500.0,10000.0,499.0,10000.0,0.002004008,0.0,0.0499,0.37624,0.651453761,0.2,1.0,0.834471099,0.01002004,0.0,0.01002004,0.01002004,0.0,0.0,0.0,0.0,0.01002004,0.117396647,0.0073,0.0232,3.668713193,0.080939187,0.061776763,0.0,0.333333333,3.023223896,0.001863727,0.249357969,0.0006,0.0055,2.86836512,0.186,0.027505812,0.075565361,0.0219,0.0421,0.02493444,0.074817957,0.0188,0.0351,4.277234531,0.030290716,0.108284818,0.022067122,0.045596273,0.72379278,3.0,0.0,3.0,3.0,0.0,125.6875,0.30212838,95.0,298.0,147.0,101.0,134.0,106.0,115.0,44.480192775,0.050492334,41.396551724,52.120805369,47.626262626,42.082568807,45.669421488,43.073684211,43.969072165,0.168671711,0.689659966,0.001699111,0.548281902,0.338671918,0.031414946,0.247009539,0.070989308,0.153208279,0.002784333,0.653355539,8.15e-07,0.011110367,0.005119444,0.000993474,0.003531311,0.00148085,0.002374075,0.0,0.0,0.0,0.008016032,0.226452906,0.0,0.0,0.0,0.0,0.0,29.3486,0.200648,95.7534,0.0932215,95.0,86.0,106.0,1.1816,0.223138,0.859659,0.0465622,24.7282,0.217235,96.0897,0.0957277,96.0,86.0,106.0,0.523669,0.470377,0.847873,0.0429449,0.496082234,0.653791142,9.57,4.684,-0.0,5.97,-0.0,-0.01567,0.902,-0.00905,-0.002218,4.508,0.2416,3.182,-0.0,2.758,11.04,4.41
