@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE lp NUMERIC
@ATTRIBUTE unit NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1044333250.cnf,1.0,0.03,0.0,0.01,60.23,0.06,2.0,0.47,2.04,2.06,2.0,9.83,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1071777737.cnf,1.0,0.03,0.01,0.0,60.25,0.06,2.0,0.46,2.05,2.06,2.0,11.31,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1072189690.cnf,1.0,0.03,0.0,0.0,60.37,0.06,2.0,0.46,2.06,2.08,2.0,9.88,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1080128151.cnf,1.0,0.03,0.01,0.0,60.18,0.06,2.0,0.47,2.06,2.06,2.0,10.4,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1144429584.cnf,1.0,0.03,0.01,0.0,60.3,0.06,2.0,0.46,2.04,2.07,2.0,9.48,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1152165462.cnf,1.0,0.03,0.01,0.0,60.15,0.06,2.0,0.46,2.07,2.08,2.0,8.86,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1152752166.cnf,1.0,0.03,0.0,0.01,60.38,0.06,1.99,0.47,2.09,2.07,2.0,10.11,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1159694041.cnf,1.0,0.04,0.0,0.0,60.23,0.06,2.0,0.47,2.06,2.06,2.0,8.83,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1172308130.cnf,1.0,0.03,0.0,0.01,60.15,0.06,2.0,0.47,2.05,2.06,2.0,7.6,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1233051374.cnf,1.0,0.03,0.01,0.0,60.26,0.06,1.99,0.47,2.08,2.04,2.0,11.52,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1248118414.cnf,1.0,0.03,0.0,0.01,60.09,0.06,2.0,0.47,2.08,2.04,2.0,9.37,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1295271896.cnf,1.0,0.03,0.0,0.01,60.19,0.06,2.01,0.47,2.04,2.07,2.0,9.42,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1330911511.cnf,1.0,0.03,0.01,0.0,60.21,0.06,1.99,0.47,2.08,2.08,2.0,9.94,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1340774023.cnf,1.0,0.03,0.01,0.0,60.03,0.05,2.01,0.47,2.08,2.05,2.0,9.93,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S136876608.cnf,1.0,0.03,0.0,0.01,60.2,0.07,2.0,0.47,2.06,2.05,2.0,9.45,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1440201108.cnf,1.0,0.03,0.01,0.0,60.38,0.06,2.0,0.47,2.03,2.09,2.0,9.36,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1462521088.cnf,1.0,0.03,0.0,0.01,60.1,0.06,2.01,0.47,2.06,2.08,2.0,10.11,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1462634952.cnf,1.0,0.03,0.0,0.01,60.35,0.06,2.0,0.47,2.05,2.06,2.0,9.09,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1513478340.cnf,1.0,0.03,0.01,0.0,60.05,0.08,2.0,0.47,2.06,2.06,2.0,9.77,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1517636928.cnf,1.0,0.04,0.01,0.0,60.08,0.06,1.99,0.47,2.04,2.06,2.0,12.0,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1646157872.cnf,1.0,0.03,0.0,0.01,60.12,0.06,2.0,0.47,2.08,2.07,2.0,9.36,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1647628826.cnf,1.0,0.03,0.0,0.01,60.4,0.06,1.99,0.46,2.07,2.07,2.0,7.91,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1659860366.cnf,1.0,0.03,0.01,0.0,60.39,0.06,2.0,0.47,2.06,2.07,2.0,10.4,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1728206308.cnf,1.0,0.03,0.0,0.01,60.27,0.06,1.99,0.47,2.06,2.09,2.0,10.98,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S179211713.cnf,1.0,0.03,0.01,0.0,60.21,0.06,2.0,0.46,2.05,2.06,2.0,9.54,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S183435475.cnf,1.0,0.03,0.01,0.0,60.15,0.06,2.0,0.47,2.05,2.08,2.0,10.86,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1834775432.cnf,1.0,0.04,0.0,0.01,60.34,0.06,1.99,0.47,2.08,2.07,2.0,9.19,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1838910507.cnf,1.0,0.03,0.01,0.0,60.25,0.06,2.0,0.47,2.05,2.07,2.0,10.37,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1890684424.cnf,1.0,0.03,0.01,0.0,60.24,0.06,2.01,0.47,2.09,2.07,2.0,12.24,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1959747584.cnf,1.0,0.03,0.0,0.01,60.17,0.06,2.0,0.46,2.06,2.07,2.0,11.8,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S1966109792.cnf,1.0,0.03,0.0,0.01,60.31,0.06,2.0,0.47,2.06,2.08,2.0,8.7,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S2071258402.cnf,1.0,0.03,0.0,0.01,60.36,0.06,1.99,0.47,2.05,2.06,2.0,9.04,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S2080920508.cnf,1.0,0.04,0.0,0.0,60.17,0.06,2.0,0.47,2.08,2.07,2.0,9.83,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S2132948384.cnf,1.0,0.03,0.0,0.0,60.01,0.06,2.0,0.46,2.05,2.05,2.0,12.22,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S2136808512.cnf,1.0,0.03,0.0,0.0,60.42,0.06,1.99,0.47,2.06,2.07,2.0,9.43,0.05,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S2140983396.cnf,1.0,0.03,0.0,0.01,60.22,0.06,2.0,0.46,2.04,2.08,2.0,10.48,0.06,0
instances/Sat_Data/jack_instances/7sat90.test/unif-k7-r85.00-v90-c7650-S229400918.cnf,1.0,0.03,0.0,0.01,60.04,0.06,2.0,0.46,2.07,2.08,2.0,8.85,0.06,0
