@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC

@DATA
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1062911858.cnf,1,10.53,5.312,-0.0,5.4,-0.0,-0.005745,0.3508,-0.01287,-0.0005817,5.633,-0.1699,3.67,-0.0,3.463,11.54,4.32
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1097591767.cnf,1,11.85,6.043,-0.0,4.89,-0.0,-0.001806,0.282,-0.0112,-3.606e-05,6.816,-0.1169,4.445,-0.0,4.344,12.625,4.88
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1139517430.cnf,1,11.61,5.93,-0.0,4.76,-0.0,-0.002192,0.2732,-0.01299,-4.93e-05,6.703,-0.1173,4.37,-0.0,4.273,12.37,4.79
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1180426174.cnf,1,8.484,3.77,-0.0,7.434,-0.0,-0.0393,2.467,-0.001198,-0.006306,2.84,3.082,2.484,-0.0,1.914,11.1,5.24
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1193866207.cnf,1,10.85,5.516,-0.0,5.168,-0.0,-0.004097,0.2996,-0.01268,-0.0002844,5.99,-0.1604,3.914,-0.0,3.717,11.805,4.43
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1227698674.cnf,1,8.99,4.195,-0.0,6.6,-0.0,-0.02637,1.677,-0.003462,-0.003565,3.63,1.695,2.871,-0.0,2.3,11.04,4.824
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1229019410.cnf,1,10.016,5.01,-0.0,5.5,-0.0,-0.00938,0.434,-0.01445,-0.001304,5.17,-0.1547,3.385,-0.0,3.162,11.08,4.19
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1239105171.cnf,1,10.45,5.25,-0.0,5.605,-0.0,-0.00669,0.4163,-0.011955,-0.0007353,5.47,-0.1655,3.568,-0.0,3.35,11.54,4.344
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1241973064.cnf,1,6.902,2.857,-0.0,8.58,-0.0,-0.0986,3.922,-0.0001802,-0.0148,1.148,5.418,1.87,-3e-07,1.064,10.734,5.816
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1316889648.cnf,1,9.57,4.684,-0.0,5.97,-0.0,-0.01567,0.902,-0.00905,-0.002218,4.508,0.2416,3.182,-0.0,2.758,11.04,4.41
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1317640000.cnf,1,12.22,6.242,-0.0,4.793,-0.0,-0.001483,0.3,-0.01049,-1.31e-05,7.125,-0.1007,4.664,-0.0,4.58,12.95,5.08
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1355263626.cnf,1,10.25,5.137,-0.0,5.613,-0.0,-0.008026,0.4429,-0.01262,-0.000982,5.3,-0.157,3.47,-0.0,3.242,11.35,4.29
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1385481939.cnf,1,9.875,4.875,-0.0,5.953,-0.0,-0.01262,0.76,-0.00933,-0.001612,4.78,0.0578,3.287,-0.0,2.91,11.266,4.406
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1410019786.cnf,1,13.44,6.824,-0.0,4.977,-0.0,-0.00074,0.4238,-0.005936,-6e-07,7.926,-0.07404,5.207,-0.0,5.152,14.2,5.758
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1415614852.cnf,1,10.8,5.48,-0.0,5.19,-0.0,-0.004314,0.3035,-0.01274,-0.0003197,5.934,-0.1624,3.877,-0.0,3.678,11.75,4.406
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1416579437.cnf,1,9.695,4.76,-0.0,5.996,-0.0,-0.01445,0.8657,-0.008865,-0.001959,4.6,0.1877,3.22,-0.0,2.809,11.15,4.426
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1466320372.cnf,1,10.984,5.586,-0.0,4.94,-0.0,-0.003586,0.2717,-0.01364,-0.0001844,6.184,-0.1481,4.023,-0.0,3.873,11.85,4.496
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1578401856.cnf,1,11.78,6.004,-0.0,4.844,-0.0,-0.001923,0.2798,-0.01154,-3.725e-05,6.797,-0.1171,4.426,-0.0,4.33,12.555,4.863
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1588365052.cnf,1,9.38,4.51,-0.0,6.25,-0.0,-0.01888,1.245,-0.00581,-0.002476,4.168,0.8022,3.09,-0.0,2.586,11.11,4.62
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1594207949.cnf,1,10.555,5.316,-0.0,5.54,-0.0,-0.005905,0.3884,-0.011955,-0.000611,5.586,-0.1693,3.64,-0.0,3.428,11.61,4.36
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1632216532.cnf,1,10.72,5.426,-0.0,5.383,-0.0,-0.00486,0.338,-0.01207,-0.0004206,5.785,-0.1685,3.781,-0.0,3.564,11.73,4.387
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1695060829.cnf,1,13.84,7.01,-0.0,5.047,-0.0,-0.0006065,0.481,-0.004887,-2e-07,8.18,-0.06586,5.395,-0.0,5.344,14.62,5.996
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1711956656.cnf,1,7.926,3.451,-0.0,7.63,-0.0,-0.0536,2.834,-0.0008087,-0.00882,2.39,3.68,2.285,-0.0,1.669,10.85,5.324
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1724699960.cnf,1,6.164,2.44,-0.0,9.23,-0.0,-0.1339,4.676,-6.62e-05,-0.02228,0.3306,6.56,1.584,-1.4e-06,0.6157,10.586,6.12
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1729104536.cnf,1,8.58,3.844,-0.0,7.28,-0.0,-0.03653,2.31,-0.001541,-0.00597,2.97,2.836,2.535,-0.0,1.978,11.07,5.156
instances/Sat_Data/jack_instances/5sat500.train/unif-k5-r20.00-v500-c10000-S1767069894.cnf,1,11.9,6.074,-0.0,4.88,-0.0,-0.001739,0.2822,-0.01098,-3.153e-05,6.863,-0.11475,4.48,-0.0,4.375,12.68,4.902
