@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
instances/Sat_Data/bmc/bmc08-100/pdtvisheap03.100.cnf,1.0,0.16,0.04,0.58,2.3,2.14,2.14,2.0,0.0391342639923095
instances/Sat_Data/bmc/bmc08-100/dme4p1neg.100.cnf,1.0,0.2,0.02,1.98,2.54,2.16,2.14,2.06,0.0529346466064453
instances/Sat_Data/bmc/bmc08-100/139462p1neg.100.cnf,1.0,1.08,0.16,2.0,4.84,2.7,2.66,2.3,0.5536971092224121
instances/Sat_Data/bmc/bmc08-100/bj08vsar6.100.cnf,1.0,0.04,0.02,0.24,1.06,2.08,2.26,2.0,0.0163817405700683
instances/Sat_Data/bmc/bmc08-100/prodconspold1.100.cnf,1.0,0.1,0.0,1.98,1.3,2.08,2.12,2.0,0.0270631313323974
instances/Sat_Data/bmc/bmc08-100/prodcellp2.100.cnf,1.0,0.04,0.0,1.98,0.62,2.06,2.12,2.0,0.0186073780059814
instances/Sat_Data/bmc/bmc08-100/pdtpmsgigamax.100.cnf,1.0,0.14,0.02,1.98,1.84,2.12,2.16,2.0,0.0787599086761474
instances/Sat_Data/bmc/bmc08-100/139464p5.100.cnf,1.0,2.44,0.34,2.0,9.04,3.56,3.46,2.38,1.3065695762634275
instances/Sat_Data/bmc/bmc08-100/bj08autg3f2.100.cnf,1.0,0.0,0.0,0.0,0.0,0.14,0.16,1.14,6.747245788574219e-05
instances/Sat_Data/bmc/bmc08-100/eijkS5378.100.cnf,1.0,0.38,0.06,2.0,3.06,2.26,2.24,2.0,0.4021539688110351
