@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE GNN_c6 NUMERIC
@ATTRIBUTE GNN_c14 NUMERIC
@ATTRIBUTE GNN_c29 NUMERIC

@DATA
instances/Sat_Data/bmc/bmc08-100/pdtvisheap03.100.cnf,1.0,0.16,0.04,0.58,2.3,2.14,2.14,2.0,0.0391342639923095,0.0046977996826171,0.0387425422668457
instances/Sat_Data/bmc/bmc08-100/dme4p1neg.100.cnf,1.0,0.2,0.02,1.98,2.54,2.16,2.14,2.06,0.0529346466064453,0.0067276954650878,0.0304172039031982
instances/Sat_Data/bmc/bmc08-100/139462p1neg.100.cnf,1.0,1.08,0.16,2.0,4.84,2.7,2.66,2.3,0.5536971092224121,0.039668321609497,0.5967648029327393
instances/Sat_Data/bmc/bmc08-100/bj08vsar6.100.cnf,1.0,0.04,0.02,0.24,1.06,2.08,2.26,2.0,0.0163817405700683,0.0031936168670654,0.013883352279663
instances/Sat_Data/bmc/bmc08-100/prodconspold1.100.cnf,1.0,0.1,0.0,1.98,1.3,2.08,2.12,2.0,0.0270631313323974,0.0052552223205566,0.0221831798553466
instances/Sat_Data/bmc/bmc08-100/prodcellp2.100.cnf,1.0,0.04,0.0,1.98,0.62,2.06,2.12,2.0,0.0186073780059814,0.0054638385772705,0.0141072273254394
instances/Sat_Data/bmc/bmc08-100/pdtpmsgigamax.100.cnf,1.0,0.14,0.02,1.98,1.84,2.12,2.16,2.0,0.0787599086761474,0.0093116760253906,0.0714409351348877
instances/Sat_Data/bmc/bmc08-100/139464p5.100.cnf,1.0,2.44,0.34,2.0,9.04,3.56,3.46,2.38,1.3065695762634275,0.080418586730957,1.440158128738403
instances/Sat_Data/bmc/bmc08-100/bj08autg3f2.100.cnf,1.0,0.0,0.0,0.0,0.0,0.14,0.16,1.14,6.747245788574219e-05,4.792213439941406e-05,4.839897155761719e-05
instances/Sat_Data/bmc/bmc08-100/eijkS5378.100.cnf,1.0,0.38,0.06,2.0,3.06,2.26,2.24,2.0,0.4021539688110351,0.4485898017883301,0.3753993511199951
instances/Sat_Data/bmc/bmc08-100/pdtvisvsa16a22.100.cnf,1.0,0.12,0.0,0.4,1.94,2.08,2.12,2.0,0,0,0
instances/Sat_Data/bmc/bmc08-100/pdtvisheap09.100.cnf,1.0,0.18,0.02,1.98,2.32,2.14,2.16,2.0,0.0450029373168945,0.0046436786651611,0.0364928245544433
instances/Sat_Data/bmc/bmc08-100/texasifetch1p5.100.cnf,1.0,0.0,0.0,0.04,0.2,2.14,2.4,2.0,0.0096025466918945,0.0018107891082763,0.0062360763549804
instances/Sat_Data/bmc/bmc08-100/dme5ptimo.100.cnf,1.0,0.24,0.02,2.0,2.6,2.14,2.12,2.02,0.0390117168426513,0.0075986385345458,0.0297207832336425
instances/Sat_Data/bmc/bmc08-100/dme6ptimonegnv.100.cnf,1.0,0.3,0.04,2.0,2.78,2.2,2.22,2.08,0.0495247840881347,0.0090422630310058,0.0361032485961914
instances/Sat_Data/bmc/bmc08-100/intel023.100.cnf,1.0,0.28,0.04,1.98,2.82,2.18,2.2,2.0,0,0,0
instances/Sat_Data/bmc/bmc08-100/intel030.100.cnf,1.0,4.82,0.66,2.02,14.12,5.04,4.9,2.14,0,0,0
instances/Sat_Data/bmc/bmc08-100/intel027.100.cnf,1.0,5.04,0.68,2.02,14.64,5.1,4.94,2.32,0,0,0
instances/Sat_Data/bmc/bmc08-100/cmudme1.100.cnf,1.0,0.04,0.0,1.98,0.58,2.08,2.28,2.0,0.0137345790863037,0.0018362998962402,0.0113720893859863
instances/Sat_Data/bmc/bmc08-100/prodconspold4.100.cnf,1.0,0.1,0.0,1.98,1.22,2.08,2.12,2.0,0.0240986347198486,0.0052306652069091,0.0200283527374267
instances/Sat_Data/bmc/bmc08-100/bj08amba2g3f3.100.cnf,1.0,0.22,0.02,1.98,2.6,2.14,2.14,2.0,0.0852835178375244,0.0085864067077636,0.0746152400970459
instances/Sat_Data/bmc/bmc08-100/intel014.100.cnf,1.0,4.38,0.58,2.02,12.4,4.56,4.48,2.08,0,0,0
instances/Sat_Data/bmc/bmc08-100/eijkS526.100.cnf,1.0,0.04,0.02,1.98,0.86,2.04,2.16,2.0,0.0320584774017334,0.011653184890747,0.0249660015106201
instances/Sat_Data/bmc/bmc08-100/139454p23.100.cnf,1.0,1.52,0.22,2.0,5.72,2.96,2.92,2.2,0.8667712211608887,0.0534093379974365,0.7551066875457764
instances/Sat_Data/bmc/bmc08-100/pdtvisvsar05.100.cnf,1.0,0.02,0.02,1.98,0.48,2.08,2.2,2.0,0.0135905742645263,0.0018167495727539,0.0137093067169189
instances/Sat_Data/bmc/bmc08-100/139462p24.100.cnf,1.0,1.08,0.14,2.0,4.74,2.64,2.64,2.14,0.6473314762115479,0.0402157306671142,0.6077935695648193
instances/Sat_Data/bmc/bmc08-100/139454p5.100.cnf,1.0,1.56,0.2,2.0,5.66,2.94,2.92,2.02,0.7152960300445557,0.0525157451629638,0.8293247222900391
instances/Sat_Data/bmc/bmc08-100/pdtvisvending03.100.cnf,1.0,0.12,0.02,1.98,1.62,2.1,2.1,2.0,0.0294246673583984,0.0036413669586181,0.0234677791595459
instances/Sat_Data/bmc/bmc08-100/pdtvisgigamax1.100.cnf,1.0,0.16,0.04,1.98,2.2,2.12,2.16,2.0,0.0632238388061523,0.005742073059082,0.0627455711364746
instances/Sat_Data/bmc/bmc08-100/neclaftp1002.100.cnf,1.0,5.42,0.74,2.02,16.24,5.46,5.26,2.06,13.349456071853638,0.3287253379821777,16.43694543838501
instances/Sat_Data/bmc/bmc08-100/eijkS208.100.cnf,1.0,0.02,0.0,1.96,0.48,2.08,2.38,2.0,0.0104715824127197,0.002202033996582,0.0122623443603515
instances/Sat_Data/bmc/bmc08-100/eijkS208c.100.cnf,1.0,0.02,0.0,1.96,0.22,2.12,2.4,2.0,0.0104672908782958,0.0017647743225097,0.0091471672058105
