@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
instances/Sat_Data/bmc/bmc08-100/pdtvistimeout2.100.cnf,1.0,0.14,0.04,0.0,0.0,1.98,2.4,2.12,2.14,2.0,0
instances/Sat_Data/bmc/bmc08-100/pdtvisheap03.100.cnf,1.0,0.16,0.04,0.0,0.0,0.58,2.3,2.14,2.14,2.0,6.592920669005252
instances/Sat_Data/bmc/bmc08-100/dme4p1neg.100.cnf,1.0,0.2,0.02,0.0,0.0,1.98,2.54,2.16,2.14,2.06,6.69837037200341
instances/Sat_Data/bmc/bmc08-100/139462p1neg.100.cnf,1.0,1.08,0.16,-0.0,-0.0,2.0,4.84,2.7,2.66,2.3,51.144374691997655
instances/Sat_Data/bmc/bmc08-100/bj08vsar6.100.cnf,1.0,0.04,0.02,0.0,0.0,0.24,1.06,2.08,2.26,2.0,2.950899360999756
instances/Sat_Data/bmc/bmc08-100/bjrb07amba9andenv.100.cnf,1.0,12.56,1.7,0.04,0.0,2.04,37.66,10.02,9.86,2.48,0
instances/Sat_Data/bmc/bmc08-100/prodconspold1.100.cnf,1.0,0.1,0.0,0.0,0.0,1.98,1.3,2.08,2.12,2.0,5.207000968999637
instances/Sat_Data/bmc/bmc08-100/prodcellp2.100.cnf,1.0,0.04,0.0,0.0,0.0,1.98,0.62,2.06,2.12,2.0,5.66970032899917
instances/Sat_Data/bmc/bmc08-100/pdtvisrethersqo0.100.cnf,1.0,0.1,0.02,0.0,0.0,1.98,1.54,2.08,2.12,2.0,0
instances/Sat_Data/bmc/bmc08-100/nusmvtcasp4.100.cnf,1.0,0.36,0.08,0.0,0.0,1.98,3.14,2.26,2.26,2.0,0
instances/Sat_Data/bmc/bmc08-100/pdtpmsgigamax.100.cnf,1.0,0.14,0.02,0.0,0.0,1.98,1.84,2.12,2.16,2.0,9.906453220999992
instances/Sat_Data/bmc/bmc08-100/139464p5.100.cnf,1.0,2.44,0.34,0.02,-0.0,2.0,9.04,3.56,3.46,2.38,76.98132514400004
instances/Sat_Data/bmc/bmc08-100/bj08autg3f2.100.cnf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.16,1.14,0
instances/Sat_Data/bmc/bmc08-100/pdtvisvsar11.100.cnf,1.0,0.02,0.02,0.0,0.0,0.12,0.46,2.06,2.26,2.0,0
instances/Sat_Data/bmc/bmc08-100/139452p23.100.cnf,1.0,0.62,0.06,0.02,0.0,2.0,3.52,2.42,2.4,2.02,0
instances/Sat_Data/bmc/bmc08-100/nusmvbrp.100.cnf,1.0,0.06,0.0,0.0,0.0,1.98,0.74,2.08,2.12,2.0,0
instances/Sat_Data/bmc/bmc08-100/kenoopp1.100.cnf,1.0,0.04,0.0,0.0,0.0,0.66,0.92,2.06,2.1,2.0,0
instances/Sat_Data/bmc/bmc08-100/eijkS5378.100.cnf,1.0,0.38,0.06,0.0,0.0,2.0,3.06,2.26,2.24,2.0,188.5343868239997
instances/Sat_Data/bmc/bmc08-100/pdtvisvsa16a27.100.cnf,1.0,0.12,0.02,0.0,0.0,1.98,1.62,2.08,2.12,2.0,0
instances/Sat_Data/bmc/bmc08-100/pdtvisvsa16a22.100.cnf,1.0,0.12,0.0,0.0,0.0,0.4,1.94,2.08,2.12,2.0,0
instances/Sat_Data/bmc/bmc08-100/intel066.100.cnf,1.0,1.26,0.14,-0.0,-0.0,2.0,5.18,2.78,2.8,2.04,0
instances/Sat_Data/bmc/bmc08-100/prodcellp2neg.100.cnf,1.0,0.04,0.0,0.0,0.0,1.26,0.62,2.06,2.1,2.02,0
instances/Sat_Data/bmc/bmc08-100/pdtvisheap09.100.cnf,1.0,0.18,0.02,0.0,0.0,1.98,2.32,2.14,2.16,2.0,6.530149529000482
instances/Sat_Data/bmc/bmc08-100/texasifetch1p5.100.cnf,1.0,0.0,0.0,0.0,0.0,0.04,0.2,2.14,2.4,2.0,0.6747867610000071
instances/Sat_Data/bmc/bmc08-100/intel064.100.cnf,1.0,2.32,0.3,0.02,-0.0,2.0,8.2,3.44,3.36,2.14,0
