@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC

@DATA
instances/Sat_Data/bmc/bmc08-100/pdtvistimeout2.100.cnf,1,0.14,0.04,0.0,0.0,1.98,2.4,2.12,2.14,2.0
instances/Sat_Data/bmc/bmc08-100/pdtvisheap03.100.cnf,1,0.16,0.04,0.0,0.0,0.58,2.3,2.14,2.14,2.0
instances/Sat_Data/bmc/bmc08-100/dme4p1neg.100.cnf,1,0.2,0.02,0.0,0.0,1.98,2.54,2.16,2.14,2.06
instances/Sat_Data/bmc/bmc08-100/139462p1neg.100.cnf,1,1.08,0.16,-0.0,-0.0,2.0,4.84,2.7,2.66,2.3
instances/Sat_Data/bmc/bmc08-100/bj08vsar6.100.cnf,1,0.04,0.02,0.0,0.0,0.24,1.06,2.08,2.26,2.0
instances/Sat_Data/bmc/bmc08-100/bjrb07amba9andenv.100.cnf,1,12.56,1.7,0.04,0.0,2.04,37.66,10.02,9.86,2.48
instances/Sat_Data/bmc/bmc08-100/prodconspold1.100.cnf,1,0.1,0.0,0.0,0.0,1.98,1.3,2.08,2.12,2.0
instances/Sat_Data/bmc/bmc08-100/prodcellp2.100.cnf,1,0.04,0.0,0.0,0.0,1.98,0.62,2.06,2.12,2.0
instances/Sat_Data/bmc/bmc08-100/pdtvisrethersqo0.100.cnf,1,0.1,0.02,0.0,0.0,1.98,1.54,2.08,2.12,2.0
instances/Sat_Data/bmc/bmc08-100/nusmvtcasp4.100.cnf,1,0.36,0.08,0.0,0.0,1.98,3.14,2.26,2.26,2.0
