@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars-clauses-ratio NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE VCG-CLAUSE-min NUMERIC
@ATTRIBUTE VCG-CLAUSE-max NUMERIC
@ATTRIBUTE VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY+ NUMERIC
@ATTRIBUTE TRINARY+ NUMERIC
@ATTRIBUTE cl-num-mean NUMERIC
@ATTRIBUTE cl-num-coeff-variation NUMERIC
@ATTRIBUTE cl-num-min NUMERIC
@ATTRIBUTE cl-num-max NUMERIC
@ATTRIBUTE cl-num-q90 NUMERIC
@ATTRIBUTE cl-num-q10 NUMERIC
@ATTRIBUTE cl-num-q75 NUMERIC
@ATTRIBUTE cl-num-q25 NUMERIC
@ATTRIBUTE cl-num-q50 NUMERIC
@ATTRIBUTE cl-size-mean NUMERIC
@ATTRIBUTE cl-size-coeff-variation NUMERIC
@ATTRIBUTE cl-size-min NUMERIC
@ATTRIBUTE cl-size-max NUMERIC
@ATTRIBUTE cl-size-q90 NUMERIC
@ATTRIBUTE cl-size-q10 NUMERIC
@ATTRIBUTE cl-size-q75 NUMERIC
@ATTRIBUTE cl-size-q25 NUMERIC
@ATTRIBUTE cl-size-q50 NUMERIC
@ATTRIBUTE SP-bias-mean NUMERIC
@ATTRIBUTE SP-bias-coeff-variation NUMERIC
@ATTRIBUTE SP-bias-min NUMERIC
@ATTRIBUTE SP-bias-max NUMERIC
@ATTRIBUTE SP-bias-q90 NUMERIC
@ATTRIBUTE SP-bias-q10 NUMERIC
@ATTRIBUTE SP-bias-q75 NUMERIC
@ATTRIBUTE SP-bias-q25 NUMERIC
@ATTRIBUTE SP-bias-q50 NUMERIC
@ATTRIBUTE SP-unconstraint-mean NUMERIC
@ATTRIBUTE SP-unconstraint-coeff-variation NUMERIC
@ATTRIBUTE SP-unconstraint-min NUMERIC
@ATTRIBUTE SP-unconstraint-max NUMERIC
@ATTRIBUTE SP-unconstraint-q90 NUMERIC
@ATTRIBUTE SP-unconstraint-q10 NUMERIC
@ATTRIBUTE SP-unconstraint-q75 NUMERIC
@ATTRIBUTE SP-unconstraint-q25 NUMERIC
@ATTRIBUTE SP-unconstraint-q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois-mean-depth-over-vars NUMERIC
@ATTRIBUTE lobjois-log-num-nodes-over-vars NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC
@ATTRIBUTE gnn_16 NUMERIC
@ATTRIBUTE gnn_17 NUMERIC
@ATTRIBUTE gnn_18 NUMERIC
@ATTRIBUTE gnn_19 NUMERIC
@ATTRIBUTE gnn_20 NUMERIC
@ATTRIBUTE gnn_21 NUMERIC
@ATTRIBUTE gnn_22 NUMERIC
@ATTRIBUTE gnn_23 NUMERIC
@ATTRIBUTE gnn_24 NUMERIC
@ATTRIBUTE gnn_25 NUMERIC
@ATTRIBUTE gnn_26 NUMERIC
@ATTRIBUTE gnn_27 NUMERIC
@ATTRIBUTE gnn_28 NUMERIC
@ATTRIBUTE gnn_29 NUMERIC
@ATTRIBUTE gnn_30 NUMERIC
@ATTRIBUTE gnn_31 NUMERIC
@ATTRIBUTE gnn_32 NUMERIC
@ATTRIBUTE gnn_33 NUMERIC
@ATTRIBUTE gnn_34 NUMERIC
@ATTRIBUTE gnn_35 NUMERIC
@ATTRIBUTE gnn_36 NUMERIC
@ATTRIBUTE gnn_37 NUMERIC
@ATTRIBUTE gnn_38 NUMERIC
@ATTRIBUTE gnn_39 NUMERIC
@ATTRIBUTE gnn_40 NUMERIC
@ATTRIBUTE gnn_41 NUMERIC
@ATTRIBUTE gnn_42 NUMERIC
@ATTRIBUTE gnn_43 NUMERIC
@ATTRIBUTE gnn_44 NUMERIC
@ATTRIBUTE gnn_45 NUMERIC
@ATTRIBUTE gnn_46 NUMERIC
@ATTRIBUTE gnn_47 NUMERIC

@DATA
instances/Sat_Data/circuit_fuzz/fuzz_100_6463.cnf,1.0,15202.0,51347.0,15199.0,51338.0,0.000197381,0.000175309,0.296057501,0.498755308,0.775416892,0.0,1.0,1.089725049,0.000172924,0.212857985,0.000131588,0.000394763,0.742974405,0.0,0.395574428,0.988059527,3948.0,0.0,3948.0,3948.0,3948.0,3948.0,3948.0,3948.0,3948.0,41.580800405,0.0,41.580800405,41.580800405,41.580800405,41.580800405,41.580800405,41.580800405,41.580800405,0.365709494,0.742130933,6.43e-07,1.0,0.734277489,0.022217022,0.605049849,0.091557831,0.362447008,0.080346087,0.691214472,0.0,0.286854213,0.153933234,0.004997968,0.12054332,0.032554354,0.077940089,831.733,1.35105,3119.6,0.27698,3317.0,3283.0,3385.0,0.689199,0.846745,0.88935,0.424263,717.341,0.227517,3360.73,0.0125238,3366.0,3298.0,3410.0,0.286743,0.703311,0.810766,0.0222375,0.146337583,0.377897505,108.29839,172.36284,1140.9125,442.9328,0.063031554,12.525742,1002.6656,1201.3173,0.13926846,1.6272024,229.10161,435.42514,244.76627,455.2216,36.655643,180.48218,747.6458,0.019548949,280.6539,500.0361,-0.007954353,184.88995,737.1418,0.36987108,0.834428,575.75525,465.25906,122.124985,3.3480377,84.36406,815.6627,793.74817,557.6121,0.22508605,777.131,1007.9449,312.80957,1163.5413,708.0063,161.5865,1120.2241,339.86523,137.5373,13.685033,2.3730636,726.6438,367.4395,390.0766
instances/Sat_Data/circuit_fuzz/fuzz_100_3546.cnf,1.0,1974.0,6894.0,1973.0,6891.0,0.000506842,0.00043535,0.286315484,0.496831616,0.769838667,0.0,1.0,1.19762942,0.001384163,0.270164933,0.001013685,0.003041054,0.906559769,0.0,0.375126977,0.945436076,4237.0,0.025531221,4077.0,4379.0,4379.0,4077.0,4379.0,4225.0,4267.0,41.666631388,0.131593771,33.393671818,48.285224937,48.285224937,33.393671818,48.285224937,40.671715976,44.315912819,0.362027628,0.706279372,1.2469e-05,1.0,0.72659638,0.041088204,0.585953188,0.120270832,0.345656757,0.071472573,0.696291172,0.0,0.306846117,0.138236819,0.006377967,0.105721186,0.029564056,0.067554694,79.2821,0.208782,434.137,0.0345637,434.0,416.0,454.0,0.689578,0.208903,0.803505,0.0238759,88.2194,0.1329,433.565,0.0494681,434.0,413.0,453.0,0.32322,0.307862,0.810888,0.0314116,0.255376301,0.623582931,0.810855,4.449304,15.701573,6.095583,-0.006730671,0.1111788,20.735664,15.894566,0.053330537,0.020537145,4.142094,16.310293,4.1049833,13.782231,0.7741923,3.3406048,12.098927,-0.010991147,9.716593,7.3412595,-0.012198301,8.936425,9.402108,-0.016003208,0.00079663214,8.353676,5.380729,5.9138765,0.19566953,0.7348596,38.627487,23.12748,23.981586,0.004183518,11.783889,41.519436,7.8155046,15.009092,25.935429,3.063606,20.562393,2.8697088,6.9676585,0.22560596,0.087883435,8.511562,15.079295,14.736202
instances/Sat_Data/circuit_fuzz/fuzz_100_17714.cnf,1.0,2352.0,7986.0,2351.0,7983.0,0.000425351,0.000375799,0.294500814,0.493511211,0.777334491,0.0,1.0,1.141297505,0.001141782,0.247531519,0.000850702,0.002552105,0.825994673,0.0,0.381811349,0.967931855,4204.5,0.021917803,4063.0,4296.0,4296.0,4063.0,4296.0,4183.0,4276.0,40.772557608,0.078337587,35.424070884,43.880121043,43.880121043,35.424070884,43.880121043,41.76452307,42.021515435,0.361433033,0.721696302,4.345e-06,1.0,0.725480743,0.031370944,0.588470754,0.109032205,0.347418991,0.075597418,0.693298453,0.0,0.332971296,0.14562075,0.006293873,0.114537141,0.031020728,0.072785291,85.1011,0.282618,513.978,0.0536202,515.0,494.0,536.0,0.664242,0.240817,0.80072,0.0401176,98.6478,0.0807595,513.254,0.0319578,513.0,492.0,534.0,0.324094,0.209333,0.807101,0.0161731,0.264084262,0.637854543,3.19147,8.551549,46.261597,17.04655,0.0480484,0.22448948,52.49169,46.429306,0.08086859,0.115062684,9.722125,30.325325,10.879495,28.445333,1.7216061,7.801775,32.41577,0.011068991,20.874008,20.305218,-0.012173747,17.315754,27.858656,-0.016990189,0.099234015,21.222452,16.543034,10.704164,0.6668184,2.408558,74.14819,51.251175,46.493187,0.013739319,32.217297,82.78962,15.651208,45.68571,51.696133,8.70386,50.47964,10.931549,13.839465,1.7094839,0.41604558,26.336271,31.463127,27.346247
instances/Sat_Data/circuit_fuzz/fuzz_100_28416.cnf,1.0,5037.0,17250.0,5036.0,17245.0,0.00019857,0.000289939,0.292026674,0.492463516,0.784316745,0.0,1.0,1.135741823,0.000528626,0.241326757,0.000397141,0.001191422,0.81531829,0.0,0.394317193,0.971875906,4183.333333333,0.024899092,4039.0,4281.0,4281.0,4039.0,4281.0,4039.0,4230.0,39.773101486,0.130655157,33.076008913,45.742349918,45.742349918,33.076008913,45.742349918,33.076008913,40.500945626,0.36490574,0.721050421,1.3217e-05,1.0,0.72967455,0.033402858,0.595227497,0.108322069,0.346129897,0.076094248,0.694259628,0.0,0.287168038,0.146975431,0.004836121,0.114416817,0.031046302,0.073568165,188.864,0.252718,1114.76,0.0226628,1111.5,1088.0,1145.0,0.596693,0.248317,0.795997,0.0227499,229.367,0.0598695,1112.46,0.0219669,1112.0,1080.0,1145.0,0.288523,0.207992,0.806733,0.0106324,0.203270932,0.530692326,4.4986734,13.352141,79.907364,25.90142,0.0107172,0.47259954,64.66392,82.5301,0.32146776,0.3410301,11.182934,25.125822,9.054585,28.51912,1.2825853,7.213161,59.41179,0.0021377606,11.768434,35.73165,-0.007890434,17.220594,49.910038,-0.0050509414,0.008902108,43.084652,35.169403,10.444636,0.35301277,12.024634,64.622635,42.490177,35.85424,0.04073853,59.647762,75.546326,24.932236,91.01501,51.577023,19.770252,79.83269,20.91822,13.834266,8.654397,0.46648452,53.649105,26.781734,24.562817
instances/Sat_Data/circuit_fuzz/fuzz_100_23226.cnf,1.0,2109.0,7142.0,2104.0,7128.0,0.002376426,0.001964085,0.295173962,0.494734381,0.782857276,0.0,1.0,1.167183085,0.001277829,0.259835835,0.00095057,0.002851711,0.86687341,0.0,0.394079686,0.958613917,4295.25,0.017258491,4209.0,4389.0,4389.0,4209.0,4389.0,4238.0,4345.0,43.468267292,0.121903268,36.094321692,49.763043974,49.763043974,36.094321692,49.763043974,41.030202926,46.985500575,0.370120377,0.689871132,0.000222815,1.0,0.725667241,0.041232553,0.584078648,0.133098732,0.352753756,0.075314172,0.692140003,0.0,0.34820937,0.143081988,0.007002593,0.112154889,0.031966038,0.071852398,72.3653,0.538629,461.534,0.0521426,462.0,443.0,482.0,0.656324,0.271846,0.802512,0.195233,87.9686,0.0941152,464.42,0.0353096,465.0,443.0,485.0,0.33752,0.224061,0.810411,0.0172302,0.275585752,0.697994136,2.5179648,9.44107,57.779564,19.329353,0.0036248923,0.055044834,49.781113,58.53935,0.09236139,0.13233486,8.085933,24.50303,7.73908,25.472155,2.1271703,7.017123,38.13505,-0.0028274118,13.95458,27.2822,-0.007089659,19.447193,35.443836,-0.011402078,0.055993177,29.781954,23.80593,8.882254,0.7253852,5.5667233,59.43133,36.973797,33.66382,0.06997237,42.946964,65.29602,19.255365,58.892376,47.71296,13.401927,58.165592,13.654005,10.874094,4.021684,0.21061876,35.324604,23.893051,20.907421
instances/Sat_Data/circuit_fuzz/fuzz_100_2327.cnf,1.0,5716.0,19441.0,5715.0,19438.0,0.000174978,0.000154337,0.29401173,0.498075934,0.77722752,0.0,1.0,1.124183595,0.000464937,0.23689525,0.000349956,0.001049869,0.801800895,0.0,0.393713345,0.975048873,3743.0,0.090633532,3270.0,4049.0,4049.0,3270.0,4049.0,3270.0,3910.0,49.92626904,0.030672758,48.334862385,51.994072611,51.994072611,48.334862385,51.994072611,48.334862385,49.449872123,0.365175567,0.714519759,1.7365e-05,1.0,0.719061221,0.031895539,0.592371389,0.105082195,0.361805047,0.077105099,0.692964291,0.0,0.26311726,0.148909509,0.005519827,0.116237871,0.030810906,0.074361049,209.086,0.187789,1254.75,0.0180187,1254.0,1227.0,1284.0,0.599455,0.201783,0.795617,0.0147401,256.236,0.333992,1244.7,0.074502,1252.0,1219.0,1283.0,0.293145,0.589969,0.81031,0.0824247,0.223638446,0.57128014,6.105871,16.124619,77.29161,30.19304,0.14211115,0.34139264,79.1395,84.076675,0.0750813,0.048657544,12.97912,43.81156,14.158563,42.30759,4.5813837,11.6257105,51.816437,-0.008134769,20.908878,32.619194,-0.009512873,23.25834,49.711052,-0.0035341934,0.0027098241,39.430218,26.828644,14.133937,1.1069098,2.4871635,92.45533,64.30311,50.9982,0.032795187,56.540863,114.60116,23.484829,78.49225,67.182785,16.459167,90.88119,20.68388,21.587978,3.3554862,0.20963566,53.767982,35.85026,29.090029
instances/Sat_Data/circuit_fuzz/fuzz_100_18548.cnf,1.0,3289.0,11193.0,3271.0,11109.0,0.005502904,0.007561437,0.294445945,0.503468659,0.765423656,0.0,1.0,1.130858574,0.000816731,0.239251373,0.000611434,0.001834301,0.812946046,0.0,0.385093168,0.971554595,4260.666666667,0.014797384,4187.0,4341.0,4341.0,4187.0,4341.0,4187.0,4254.0,47.799788946,0.086861561,42.015046573,51.564386086,51.564386086,42.015046573,51.564386086,42.015046573,49.81993418,0.365385245,0.730551355,2.2143e-05,1.0,0.722405109,0.030169307,0.597994703,0.105378521,0.345380296,0.076919786,0.697123763,0.0,0.329970859,0.147990695,0.005522059,0.114575915,0.030949792,0.074169658,119.492,0.263191,724.685,0.026199,724.0,700.0,748.0,0.641058,0.238501,0.800081,0.0231186,140.577,0.0687466,723.164,0.0247859,724.0,699.0,747.0,0.318054,0.191133,0.807655,0.0130807,0.232753003,0.62438881,2.0442204,12.227961,59.753017,22.745827,0.012124584,0.65565395,62.85116,61.318798,0.12223395,0.08562075,11.302408,39.722588,13.863533,34.513985,2.814388,10.608595,39.42282,-0.011127457,27.57545,28.02794,-0.013067077,24.021069,38.955116,0.0046413788,0.15897132,29.5026,23.207312,10.845659,0.9850146,3.0428007,82.67259,57.42834,56.51184,0.06484744,43.994034,94.16088,19.467045,57.61203,62.06219,10.871067,62.97994,16.437582,12.208909,0.9037578,1.096879,34.273174,38.486084,30.44461
instances/Sat_Data/circuit_fuzz/fuzz_100_27424.cnf,1.0,2472.0,8337.0,2471.0,8334.0,0.000404694,0.000359971,0.29649628,0.495768339,0.782625454,0.0,1.0,1.158775363,0.001078408,0.246961325,0.000809389,0.002428167,0.841064517,0.0,0.400167987,0.965922726,4264.0,0.028563534,4094.0,4373.0,4373.0,4094.0,4373.0,4094.0,4325.0,35.348137989,0.100791549,30.36272594,38.472901898,38.472901898,30.36272594,38.472901898,30.36272594,37.208786127,0.372180942,0.706556795,9.145e-06,1.0,0.729188445,0.034010928,0.600552932,0.116652868,0.361408941,0.075050638,0.705383974,0.0,0.314692638,0.146124063,0.006379903,0.112250585,0.029936782,0.071760718,83.0748,0.24273,548.006,0.0310317,548.0,527.0,569.0,0.655575,0.216396,0.796741,0.0217919,105.316,0.0912644,549.777,0.02998,550.0,529.0,570.0,0.362207,0.239586,0.811349,0.0151523,0.250228399,0.695866512,1.8539867,14.261751,63.820694,22.858383,-0.009582045,0.7144667,68.791245,65.41426,0.027890261,0.076033644,11.226628,41.46275,18.188763,36.234592,4.1859403,9.550007,40.21538,-0.0036983972,29.39977,29.606852,-0.011928998,25.16287,40.8457,-0.016134603,0.011384769,31.293732,25.61694,11.370053,1.802336,4.1224537,95.16075,67.452705,62.504204,-0.013755445,46.39908,101.7078,20.67185,60.447826,67.293106,11.752271,67.392136,15.982134,15.084364,1.2755466,0.58239096,35.881027,42.319595,35.16235
instances/Sat_Data/circuit_fuzz/fuzz_100_6173.cnf,1.0,2450.0,8582.0,2449.0,8577.0,0.00040833,0.000582954,0.285531071,0.496564455,0.776878775,0.0,1.0,1.196923077,0.00111097,0.278151057,0.00081666,0.00244998,0.911985059,0.0,0.389996502,0.945552058,4243.5,0.016814657,4162.0,4325.0,4325.0,4162.0,4325.0,4184.0,4303.0,37.573669254,0.128334087,30.414944738,43.029281896,43.029281896,30.414944738,43.029281896,36.129063098,40.721387283,0.380729553,0.673941524,0.000450519,1.0,0.731806861,0.049757182,0.606767998,0.141187932,0.374270069,0.070779691,0.698795303,0.0,0.315156117,0.138237951,0.005887954,0.103799527,0.029003691,0.067385345,98.2474,0.179073,548.151,0.0289759,548.0,528.0,569.0,0.673547,0.213386,0.802354,0.0198001,114.488,0.150097,546.989,0.0500329,549.0,526.0,569.0,0.337743,0.312495,0.813427,0.0371939,0.276272181,0.589533951,2.4559245,7.270758,38.793064,14.287398,7.6392294e-05,0.28191236,42.652367,39.175346,0.08357531,0.04797569,8.333199,24.62531,8.366321,23.016018,1.3404262,5.8528843,28.199326,-0.010959557,15.807805,17.090647,-0.010037444,13.537567,23.786573,-0.013510063,0.013177192,19.550236,14.789038,8.183119,0.5360415,3.0423672,57.26854,37.993908,35.48461,0.0030615346,27.718866,65.235664,14.276098,39.330597,42.07571,8.379852,43.017605,9.259606,10.563658,1.9673339,0.51862186,23.37819,24.447166,20.990103
instances/Sat_Data/circuit_fuzz/fuzz_100_29181.cnf,1.0,1491.0,5109.0,1490.0,5105.0,0.000671141,0.000783546,0.291870715,0.493979758,0.777887929,0.0,1.0,1.1991704,0.001834364,0.276263299,0.001342282,0.004026846,0.911144196,0.0,0.379040157,0.944564153,4325.0,0.020467979,4223.0,4463.0,4463.0,4223.0,4463.0,4282.0,4332.0,35.747790597,0.137424286,29.431920436,42.455523191,42.455523191,29.431920436,42.455523191,33.146193368,37.957525392,0.364024643,0.692036452,0.000215902,1.0,0.723515481,0.04555227,0.572556381,0.134164824,0.348475218,0.072759467,0.689170356,0.0,0.352372456,0.138836221,0.009044978,0.105786227,0.031796683,0.067795204,55.6545,0.269761,329.185,0.0500585,329.0,312.0,347.0,0.717118,0.219438,0.807564,0.0399593,63.8416,0.11029,329.826,0.0387978,330.0,313.0,346.0,0.356585,0.257893,0.815445,0.0202354,0.317289378,0.712086638,0.9796679,5.3869877,23.167992,8.788898,0.013796139,0.1599986,28.792273,23.504927,0.056893386,0.028136633,6.487093,19.425167,7.00498,17.960442,1.017347,4.8354435,16.752283,-0.015594083,12.43853,11.115519,-0.01278921,12.65174,14.668967,-0.017675733,0.0417743,11.73597,8.169713,8.347081,0.4729789,0.98970616,48.923515,30.988928,30.255743,0.0038391033,16.930075,52.256878,10.000394,21.778889,32.544098,4.263613,27.983864,5.639734,8.42857,0.4498992,0.1793418,12.474828,19.685944,17.753904
