@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE GNN_c6 NUMERIC
@ATTRIBUTE GNN_c14 NUMERIC
@ATTRIBUTE GNN_c29 NUMERIC

@DATA
instances/Sat_Data/circuit_fuzz/fuzz_100_6463.cnf,1.0,0.02,0.0,1.98,0.48,2.06,2.3,2.0,0,0.002310037612915,0.0135889053344726
instances/Sat_Data/circuit_fuzz/fuzz_100_3546.cnf,1.0,0.0,0.0,1.98,0.04,2.22,2.52,2.0,0,0.0014736652374267,0.0069127082824707
instances/Sat_Data/circuit_fuzz/fuzz_100_17714.cnf,1.0,0.0,0.0,1.98,0.06,2.24,2.66,2.0,0,0.001488447189331,0.0045740604400634
instances/Sat_Data/circuit_fuzz/fuzz_100_28416.cnf,1.0,0.0,0.0,1.98,0.12,2.16,2.36,2.0,0,0.0015504360198974,0.0066971778869628
instances/Sat_Data/circuit_fuzz/fuzz_100_23226.cnf,1.0,0.0,0.0,1.98,0.04,2.22,2.56,2.0,0,0.0015029907226562,0.0070698261260986
instances/Sat_Data/circuit_fuzz/fuzz_100_2327.cnf,1.0,0.0,0.0,1.96,0.18,2.14,2.46,2.0,0,0.0015997886657714,0.0072975158691406
instances/Sat_Data/circuit_fuzz/fuzz_100_18548.cnf,1.0,0.0,0.0,1.98,0.1,2.18,2.44,2.0,0,0.0017712116241455,0.0057766437530517
instances/Sat_Data/circuit_fuzz/fuzz_100_27424.cnf,1.0,0.0,0.0,1.92,0.06,2.26,2.58,2.0,0,0.0015068054199218,0.0070445537567138
instances/Sat_Data/circuit_fuzz/fuzz_100_6173.cnf,1.0,0.0,0.0,1.98,0.08,2.2,2.52,2.0,0,0.0014636516571044,0.0059614181518554
instances/Sat_Data/circuit_fuzz/fuzz_100_29181.cnf,1.0,0.0,0.0,1.88,0.04,2.26,2.6,2.0,0,0.0026564598083496,0.0064618587493896
instances/Sat_Data/circuit_fuzz/fuzz_100_7085.cnf,1.0,0.0,0.0,1.96,0.06,2.26,2.48,2.0,0,0.0014679431915283,0.0061266422271728
instances/Sat_Data/circuit_fuzz/fuzz_100_23681.cnf,1.0,0.0,0.0,1.98,0.06,2.18,2.48,2.0,0,0.0017855167388916,0.0060694217681884
instances/Sat_Data/circuit_fuzz/fuzz_100_911.cnf,1.0,0.0,0.02,1.98,0.26,2.1,2.3,2.0,0,0.0019135475158691,0.0106024742126464
instances/Sat_Data/circuit_fuzz/fuzz_100_22469.cnf,1.0,0.02,0.0,1.22,0.34,2.08,2.26,2.0,0,0.002110481262207,0.0120918750762939
