@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC

@DATA
instances/Sat_Data/circuit_fuzz/fuzz_100_6463.cnf,1.0,0.02,0.0,1.98,0.48,2.06,2.3,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_3546.cnf,1.0,0.0,0.0,1.98,0.04,2.22,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_17714.cnf,1.0,0.0,0.0,1.98,0.06,2.24,2.66,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_28416.cnf,1.0,0.0,0.0,1.98,0.12,2.16,2.36,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_23226.cnf,1.0,0.0,0.0,1.98,0.04,2.22,2.56,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_2327.cnf,1.0,0.0,0.0,1.96,0.18,2.14,2.46,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_18548.cnf,1.0,0.0,0.0,1.98,0.1,2.18,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_27424.cnf,1.0,0.0,0.0,1.92,0.06,2.26,2.58,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_6173.cnf,1.0,0.0,0.0,1.98,0.08,2.2,2.52,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29181.cnf,1.0,0.0,0.0,1.88,0.04,2.26,2.6,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_7085.cnf,1.0,0.0,0.0,1.96,0.06,2.26,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_23681.cnf,1.0,0.0,0.0,1.98,0.06,2.18,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_911.cnf,1.0,0.0,0.02,1.98,0.26,2.1,2.3,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_22469.cnf,1.0,0.02,0.0,1.22,0.34,2.08,2.26,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_17352.cnf,1.0,0.0,0.02,1.98,0.26,2.08,2.38,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_29710.cnf,1.0,0.0,0.0,1.98,0.06,2.18,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_11470.cnf,1.0,0.0,0.0,1.98,0.06,2.18,2.54,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_14661.cnf,1.0,0.0,0.0,0.36,0.06,2.22,2.48,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_6791.cnf,1.0,0.0,0.0,0.5,0.16,2.12,2.44,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_18681.cnf,1.0,0.0,0.0,1.98,0.08,2.22,2.4,2.0
instances/Sat_Data/circuit_fuzz/fuzz_100_16654.cnf,1.0,0.0,0.0,1.98,0.08,2.24,2.5,2.0
