@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC

@DATA
instances/Sat_Data/GI/iso_m2D_s36.AB00.cnf,1,0.0,0.0,0.0,0.0,0.0,0.01,2.12,2.21,2.0
instances/Sat_Data/GI/iso_m2D_m400.AB18.cnf,1,0.46,0.11,0.0,0.0,0.94,3.46,2.52,2.51,2.02
instances/Sat_Data/GI/iso_m4D_m1296.AB09.cnf,1,6.61,1.42,0.02,0.0,2.01,21.05,8.95,8.9,2.23
instances/Sat_Data/GI/iso_m4D_m625.AB20.cnf,1,0.4,0.1,0.0,0.0,0.79,3.3,2.46,2.44,2.04
instances/Sat_Data/GI/iso_m2D_m576.AB16.cnf,1,4.05,0.88,0.01,0.0,2.0,13.06,6.27,6.23,2.06
instances/Sat_Data/GI/iso_b03m_m800.AB12.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,2.19,1.83,0.14
instances/Sat_Data/GI/iso_b09_s40.AB13.cnf,1,0.09,0.02,0.0,0.0,0.21,2.32,2.13,2.13,2.0
instances/Sat_Data/GI/iso_m4Dr6_s16.AB23.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_b09_s40.AB11.cnf,1,0.09,0.02,0.0,0.0,0.21,2.33,2.14,2.12,2.01
instances/Sat_Data/GI/iso_m4Dr6_s16.AB13.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m4Dr6_s81.AB14.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_b03_s20.AB22.cnf,1,0.0,0.0,0.0,0.0,0.01,0.09,2.05,2.07,2.0
instances/Sat_Data/GI/iso_m2D_s100.AB20.cnf,1,0.0,0.0,0.0,0.0,0.01,0.34,2.08,2.2,2.0
instances/Sat_Data/GI/iso_b03m_s100.AB05.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.24,0.03
instances/Sat_Data/GI/iso_b03m_s60.AB12.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.15,0.01
instances/Sat_Data/GI/iso_m2D_s16.AB17.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.07,1.55
instances/Sat_Data/GI/iso_m2D_s64.AB21.cnf,1,0.0,0.0,0.0,0.0,0.0,0.07,2.09,2.18,2.0
instances/Sat_Data/GI/iso_b03_s40.AB05.cnf,1,0.04,0.01,0.0,0.0,0.09,0.54,2.09,2.08,2.0
instances/Sat_Data/GI/iso_m4Dr6_m625.AB04.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m4D_s81.AB20.cnf,1,0.0,0.0,0.0,0.0,0.0,0.12,2.1,2.17,2.0
instances/Sat_Data/GI/iso_b03m_s80.AB17.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_b03_s20.AB08.cnf,1,0.0,0.0,0.0,0.0,0.01,0.08,2.05,2.07,2.0
instances/Sat_Data/GI/iso_b03m_m1000.AB00.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,2.16,2.36,0.22
instances/Sat_Data/GI/iso_b03m_s40.AB22.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m2D_m400.AB15.cnf,1,0.48,0.1,0.01,0.0,0.96,3.45,2.51,2.51,2.14
instances/Sat_Data/GI/iso_m2D_m576.AB08.cnf,1,4.04,0.87,0.01,0.0,2.0,13.08,6.27,6.23,2.25
instances/Sat_Data/GI/iso_b03_s40.AB18.cnf,1,0.04,0.01,0.0,0.0,0.15,0.61,2.09,2.09,2.0
instances/Sat_Data/GI/iso_m4Dr6_m1296.AB20.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m2D_m400.AB06.cnf,1,0.47,0.11,0.0,0.0,0.95,3.43,2.52,2.51,2.07
instances/Sat_Data/GI/iso_m4D_m1296.AB15.cnf,1,6.6,1.42,0.02,0.0,2.02,20.99,8.92,8.88,3.42
instances/Sat_Data/GI/iso_b03m_m200.AB02.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m4Dr6_m1296.AB10.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m4Dr6_m625.AB14.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m2D_s64.AB22.cnf,1,0.0,0.0,0.0,0.0,0.0,0.03,2.1,2.17,2.0
instances/Sat_Data/GI/iso_b03_s40.AB14.cnf,1,0.04,0.01,0.0,0.0,0.14,0.61,2.08,2.08,2.0
instances/Sat_Data/GI/iso_m2D_s64.AB11.cnf,1,0.0,0.0,0.0,0.0,0.0,0.13,2.12,2.16,2.0
instances/Sat_Data/GI/iso_b03_s100.AB17.cnf,1,0.86,0.19,0.0,0.0,1.61,4.19,2.9,2.88,2.05
instances/Sat_Data/GI/iso_b03_s100.AB08.cnf,1,0.85,0.19,0.0,0.0,2.0,4.22,2.88,2.88,2.0
instances/Sat_Data/GI/iso_b03_s80.AB11.cnf,1,0.42,0.1,0.0,0.0,0.83,3.13,2.47,2.47,2.03
instances/Sat_Data/GI/iso_m4D_s81.AB04.cnf,1,0.0,0.0,0.0,0.0,0.0,0.13,2.08,2.18,2.0
instances/Sat_Data/GI/iso_m2D_m784.AB19.cnf,1,21.06,4.44,0.04,0.01,2.02,66.65,24.11,23.95,8.92
instances/Sat_Data/GI/iso_m2D_s81.AB20.cnf,1,0.0,0.0,0.0,0.0,0.0,0.17,2.1,2.19,2.0
instances/Sat_Data/GI/iso_b09_s40.AB01.cnf,1,0.09,0.03,0.0,0.0,0.21,1.07,2.12,2.13,2.0
instances/Sat_Data/GI/usr1.cnf,1,0.03,0.01,0.0,0.0,1.73,2.1,2.05,2.06,2.0
instances/Sat_Data/GI/crafted_n12_d6_c3_num19.cnf,1,4.03,0.89,0.01,0.0,2.0,12.86,6.23,6.19,2.05
instances/Sat_Data/GI/crafted_n14_d3_c2_num24.cnf,1,0.04,0.01,0.0,0.0,0.23,2.11,2.07,2.14,2.0
instances/Sat_Data/GI/crafted_n12_d5_c4_num18.cnf,1,1.23,0.27,0.01,0.0,2.0,5.82,3.29,3.28,2.0
instances/Sat_Data/GI/crafted_n18_d3_c3_num24.cnf,1,0.12,0.03,0.0,0.0,0.63,2.05,2.13,2.17,2.0
instances/Sat_Data/GI/crafted_n10_d6_c2_num13.cnf,1,1.33,0.3,0.0,0.0,2.01,6.37,3.44,3.4,2.03
instances/Sat_Data/GI/crafted_n16_d3_c2_num21.cnf,1,0.04,0.01,0.0,0.0,0.26,2.16,2.08,2.12,2.0
instances/Sat_Data/GI/crafted_n18_d3_c2_num22.cnf,1,0.05,0.01,0.0,0.0,0.25,2.11,2.07,2.13,2.0
instances/Sat_Data/GI/crafted_n16_d3_c2_num27.cnf,1,0.04,0.01,0.0,0.0,0.25,2.16,2.06,2.12,2.0
instances/Sat_Data/GI/crafted_n14_d4_c3_num22.cnf,1,0.11,0.03,0.0,0.0,2.01,2.34,2.13,2.15,2.0
instances/Sat_Data/GI/crafted_n11_d6_c3_num24.cnf,1,3.27,0.7,0.01,0.0,2.0,10.51,5.49,5.48,2.04
instances/Sat_Data/GI/crafted_n13_d4_c4_num8.cnf,1,0.21,0.05,0.0,0.0,2.0,2.65,2.22,2.23,2.0
instances/Sat_Data/GI/crafted_n18_d3_c3_num19.cnf,1,0.12,0.03,0.0,0.0,0.67,1.84,2.16,2.18,2.0
instances/Sat_Data/GI/crafted_n10_d6_c4_num20.cnf,1,5.17,1.11,0.02,0.0,2.0,16.66,7.5,7.43,2.09
instances/Sat_Data/GI/crafted_n11_d4_c4_num26.cnf,1,0.17,0.03,0.0,0.0,2.0,1.99,2.19,2.21,2.0
instances/Sat_Data/GI/crafted_n12_d6_c2_num11.cnf,1,1.62,0.35,0.01,0.0,2.01,6.45,3.72,3.7,2.01
instances/Sat_Data/GI/crafted_n13_d4_c2_num9.cnf,1,0.04,0.01,0.0,0.0,0.99,1.05,2.07,2.12,2.0
instances/Sat_Data/GI/crafted_n12_d5_c3_num26.cnf,1,0.64,0.15,0.01,0.0,2.0,4.13,2.7,2.68,2.01
instances/Sat_Data/GI/crafted_n12_d6_c4_num6.cnf,1,7.43,1.58,0.02,0.0,2.02,23.79,9.85,9.79,2.16
instances/Sat_Data/GI/crafted_n12_d6_c3_num28.cnf,1,4.04,0.86,0.01,0.0,2.0,12.87,6.24,6.2,2.01
instances/Sat_Data/GI/crafted_n10_d6_c3_num11.cnf,1,3.02,0.65,0.0,0.0,2.0,9.7,5.2,5.16,2.05
instances/Sat_Data/GI/crafted_n12_d6_c4_num26.cnf,1,7.48,1.58,0.02,0.0,2.01,23.77,9.89,9.79,2.1
instances/Sat_Data/GI/crafted_n16_d3_c3_num10.cnf,1,0.1,0.02,0.0,0.0,0.55,1.46,2.13,2.16,2.0
instances/Sat_Data/GI/crafted_n18_d3_c2_num4.cnf,1,0.05,0.01,0.0,0.0,0.24,2.15,2.08,2.13,2.0
instances/Sat_Data/GI/crafted_n12_d5_c4_num9.cnf,1,1.24,0.3,0.01,0.0,1.99,5.84,3.34,3.37,2.01
instances/Sat_Data/GI/crafted_n12_d5_c3_num12.cnf,1,0.65,0.16,0.0,0.0,2.0,4.14,2.69,2.69,2.0
instances/Sat_Data/GI/crafted_n16_d3_c3_num4.cnf,1,0.1,0.02,0.0,0.0,0.5,2.28,2.13,2.16,2.0
instances/Sat_Data/GI/crafted_n14_d4_c4_num29.cnf,1,0.22,0.06,0.0,0.0,2.0,2.6,2.25,2.23,2.0
instances/Sat_Data/GI/crafted_n12_d6_c4_num13.cnf,1,7.45,1.6,0.01,0.0,2.01,23.87,10.06,9.79,2.31
instances/Sat_Data/GI/crafted_n12_d3_c3_num10.cnf,1,0.08,0.02,0.0,0.0,0.36,2.09,2.1,2.13,2.0
instances/Sat_Data/GI/crafted_n12_d6_c3_num3.cnf,1,4.04,0.86,0.0,0.0,2.01,12.92,6.24,6.2,2.03
instances/Sat_Data/GI/crafted_n11_d4_c4_num21.cnf,1,0.17,0.03,0.0,0.0,2.0,2.54,2.19,2.2,2.0
instances/Sat_Data/GI/crafted_n14_d3_c3_num18.cnf,1,0.08,0.03,0.0,0.0,0.59,2.23,2.11,2.13,2.0
instances/Sat_Data/GI/crafted_n12_d5_c2_num14.cnf,1,0.26,0.06,0.0,0.0,2.0,2.71,2.28,2.28,2.0
instances/Sat_Data/GI/crafted_n13_d4_c2_num13.cnf,1,0.04,0.01,0.0,0.0,1.1,1.03,2.07,2.12,2.0
instances/Sat_Data/GI/crafted_n14_d4_c3_num7.cnf,1,0.12,0.03,0.0,0.0,2.0,2.35,2.13,2.16,2.0
instances/Sat_Data/GI/crafted_n18_d3_c4_num3.cnf,1,0.22,0.04,0.0,0.0,1.2,2.58,2.24,2.24,2.0
instances/Sat_Data/GI/crafted_n18_d3_c3_num2.cnf,1,0.12,0.03,0.0,0.0,0.66,2.35,2.15,2.17,2.0
instances/Sat_Data/GI/crafted_n14_d4_c4_num17.cnf,1,0.22,0.04,0.0,0.0,1.99,2.6,2.24,2.23,2.0
instances/Sat_Data/GI/crafted_n11_d6_c4_num27.cnf,1,5.99,1.27,0.01,0.0,2.02,19.11,8.31,8.22,2.2
instances/Sat_Data/GI/crafted_n12_d4_c3_num9.cnf,1,0.1,0.03,0.0,0.0,2.0,2.37,2.14,2.14,2.0
instances/Sat_Data/GI/crafted_n11_d6_c2_num5.cnf,1,1.36,0.3,0.01,0.0,2.0,5.48,3.44,3.43,2.0
instances/Sat_Data/GI/crafted_n13_d4_c2_num10.cnf,1,0.04,0.01,0.0,0.0,0.9,0.98,2.07,2.11,2.0
instances/Sat_Data/GI/crafted_n18_d3_c3_num7.cnf,1,0.12,0.03,0.0,0.0,0.55,2.35,2.15,2.19,2.0
instances/Sat_Data/GI/crafted_n18_d3_c2_num26.cnf,1,0.05,0.01,0.0,0.0,0.33,2.16,2.08,2.13,2.0
instances/Sat_Data/GI/crafted_n13_d4_c3_num5.cnf,1,0.1,0.03,0.0,0.0,1.92,2.38,2.14,2.15,2.0
instances/Sat_Data/GI/crafted_n13_d4_c3_num16.cnf,1,0.11,0.02,0.0,0.0,1.73,2.02,2.14,2.15,2.0
instances/Sat_Data/GI/crafted_n12_d4_c4_num11.cnf,1,0.2,0.06,0.0,0.0,2.0,2.66,2.22,2.23,2.01
instances/Sat_Data/GI/crafted_n10_d6_c3_num4.cnf,1,3.01,0.64,0.0,0.0,2.01,9.69,5.16,5.15,2.01
instances/Sat_Data/GI/crafted_n12_d4_c2_num12.cnf,1,0.04,0.01,0.0,0.0,1.74,0.75,2.06,2.1,2.0
instances/Sat_Data/GI/crafted_n12_d4_c2_num15.cnf,1,0.04,0.01,0.0,0.0,1.99,2.13,2.07,2.12,2.0
instances/Sat_Data/GI/crafted_n18_d3_c3_num13.cnf,1,0.13,0.03,0.0,0.0,0.56,2.24,2.16,2.19,2.0
instances/Sat_Data/GI/crafted_n14_d4_c4_num6.cnf,1,0.22,0.04,0.0,0.0,2.0,2.58,2.24,2.25,2.0
instances/Sat_Data/GI/crafted_n12_d3_c2_num2.cnf,1,0.03,0.01,0.0,0.0,0.16,1.64,2.05,2.11,2.0
instances/Sat_Data/GI/crafted_n14_d4_c3_num8.cnf,1,0.11,0.03,0.0,0.0,2.0,1.42,2.13,2.16,2.0
instances/Sat_Data/GI/iso_m2D_s36.AB18.cnf,1,0.0,0.0,0.0,0.0,0.0,0.01,2.13,2.19,2.0
instances/Sat_Data/GI/iso_b03_s100.AB00.cnf,1,0.85,0.2,0.0,0.0,1.6,4.2,2.89,2.88,2.01
instances/Sat_Data/GI/iso_b09_s60.AB04.cnf,1,0.37,0.1,0.0,0.0,0.82,3.1,2.43,2.42,2.0
instances/Sat_Data/GI/iso_m2D_s36.AB19.cnf,1,0.0,0.0,0.0,0.0,0.0,0.01,2.14,2.2,2.0
instances/Sat_Data/GI/iso_m4D_s16.AB10.cnf,1,0.0,0.0,0.0,0.0,0.0,0.02,2.08,2.08,2.0
instances/Sat_Data/GI/iso_b03m_m800.AB20.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,2.19,1.8,0.1
instances/Sat_Data/GI/iso_b03m_m400.AB17.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.88,0.02
instances/Sat_Data/GI/iso_b09_s80.AB06.cnf,1,0.97,0.22,0.01,0.0,1.94,4.7,3.05,3.03,2.09
instances/Sat_Data/GI/iso_m4Dr6_m256.AB08.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m2D_s36.AB02.cnf,1,0.0,0.0,0.0,0.0,0.0,0.08,2.11,2.19,2.0
instances/Sat_Data/GI/iso_m2D_s16.AB08.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.07,1.46
instances/Sat_Data/GI/iso_m4Dr6_s16.AB03.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m4Dr6_s81.AB21.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m4Dr6_s81.AB22.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_b09_s80.AB23.cnf,1,0.98,0.22,0.0,0.0,2.0,4.72,3.05,3.05,2.02
instances/Sat_Data/GI/iso_m2D_m196.AB11.cnf,1,0.0,0.01,0.0,0.0,0.02,0.11,2.06,2.17,2.0
instances/Sat_Data/GI/iso_m2D_s81.AB22.cnf,1,0.0,0.0,0.0,0.0,0.0,0.11,2.1,2.19,2.0
instances/Sat_Data/GI/iso_b03m_s40.AB12.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m4Dr6_m625.AB07.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m4D_m625.AB13.cnf,1,0.41,0.1,0.0,0.0,0.8,3.28,2.42,2.45,2.02
instances/Sat_Data/GI/iso_b03_s60.AB05.cnf,1,0.17,0.04,0.0,0.0,0.35,2.02,2.19,2.2,2.0
instances/Sat_Data/GI/iso_m2D_s100.AB06.cnf,1,0.0,0.0,0.0,0.0,0.01,0.1,2.08,2.19,2.0
instances/Sat_Data/GI/iso_m4D_m256.AB07.cnf,1,0.03,0.01,0.0,0.0,0.07,0.52,2.06,2.11,2.0
instances/Sat_Data/GI/iso_b03_s60.AB14.cnf,1,0.17,0.04,0.0,0.0,0.36,2.58,2.19,2.2,2.0
instances/Sat_Data/GI/crafted_n11_d6_c3_num29.cnf,1,3.26,0.7,0.01,0.0,2.02,10.51,5.45,5.44,2.03
instances/Sat_Data/GI/crafted_n11_d4_c4_num20.cnf,1,0.17,0.03,0.01,0.0,1.99,1.99,2.18,2.21,2.0
instances/Sat_Data/GI/crafted_n18_d3_c3_num23.cnf,1,0.12,0.03,0.0,0.0,0.68,2.35,2.16,2.19,2.0
instances/Sat_Data/GI/crafted_n12_d6_c4_num29.cnf,1,7.41,1.61,0.01,0.0,2.02,23.79,9.84,9.81,2.12
instances/Sat_Data/GI/crafted_n16_d3_c4_num3.cnf,1,0.21,0.05,0.0,0.0,1.04,2.67,2.25,2.23,2.0
instances/Sat_Data/GI/crafted_n11_d4_c3_num9.cnf,1,0.08,0.02,0.0,0.0,2.0,1.58,2.1,2.11,2.0
instances/Sat_Data/GI/crafted_n13_d4_c4_num27.cnf,1,0.2,0.06,0.0,0.0,2.0,2.66,2.24,2.23,2.0
instances/Sat_Data/GI/crafted_n18_d3_c3_num6.cnf,1,0.12,0.03,0.0,0.0,0.77,2.35,2.16,2.17,2.0
instances/Sat_Data/GI/crafted_n11_d4_c2_num22.cnf,1,0.03,0.01,0.0,0.0,1.99,2.04,2.07,2.11,2.0
instances/Sat_Data/GI/crafted_n16_d3_c3_num18.cnf,1,0.1,0.02,0.0,0.0,0.54,2.22,2.13,2.14,2.0
instances/Sat_Data/GI/crafted_n11_d6_c3_num11.cnf,1,3.28,0.7,0.01,0.0,2.0,10.58,5.49,5.42,2.02
instances/Sat_Data/GI/crafted_n12_d6_c2_num5.cnf,1,1.63,0.34,0.0,0.0,2.01,6.48,3.71,3.7,2.0
instances/Sat_Data/GI/crafted_n11_d4_c4_num8.cnf,1,0.17,0.04,0.0,0.0,1.99,2.51,2.2,2.19,2.0
instances/Sat_Data/GI/crafted_n13_d4_c2_num19.cnf,1,0.04,0.01,0.0,0.0,0.93,1.02,2.08,2.12,2.0
instances/Sat_Data/GI/crafted_n14_d4_c4_num2.cnf,1,0.21,0.06,0.0,0.0,2.0,2.59,2.22,2.25,2.0
instances/Sat_Data/GI/crafted_n16_d3_c2_num30.cnf,1,0.05,0.01,0.0,0.0,0.25,1.41,2.07,2.12,2.0
instances/Sat_Data/GI/iso_b03m_m400.AB10.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.9,0.02
instances/Sat_Data/GI/iso_m4D_m1296.AB16.cnf,1,6.59,1.41,0.01,0.0,2.01,21.01,8.93,8.86,2.26
instances/Sat_Data/GI/iso_m4Dr6_m256.AB17.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_b03m_m600.AB03.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,2.21,1.34,0.07
instances/Sat_Data/GI/iso_m4Dr6_m256.AB15.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_b09_m200.AB17.cnf,1,17.61,3.85,0.06,0.0,2.02,57.02,21.2,21.1,3.44
instances/Sat_Data/GI/iso_b09_s100.AB22.cnf,1,1.96,0.46,0.0,0.0,2.01,7.99,4.08,4.05,2.13
instances/Sat_Data/GI/iso_b03m_m600.AB17.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,2.23,1.33,0.02
instances/Sat_Data/GI/iso_b03_s20.AB23.cnf,1,0.0,0.0,0.0,0.0,0.01,0.05,2.05,2.07,2.0
instances/Sat_Data/GI/iso_b09_s100.AB06.cnf,1,1.97,0.44,0.0,0.0,2.01,7.99,4.11,4.06,2.24
instances/Sat_Data/GI/iso_b09_s20.AB01.cnf,1,0.0,0.01,0.0,0.0,0.02,0.16,2.05,2.05,2.0
instances/Sat_Data/GI/iso_m2D_s100.AB03.cnf,1,0.0,0.0,0.0,0.0,0.01,0.12,2.08,2.19,2.0
instances/Sat_Data/GI/iso_b03_s60.AB13.cnf,1,0.17,0.04,0.0,0.0,0.34,2.29,2.2,2.21,2.01
instances/Sat_Data/GI/iso_b03m_s20.AB02.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m4Dr6_m1296.AB07.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_m2D_s64.AB01.cnf,1,0.0,0.0,0.0,0.0,0.0,0.06,2.11,2.19,2.0
instances/Sat_Data/GI/iso_m4D_s81.AB13.cnf,1,0.0,0.0,0.0,0.0,0.0,0.12,2.09,2.19,2.0
instances/Sat_Data/GI/iso_m4D_s16.AB05.cnf,1,0.0,0.0,0.0,0.0,0.0,0.03,2.05,2.11,2.0
instances/Sat_Data/GI/iso_m2D_s64.AB19.cnf,1,0.0,0.0,0.0,0.0,0.0,0.08,2.09,2.19,2.0
instances/Sat_Data/GI/iso_m2D_m400.AB13.cnf,1,0.46,0.11,0.0,0.0,0.99,3.43,2.49,2.52,2.01
instances/Sat_Data/GI/iso_m2D_s16.AB05.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.09,1.44
instances/Sat_Data/GI/iso_m4Dr6_m256.AB20.cnf,1,0.0,0.0,0.0,0.0,?,?,?,?,?
instances/Sat_Data/GI/iso_b03m_m200.AB06.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.46,0.07
instances/Sat_Data/GI/iso_b03m_m400.AB03.cnf,1,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.88,0.02
instances/Sat_Data/GI/iso_m4D_m256.AB13.cnf,1,0.03,0.01,0.0,0.0,0.07,0.52,2.06,2.12,2.0
instances/Sat_Data/GI/iso_b09_s60.AB03.cnf,1,0.38,0.1,0.0,0.0,0.75,3.1,2.43,2.42,2.0
instances/Sat_Data/GI/crafted_n12_d6_c2_num9.cnf,1,1.63,0.34,0.0,0.0,2.0,6.47,3.71,3.7,2.01
instances/Sat_Data/GI/crafted_n14_d4_c3_num24.cnf,1,0.12,0.02,0.0,0.0,2.0,2.34,2.14,2.15,2.0
instances/Sat_Data/GI/crafted_n14_d4_c2_num9.cnf,1,0.05,0.01,0.0,0.0,1.4,1.17,2.08,2.13,2.0
instances/Sat_Data/GI/crafted_n12_d4_c2_num18.cnf,1,0.04,0.01,0.0,0.0,1.99,1.57,2.08,2.1,2.0
instances/Sat_Data/GI/crafted_n12_d4_c4_num21.cnf,1,0.2,0.06,0.0,0.0,1.99,2.66,2.23,2.24,2.0
instances/Sat_Data/GI/crafted_n12_d4_c3_num14.cnf,1,0.1,0.03,0.0,0.0,2.0,2.37,2.13,2.15,2.0
instances/Sat_Data/GI/crafted_n18_d3_c2_num25.cnf,1,0.05,0.01,0.0,0.0,0.3,2.19,2.09,2.13,2.0
instances/Sat_Data/GI/crafted_n13_d4_c4_num28.cnf,1,0.21,0.04,0.0,0.0,2.0,2.66,2.22,2.22,2.01
instances/Sat_Data/GI/crafted_n12_d6_c2_num29.cnf,1,1.62,0.35,0.01,0.0,2.01,6.45,3.73,3.68,2.03
instances/Sat_Data/GI/crafted_n11_d6_c2_num25.cnf,1,1.38,0.29,0.0,0.0,2.0,5.46,3.45,3.44,2.02
instances/Sat_Data/GI/crafted_n12_d5_c3_num19.cnf,1,0.65,0.15,0.0,0.0,2.0,4.12,2.7,2.69,2.0
instances/Sat_Data/GI/crafted_n12_d6_c4_num22.cnf,1,7.4,1.61,0.01,0.0,2.02,23.74,9.91,9.86,2.05
instances/Sat_Data/GI/crafted_n12_d5_c3_num11.cnf,1,0.65,0.15,0.0,0.0,2.01,4.12,2.7,2.68,2.02
instances/Sat_Data/GI/crafted_n11_d4_c3_num18.cnf,1,0.08,0.02,0.0,0.0,2.0,1.72,2.11,2.13,2.0
instances/Sat_Data/GI/crafted_n14_d3_c2_num9.cnf,1,0.04,0.01,0.0,0.0,0.18,2.07,2.07,2.11,2.0
instances/Sat_Data/GI/crafted_n16_d3_c4_num12.cnf,1,0.21,0.05,0.0,0.0,1.38,2.65,2.23,2.23,2.0
instances/Sat_Data/GI/crafted_n18_d3_c2_num6.cnf,1,0.05,0.01,0.0,0.0,0.31,1.5,2.08,2.14,2.0
instances/Sat_Data/GI/crafted_n14_d4_c4_num11.cnf,1,0.21,0.05,0.0,0.0,2.0,2.58,2.23,2.26,2.0
