@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE lp NUMERIC
@ATTRIBUTE unit NUMERIC
@ATTRIBUTE GNN_c6 NUMERIC
@ATTRIBUTE GNN_c14 NUMERIC
@ATTRIBUTE GNN_c29 NUMERIC

@DATA
instances/Sat_Data/bench/HW-verification/40randomsets/09_rule/SAT_dat.k85.cnf,1.0,1.87,0.05,2.71,60.02,2.02,1.49,2.65,2.3,2.36,2.01,67.14,1.33,0.0634646415710449,0.0060579776763916,0.0504286289215087
instances/Sat_Data/bench/HW-verification/40randomsets/13_rule_22/SAT_dat.k90.cnf,1.0,1.26,0.03,1.33,60.03,2.02,2.0,2.63,2.2,2.48,2.01,75.04,2.03,0.0369300842285156,0.0074162483215332,0.0308072566986084
instances/Sat_Data/bench/HW-verification/40randomsets/1_17_2/IBM_FV_2004_rule_batch_1_17_2_SAT_dat.k50.cnf,1.0,1.17,0.02,0.59,9.45,2.01,0.27,1.69,2.11,2.32,2.0,114.78,5.12,0.023773193359375,0.0031070709228515,0.0205864906311035
instances/Sat_Data/bench/HW-verification/40randomsets/15_rule/SAT_dat.k25.cnf,1.0,1.62,0.03,1.45,60.02,2.03,0.38,2.28,2.23,2.43,2.0,81.01,0.22,0.0366744995117187,0.0049798488616943,0.0322852134704589
instances/Sat_Data/bench/HW-verification/40randomsets/03/IBM_FV_2004_rule_batch_03_SAT_dat.k100.cnf,1.0,2.58,0.07,5.12,60.03,2.08,2.0,2.91,2.39,2.43,2.03,61.55,2.09,0.0834746360778808,0.0076401233673095,0.0751192569732666
instances/Sat_Data/bench/HW-verification/40randomsets/02_1_rule_5/SAT_dat.k80.cnf,1.0,1.42,0.03,1.1,26.59,2.01,0.91,2.24,2.18,2.42,2.0,65.29,0.02,0.032261848449707,0.0040657520294189,0.027735948562622
instances/Sat_Data/bench/HW-verification/40randomsets/16_2_rule_5/SAT_dat.k15.cnf,1.0,0.13,0.0,0.02,1.59,1.34,0.04,0.22,2.12,2.32,2.0,60.8,0.06,0.0119593143463134,0.0023436546325683,0.0106525421142578
instances/Sat_Data/bench/HW-verification/40randomsets/26_rule/SAT_dat.k20.cnf,1.0,4.76,0.12,5.95,60.18,2.05,2.0,3.71,2.64,2.72,2.02,63.42,0.27,0.1041507720947265,0.0178627967834472,0.0897634029388427
instances/Sat_Data/bench/HW-verification/40randomsets/2_14/IBM_FV_2004_rule_batch_2_14_SAT_dat.k95.cnf,1.0,4.34,0.12,13.09,60.04,2.07,2.0,3.22,2.64,2.62,2.0,60.81,1.37,0.1674423217773437,0.0130460262298583,0.1551694869995117
instances/Sat_Data/bench/HW-verification/40randomsets/2_31_2/IBM_FV_2004_rule_batch_2_31_2_SAT_dat.k20.cnf,1.0,0.54,0.01,0.14,16.21,2.01,2.0,0.82,2.1,2.24,2.0,75.64,0.28,0.0136289596557617,0.0032005310058593,0.0113544464111328
instances/Sat_Data/bench/HW-verification/40randomsets/13_rule_6/SAT_dat.k100.cnf,1.0,1.21,0.03,0.99,60.12,2.02,2.0,2.37,2.2,2.41,2.01,73.15,1.27,0.0319366455078125,0.0049142837524414,0.0275681018829345
instances/Sat_Data/bench/HW-verification/40randomsets/18_rule/SAT_dat.k50.cnf,1.0,3.59,0.05,2.77,60.03,2.02,2.0,2.96,2.31,2.47,2.0,66.53,0.03,0.0576658248901367,0.0075137615203857,0.0513741970062255
instances/Sat_Data/bench/HW-verification/40randomsets/13_rule_24/SAT_dat.k35.cnf,1.0,0.98,0.03,0.61,60.13,2.01,1.99,2.48,2.19,2.44,2.02,110.37,0.66,0.0214295387268066,0.004563570022583,0.0191822052001953
instances/Sat_Data/bench/HW-verification/40randomsets/31_1_rule_2/SAT_dat.k20.cnf,1.0,0.73,0.01,0.2,25.3,2.01,2.0,1.3,2.12,2.33,2.0,73.9,0.04,0.0148632526397705,0.0026662349700927,0.0126168727874755
