@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE lp NUMERIC
@ATTRIBUTE unit NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
instances/Sat_Data/bench/HW-verification/40randomsets/09_rule/SAT_dat.k85.cnf,1.0,1.87,0.05,2.71,60.02,2.02,1.49,2.65,2.3,2.36,2.01,67.14,1.33,8.233516225999665
instances/Sat_Data/bench/HW-verification/40randomsets/13_rule_22/SAT_dat.k90.cnf,1.0,1.26,0.03,1.33,60.03,2.02,2.0,2.63,2.2,2.48,2.01,75.04,2.03,6.363856682000005
instances/Sat_Data/bench/HW-verification/40randomsets/1_17_2/IBM_FV_2004_rule_batch_1_17_2_SAT_dat.k50.cnf,1.0,1.17,0.02,0.59,9.45,2.01,0.27,1.69,2.11,2.32,2.0,114.78,5.12,4.031175108999378
instances/Sat_Data/bench/HW-verification/40randomsets/15_rule/SAT_dat.k25.cnf,1.0,1.62,0.03,1.45,60.02,2.03,0.38,2.28,2.23,2.43,2.0,81.01,0.22,5.677835948999928
instances/Sat_Data/bench/HW-verification/40randomsets/03/IBM_FV_2004_rule_batch_03_SAT_dat.k100.cnf,1.0,2.58,0.07,5.12,60.03,2.08,2.0,2.91,2.39,2.43,2.03,61.55,2.09,11.89016305000041
instances/Sat_Data/bench/HW-verification/40randomsets/02_1_rule_5/SAT_dat.k80.cnf,1.0,1.42,0.03,1.1,26.59,2.01,0.91,2.24,2.18,2.42,2.0,65.29,0.02,4.716963594999925
instances/Sat_Data/bench/HW-verification/40randomsets/16_2_rule_5/SAT_dat.k15.cnf,1.0,0.13,0.0,0.02,1.59,1.34,0.04,0.22,2.12,2.32,2.0,60.8,0.06,0.4152496750000409
instances/Sat_Data/bench/HW-verification/40randomsets/26_rule/SAT_dat.k20.cnf,1.0,4.76,0.12,5.95,60.18,2.05,2.0,3.71,2.64,2.72,2.02,63.42,0.27,14.88926384899969
instances/Sat_Data/bench/HW-verification/40randomsets/2_14/IBM_FV_2004_rule_batch_2_14_SAT_dat.k95.cnf,1.0,4.34,0.12,13.09,60.04,2.07,2.0,3.22,2.64,2.62,2.0,60.81,1.37,25.28737196399993
instances/Sat_Data/bench/HW-verification/40randomsets/2_31_2/IBM_FV_2004_rule_batch_2_31_2_SAT_dat.k20.cnf,1.0,0.54,0.01,0.14,16.21,2.01,2.0,0.82,2.1,2.24,2.0,75.64,0.28,1.7123372370001562
instances/Sat_Data/bench/HW-verification/40randomsets/13_rule_6/SAT_dat.k100.cnf,1.0,1.21,0.03,0.99,60.12,2.02,2.0,2.37,2.2,2.41,2.01,73.15,1.27,5.4490088500006095
instances/Sat_Data/bench/HW-verification/40randomsets/18_rule/SAT_dat.k50.cnf,1.0,3.59,0.05,2.77,60.03,2.02,2.0,2.96,2.31,2.47,2.0,66.53,0.03,7.9810764809999455
instances/Sat_Data/bench/HW-verification/40randomsets/13_rule_24/SAT_dat.k35.cnf,1.0,0.98,0.03,0.61,60.13,2.01,1.99,2.48,2.19,2.44,2.02,110.37,0.66,4.572422997000103
instances/Sat_Data/bench/HW-verification/40randomsets/31_1_rule_2/SAT_dat.k20.cnf,1.0,0.73,0.01,0.2,25.3,2.01,2.0,1.3,2.12,2.33,2.0,73.9,0.04,1.6004471229998671
instances/Sat_Data/bench/HW-verification/40randomsets/1_17_2/IBM_FV_2004_rule_batch_1_17_2_SAT_dat.k70.cnf,1.0,1.7,0.02,1.32,14.11,2.01,0.51,2.4,2.2,2.3,2.0,65.44,6.6,6.0642526499996166
instances/Sat_Data/bench/HW-verification/40randomsets/2_17_1/IBM_FV_2004_rule_batch_2_17_1_SAT_dat.k20.cnf,1.0,0.25,0.0,0.03,1.31,2.01,0.57,0.28,2.13,2.37,2.0,9.81,0.19,0.8156680949996371
instances/Sat_Data/bench/HW-verification/40randomsets/15_rule/SAT_dat.k45.cnf,1.0,3.07,0.09,5.86,60.03,2.01,0.75,3.12,2.4,2.49,2.01,62.94,0.26,11.38227377899966
instances/Sat_Data/bench/HW-verification/40randomsets/04_rule/SAT_dat.k1.cnf,1.0,0.0,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/HW-verification/40randomsets/13_rule_7/SAT_dat.k30.cnf,1.0,0.98,0.04,0.7,60.05,2.01,2.0,2.39,2.21,2.46,2.01,117.74,0.98,4.653686531999483
instances/Sat_Data/bench/HW-verification/40randomsets/2_14/IBM_FV_2004_rule_batch_2_14_SAT_dat.k60.cnf,1.0,2.66,0.07,4.9,60.03,2.05,2.0,2.75,2.38,2.47,2.01,61.39,1.19,14.687215260000356
instances/Sat_Data/bench/HW-verification/40randomsets/25_rule/SAT_dat.k10.cnf,1.0,2.01,0.05,0.95,60.1,2.01,2.0,2.46,2.24,2.4,2.0,70.56,0.44,6.879978654000297
instances/Sat_Data/bench/HW-verification/40randomsets/25_rule/SAT_dat.k1.cnf,1.0,0.02,?,?,?,?,?,?,?,?,?,0.0,?,0
instances/Sat_Data/bench/HW-verification/40randomsets/1_17_2/IBM_FV_2004_rule_batch_1_17_2_SAT_dat.k60.cnf,1.0,1.46,0.02,0.92,11.91,2.01,0.34,2.22,2.16,2.31,2.0,65.71,6.06,5.045673321000322
instances/Sat_Data/bench/HW-verification/40randomsets/06/IBM_FV_2004_rule_batch_06_SAT_dat.k30.cnf,1.0,0.99,0.03,0.55,60.02,2.01,2.0,2.35,2.16,2.26,2.01,65.31,1.12,4.690745840998716
instances/Sat_Data/bench/HW-verification/40randomsets/15_rule/SAT_dat.k35.cnf,1.0,2.33,0.06,3.24,60.03,2.01,0.59,2.64,2.3,2.38,2.0,67.86,0.24,9.171672157999636
