@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-986-S67383539.cnf,1.0,0.0,0.0,0.0,0.0,0.05,0.0,1.82,2.7,1.8,0.2946850970000128
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-845-S148864424.cnf,1.0,0.0,0.0,0.0,0.0,0.95,0.0,1.83,2.68,1.88,0.3793414589999884
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-589-S489789423.cnf,1.0,0.0,0.0,0.0,0.0,1.38,0.0,1.83,2.57,1.81,0.2036816819999956
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-890-S637722797.cnf,1.0,0.0,0.0,0.0,0.0,0.2,0.0,1.86,2.66,1.72,0.2385765899999796
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-521-S556521707.cnf,1.0,0.0,0.0,0.0,0.0,0.06,0.01,1.83,2.58,1.87,0.1931728340000091
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-904-S160136050.cnf,1.0,0.0,0.0,0.0,0.0,0.03,0.0,1.82,2.62,1.91,0.2868001060000438
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-782-S327853307.cnf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,2.66,1.93,0
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-953-S592245209.cnf,1.0,0.0,0.0,0.0,0.0,1.99,0.0,1.89,2.68,1.73,0.2095971880000036
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-485-S954086185.cnf,1.0,0.0,0.0,0.0,0.0,0.05,0.0,1.81,2.62,1.76,0.2726444479999941
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-868-S52384790.cnf,1.0,0.0,0.0,0.0,0.0,0.08,0.0,1.83,2.63,1.91,0.2338735040000017
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-703-S314898416.cnf,1.0,0.0,0.0,0.0,0.0,0.09,0.01,1.9,2.64,1.78,0.1947918460000153
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-614-S1284935773.cnf,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.8,2.65,1.9,0.2088003559999833
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-119-S595537095.cnf,1.0,0.0,0.0,0.0,0.0,0.08,0.0,1.8,2.63,1.77,0.2459665810000046
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-269-S1783209885.cnf,1.0,0.0,0.0,0.0,0.0,1.43,0.0,1.84,2.66,1.88,0.3931564330000014
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-896-S1605993242.cnf,1.0,0.0,0.0,0.0,0.0,0.01,0.0,1.82,2.59,1.73,0.1909292309999983
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-697-S1590116081.cnf,1.0,0.0,0.0,0.0,0.0,1.97,0.0,1.85,2.68,1.87,0.2016992679999703
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-360-S1531090365.cnf,1.0,0.0,0.0,0.0,0.0,0.23,0.0,1.83,2.63,1.78,0.2256400750000011
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-913-S1733099127.cnf,1.0,0.0,0.0,0.0,0.0,1.57,0.0,1.83,2.7,1.71,0
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-134-S440574157.cnf,1.0,0.0,0.0,0.0,0.0,0.84,0.0,1.88,2.61,1.83,0.4286610269999968
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-56-S441853154.cnf,1.0,0.0,0.0,0.0,0.0,0.94,0.0,1.77,2.59,1.81,0.2540593329999865
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-290-S778859173.cnf,1.0,0.0,0.0,0.0,0.0,0.71,0.0,1.8,2.71,1.69,0.1926287720000346
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-933-S1196558392.cnf,1.0,0.0,0.0,0.0,0.0,1.8,0.0,1.85,2.68,1.7,0
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-721-S652240344.cnf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,2.63,1.93,0.2502375660000027
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-974-S429906043.cnf,1.0,0.0,0.0,0.0,0.0,1.06,0.0,1.9,2.66,1.62,0
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-231-S1697955241.cnf,1.0,0.0,0.0,0.0,0.0,0.74,0.0,1.86,2.64,1.7,0.1877623570000111
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-777-S900373011.cnf,1.0,0.0,0.0,0.0,0.0,0.04,0.0,1.85,2.62,1.87,0.2846399900000023
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-305-S193990361.cnf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,2.68,1.72,0.3422926439999969
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-991-S849346032.cnf,1.0,0.0,0.0,0.0,0.0,0.01,0.0,1.83,2.65,1.77,0.2079494280000062
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-159-S884110265.cnf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,2.66,1.72,0.2446619109999801
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-309-S733913711.cnf,1.0,0.0,0.0,0.0,0.0,0.98,0.0,1.85,2.62,1.73,0.1930900680000036
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-865-S710593380.cnf,1.0,0.0,0.0,0.0,0.0,1.22,0.0,1.85,2.66,1.74,0.2426878959999925
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-349-S236974198.cnf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,2.66,1.88,0.1977430719999802
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-812-S1449029388.cnf,1.0,0.0,0.0,0.0,0.0,0.01,0.0,1.86,2.7,1.92,0.188166147000004
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-300-S923800157.cnf,1.0,0.0,0.0,0.0,0.0,1.36,0.0,1.83,2.65,1.71,0.2046904540000014
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-796-S717695655.cnf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,2.6,1.73,0.2004630720000477
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-636-S1562674914.cnf,1.0,0.0,0.0,0.0,0.0,0.03,0.0,1.82,2.64,1.79,0.2024423979999881
