@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars-clauses-ratio NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE VCG-CLAUSE-min NUMERIC
@ATTRIBUTE VCG-CLAUSE-max NUMERIC
@ATTRIBUTE VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY+ NUMERIC
@ATTRIBUTE TRINARY+ NUMERIC
@ATTRIBUTE cl-num-mean NUMERIC
@ATTRIBUTE cl-num-coeff-variation NUMERIC
@ATTRIBUTE cl-num-min NUMERIC
@ATTRIBUTE cl-num-max NUMERIC
@ATTRIBUTE cl-num-q90 NUMERIC
@ATTRIBUTE cl-num-q10 NUMERIC
@ATTRIBUTE cl-num-q75 NUMERIC
@ATTRIBUTE cl-num-q25 NUMERIC
@ATTRIBUTE cl-num-q50 NUMERIC
@ATTRIBUTE cl-size-mean NUMERIC
@ATTRIBUTE cl-size-coeff-variation NUMERIC
@ATTRIBUTE cl-size-min NUMERIC
@ATTRIBUTE cl-size-max NUMERIC
@ATTRIBUTE cl-size-q90 NUMERIC
@ATTRIBUTE cl-size-q10 NUMERIC
@ATTRIBUTE cl-size-q75 NUMERIC
@ATTRIBUTE cl-size-q25 NUMERIC
@ATTRIBUTE cl-size-q50 NUMERIC
@ATTRIBUTE SP-bias-mean NUMERIC
@ATTRIBUTE SP-bias-coeff-variation NUMERIC
@ATTRIBUTE SP-bias-min NUMERIC
@ATTRIBUTE SP-bias-max NUMERIC
@ATTRIBUTE SP-bias-q90 NUMERIC
@ATTRIBUTE SP-bias-q10 NUMERIC
@ATTRIBUTE SP-bias-q75 NUMERIC
@ATTRIBUTE SP-bias-q25 NUMERIC
@ATTRIBUTE SP-bias-q50 NUMERIC
@ATTRIBUTE SP-unconstraint-mean NUMERIC
@ATTRIBUTE SP-unconstraint-coeff-variation NUMERIC
@ATTRIBUTE SP-unconstraint-min NUMERIC
@ATTRIBUTE SP-unconstraint-max NUMERIC
@ATTRIBUTE SP-unconstraint-q90 NUMERIC
@ATTRIBUTE SP-unconstraint-q10 NUMERIC
@ATTRIBUTE SP-unconstraint-q75 NUMERIC
@ATTRIBUTE SP-unconstraint-q25 NUMERIC
@ATTRIBUTE SP-unconstraint-q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q.10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q.90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois-mean-depth-over-vars NUMERIC
@ATTRIBUTE lobjois-log-num-nodes-over-vars NUMERIC

@DATA
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-986-S67383539.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.502930832,0.577311054,0.333333333,1.0,0.567113578,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401392688,0.575094392,0.006983021,0.918529148,0.707422918,0.068871735,0.604390318,0.194924123,0.408606748,0.0907093,0.632629973,0.005602658,0.330398363,0.171536969,0.028865862,0.128109052,0.050628648,0.076618763,7.5695,0.398849,45.0177,0.107771,45.0,39.0,51.0,1.06271,0.213823,0.861146,0.0540383,6.369,0.386847,45.1244,0.10733,45.0,39.0,51.0,0.54358,0.420531,0.850804,0.0523222,0.369521167,0.725753522
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-845-S148864424.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.48339195,0.575985619,0.333333333,1.0,0.533272561,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,4097.0,0.004025488,4077.0,4117.0,4117.0,4077.0,4117.0,4085.0,4109.0,14.102876794,0.014895613,13.841304881,14.41656546,14.41656546,13.841304881,14.41656546,14.012239902,14.141396934,0.390378968,0.619326564,0.002498037,1.0,0.75899967,0.086373648,0.587386563,0.176693545,0.377595581,0.091901215,0.669352872,0.005069141,0.311052844,0.176013083,0.025994585,0.122548143,0.044333363,0.075259711,8.8618,0.297959,44.8631,0.108546,45.0,39.0,51.0,1.08961,0.20606,0.868329,0.0512409,7.6053,0.289827,44.7467,0.108911,45.0,39.0,51.0,0.553824,0.423862,0.856491,0.0512262,0.365985,0.666543292
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-589-S489789423.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.495896835,0.57727121,0.333333333,1.0,0.555471886,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,4118.6,0.005676767,4088.0,4147.0,4147.0,4088.0,4145.0,4106.0,4107.0,15.137503804,0.038194881,14.176771366,15.710667316,15.710667316,14.176771366,15.697371594,14.837328767,15.265379976,0.420782759,0.529493025,0.003793105,0.91317725,0.75618635,0.141964494,0.59814567,0.236140465,0.410555712,0.099007266,0.680093844,0.010401305,0.437095601,0.189025321,0.034358512,0.126920867,0.05198564,0.080893915,7.229,0.34422,45.3195,0.106795,45.0,39.0,52.0,1.10916,0.20921,0.873782,0.0496073,6.2538,0.328234,45.3183,0.106257,45.0,39.0,52.0,0.575099,0.41554,0.865582,0.0476638,0.380283833,0.742259748
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-890-S637722797.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.520125049,0.575618941,0.333333333,1.0,0.593130386,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,4223.0,0.0,4223.0,4223.0,4223.0,4223.0,4223.0,4223.0,4223.0,13.859815297,0.0,13.859815297,13.859815297,13.859815297,13.859815297,13.859815297,13.859815297,13.859815297,0.393115849,0.602358351,0.009816227,1.0,0.743901131,0.090034186,0.537658494,0.186113862,0.36566886,0.09217884,0.71478345,0.007343134,0.428352817,0.188332,0.026123661,0.121644795,0.04446778,0.074377266,8.5553,0.324998,44.7753,0.108011,45.0,39.0,51.0,1.07997,0.210387,0.864824,0.0535272,7.2581,0.320752,44.7803,0.107593,45.0,39.0,51.0,0.545163,0.420489,0.85316,0.052121,0.364398167,0.685976157
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-521-S556521707.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.484955061,0.576237857,0.333333333,1.0,0.536155454,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420764956,0.534315891,0.007495323,1.0,0.740392957,0.094218464,0.580288958,0.256264518,0.425906693,0.093010053,0.634895221,0.010381493,0.308061117,0.166912741,0.025475291,0.131005955,0.04782973,0.082426088,7.4242,0.358818,45.5843,0.108503,46.0,39.0,52.0,1.07871,0.205541,0.864907,0.0524687,6.4434,0.336183,45.5849,0.108708,45.0,39.0,52.0,0.559933,0.407965,0.856007,0.0511906,0.373097333,0.671925509
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-904-S160136050.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.506838609,0.577140015,0.333333333,1.0,0.573326513,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430802301,0.580889338,0.005715372,1.0,0.753399946,0.079445709,0.63531196,0.207122835,0.440580346,0.101506953,0.630407422,0.006672275,0.298373431,0.198678458,0.03464625,0.134241924,0.054850296,0.085131641,6.46,0.398446,45.8652,0.107917,46.0,40.0,52.0,1.09427,0.207739,0.868739,0.0515298,5.5617,0.368018,45.8439,0.107151,46.0,40.0,52.0,0.562212,0.411579,0.859984,0.0500827,0.370560833,0.721404757
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-953-S592245209.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.502930832,0.577311054,0.333333333,1.0,0.567113578,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,4152.285714286,0.012960667,4065.0,4233.0,4233.0,4065.0,4191.0,4094.0,4173.0,14.668915667,0.011886905,14.370476875,14.950181378,14.950181378,14.370476875,14.837703756,14.582559844,14.619422572,0.381924695,0.60241904,0.00285291,1.0,0.720178367,0.077416033,0.54646808,0.19721966,0.383052692,0.082761255,0.682376628,0.0063556,0.352818854,0.159124083,0.026887661,0.109367203,0.041912972,0.065458075,9.3656,0.295925,44.9124,0.109256,45.0,39.0,51.0,1.07252,0.207268,0.862872,0.0539833,7.9216,0.293066,44.9189,0.107419,45.0,39.0,51.0,0.54486,0.418599,0.85052,0.0528528,0.367754,0.690656165
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-485-S954086185.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.506057054,0.577184823,0.333333333,1.0,0.572098288,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414364875,0.551403273,0.000553157,1.0,0.726106322,0.091036984,0.588694446,0.22373242,0.431695416,0.098734167,0.668596099,0.006382676,0.282287431,0.201933586,0.028464333,0.153644509,0.046290119,0.080547952,7.0916,0.407464,45.5124,0.1091,45.0,39.0,52.0,1.09075,0.210073,0.867518,0.0528199,6.1978,0.365394,45.5175,0.108742,45.0,39.0,52.0,0.560833,0.426695,0.860543,0.050876,0.370131167,0.770637124
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-868-S52384790.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.485736616,0.576353745,0.333333333,1.0,0.537585153,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410198845,0.548736519,0.003541845,0.851809717,0.709643498,0.083200618,0.599274231,0.236443956,0.407554027,0.09265258,0.627577342,0.008389093,0.299862331,0.171795945,0.031690052,0.127255327,0.048774,0.079435166,7.2413,0.394814,45.1957,0.108706,45.0,39.0,52.0,1.07746,0.213103,0.864626,0.052492,6.133,0.368326,45.1458,0.108193,45.0,39.0,51.0,0.551655,0.420318,0.854918,0.0515995,0.380248667,0.706626913
instances/Sat_Data/K3-inst/k3-v200-c853/unif-v200-c853-703-S314898416.cnf,1.0,200.0,853.0,200.0,853.0,0.0,0.0,0.234466589,0.498241501,0.577335885,0.333333333,1.0,0.559418683,0.015,0.0,0.015,0.015,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408395035,0.551270204,0.005887013,0.842151652,0.692619824,0.086591622,0.608063836,0.211353499,0.412336052,0.085616778,0.664237824,0.003632353,0.350082638,0.162528115,0.027580157,0.116015161,0.045320071,0.072901809,8.1263,0.355356,45.0971,0.109954,45.0,39.0,51.0,1.05769,0.209758,0.858786,0.0558503,6.8977,0.352307,45.1429,0.109124,45.0,39.0,52.0,0.539356,0.413687,0.848086,0.0542342,0.370329167,0.713757697
