@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
instances/Sat_Data/LABS/LABS_n011_goal004.cnf,1.0,0.0,0.0,0.0,0.01,2.13,2.42,2.0,0.0083048343658447
instances/Sat_Data/LABS/LABS_n011_goal010.cnf,1.0,0.0,0.0,0.0,0.01,2.12,2.37,2.0,4.839897155761719e-05
instances/Sat_Data/LABS/LABS_n012_goal001.cnf,1.0,0.0,0.0,0.01,0.02,2.11,2.36,2.0,0.0090429782867431
instances/Sat_Data/LABS/LABS_n013_goal002.cnf,1.0,0.0,0.0,0.0,0.02,2.09,2.34,2.0,0.0057268142700195
instances/Sat_Data/LABS/LABS_n015_goal008.cnf,1.0,0.0,0.0,0.0,0.03,2.09,2.29,2.0,0.011707067489624
instances/Sat_Data/LABS/LABS_n018_goal001.cnf,1.0,0.0,0.0,0.1,0.07,2.06,2.3,2.0,0.0058493614196777
instances/Sat_Data/LABS/LABS_n019_goal002.cnf,1.0,0.0,0.0,1.06,0.09,2.05,2.27,2.0,0.0064864158630371
instances/Sat_Data/LABS/LABS_n019_goal005.cnf,1.0,0.0,0.0,0.01,0.08,2.06,2.26,2.0,0.0080151557922363
instances/Sat_Data/LABS/LABS_n019_goal006.cnf,1.0,0.0,0.0,0.01,0.08,2.05,2.24,2.0,0.0070612430572509
instances/Sat_Data/LABS/LABS_n020_goal002.cnf,1.0,0.0,0.0,0.09,0.11,2.05,2.3,2.0,0.0093240737915039
instances/Sat_Data/LABS/LABS_n020_goal005.cnf,1.0,0.0,0.0,0.01,0.1,2.05,2.27,2.0,0.0063409805297851
instances/Sat_Data/LABS/LABS_n020_goal008.cnf,1.0,0.0,0.0,0.01,0.09,2.04,2.28,2.0,0.0126283168792724
instances/Sat_Data/LABS/LABS_n021_goal001.cnf,1.0,0.0,0.0,0.38,0.13,2.05,2.26,2.0,0.009657859802246
instances/Sat_Data/LABS/LABS_n021_goal009.cnf,1.0,0.0,0.0,0.01,0.1,2.04,2.23,2.0,0.0085792541503906
instances/Sat_Data/LABS/LABS_n022_goal002.cnf,1.0,0.01,0.0,1.99,0.13,2.06,2.26,2.0,0.0101215839385986
instances/Sat_Data/LABS/LABS_n022_goal008.cnf,1.0,0.0,0.01,0.01,0.11,2.05,2.23,2.0,0.0098185539245605
instances/Sat_Data/LABS/LABS_n023_goal001.cnf,1.0,0.01,0.0,0.81,0.15,2.05,2.23,2.0,0.0105984210968017
instances/Sat_Data/LABS/LABS_n023_goal008.cnf,1.0,0.0,0.01,0.02,0.13,2.04,2.23,2.0,0.0085813999176025
instances/Sat_Data/LABS/LABS_n024_goal007.cnf,1.0,0.01,0.0,0.02,0.16,2.03,2.21,2.0,0.0119192600250244
instances/Sat_Data/LABS/LABS_n025_goal009.cnf,1.0,0.01,0.0,0.02,0.18,2.04,2.2,2.0,0.0105023384094238
instances/Sat_Data/LABS/LABS_n025_goal010.cnf,1.0,0.01,0.0,0.02,0.16,2.05,2.23,2.0,0.0104365348815917
instances/Sat_Data/LABS/LABS_n026_goal001.cnf,1.0,0.01,0.0,1.99,0.23,2.04,2.23,2.0,0.0094656944274902
instances/Sat_Data/LABS/LABS_n026_goal004.cnf,1.0,0.01,0.0,0.03,0.22,2.04,2.24,2.0,0.0083954334259033
instances/Sat_Data/LABS/LABS_n026_goal010.cnf,1.0,0.01,0.0,0.02,0.2,2.04,2.24,2.0,0.0104379653930664
instances/Sat_Data/LABS/LABS_n027_goal001.cnf,1.0,0.01,0.0,1.99,0.27,2.05,2.19,2.0,0.0120737552642822
instances/Sat_Data/LABS/LABS_n028_goal002.cnf,1.0,0.01,0.01,1.99,0.29,2.03,2.21,2.0,0.012467622756958
instances/Sat_Data/LABS/LABS_n029_goal006.cnf,1.0,0.02,0.0,0.03,0.3,2.04,2.18,2.0,0.0121607780456542
instances/Sat_Data/LABS/LABS_n030_goal003.cnf,1.0,0.02,0.0,1.99,0.36,2.04,2.15,2.0,0.0122673511505126
instances/Sat_Data/LABS/LABS_n030_goal008.cnf,1.0,0.02,0.0,0.04,0.33,2.04,2.17,2.0,0.0123744010925292
instances/Sat_Data/LABS/LABS_n031_goal003.cnf,1.0,0.02,0.0,1.99,0.4,2.04,2.17,2.0,0.0121757984161376
instances/Sat_Data/LABS/LABS_n031_goal010.cnf,1.0,0.02,0.0,0.05,0.35,2.04,2.14,2.0,0.0112421512603759
