@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE GNN_c6 NUMERIC
@ATTRIBUTE GNN_c14 NUMERIC
@ATTRIBUTE GNN_c29 NUMERIC

@DATA
instances/Sat_Data/LABS/LABS_n011_goal004.cnf,1.0,0.0,0.0,0.0,0.01,2.13,2.42,2.0,0.0083048343658447,0.0027773380279541,0.0068995952606201
instances/Sat_Data/LABS/LABS_n011_goal010.cnf,1.0,0.0,0.0,0.0,0.01,2.12,2.37,2.0,4.839897155761719e-05,0.0001137256622314,0.0001251697540283
instances/Sat_Data/LABS/LABS_n012_goal001.cnf,1.0,0.0,0.0,0.01,0.02,2.11,2.36,2.0,0.0090429782867431,0.0016672611236572,0.006028413772583
instances/Sat_Data/LABS/LABS_n013_goal002.cnf,1.0,0.0,0.0,0.0,0.02,2.09,2.34,2.0,0.0057268142700195,0.0029046535491943,0.005889892578125
instances/Sat_Data/LABS/LABS_n015_goal008.cnf,1.0,0.0,0.0,0.0,0.03,2.09,2.29,2.0,0.011707067489624,0.0016877651214599,0.0072872638702392
instances/Sat_Data/LABS/LABS_n018_goal001.cnf,1.0,0.0,0.0,0.1,0.07,2.06,2.3,2.0,0.0058493614196777,0.0024161338806152,0.0057871341705322
instances/Sat_Data/LABS/LABS_n019_goal002.cnf,1.0,0.0,0.0,1.06,0.09,2.05,2.27,2.0,0.0064864158630371,0.0025382041931152,0.0063326358795166
instances/Sat_Data/LABS/LABS_n019_goal005.cnf,1.0,0.0,0.0,0.01,0.08,2.06,2.26,2.0,0.0080151557922363,0.0018701553344726,0.0093889236450195
instances/Sat_Data/LABS/LABS_n019_goal006.cnf,1.0,0.0,0.0,0.01,0.08,2.05,2.24,2.0,0.0070612430572509,0.0026357173919677,0.0057320594787597
instances/Sat_Data/LABS/LABS_n020_goal002.cnf,1.0,0.0,0.0,0.09,0.11,2.05,2.3,2.0,0.0093240737915039,0.0016798973083496,0.0066995620727539
instances/Sat_Data/LABS/LABS_n020_goal005.cnf,1.0,0.0,0.0,0.01,0.1,2.05,2.27,2.0,0.0063409805297851,0.0016515254974365,0.0086936950683593
instances/Sat_Data/LABS/LABS_n020_goal008.cnf,1.0,0.0,0.0,0.01,0.09,2.04,2.28,2.0,0.0126283168792724,0.0027859210968017,0.0067098140716552
instances/Sat_Data/LABS/LABS_n021_goal001.cnf,1.0,0.0,0.0,0.38,0.13,2.05,2.26,2.0,0.009657859802246,0.0021750926971435,0.0085549354553222
instances/Sat_Data/LABS/LABS_n021_goal009.cnf,1.0,0.0,0.0,0.01,0.1,2.04,2.23,2.0,0.0085792541503906,0.0019621849060058,0.0072071552276611
instances/Sat_Data/LABS/LABS_n022_goal002.cnf,1.0,0.01,0.0,1.99,0.13,2.06,2.26,2.0,0.0101215839385986,0.0017120838165283,0.0082552433013916
instances/Sat_Data/LABS/LABS_n022_goal008.cnf,1.0,0.0,0.01,0.01,0.11,2.05,2.23,2.0,0.0098185539245605,0.0023941993713378,0.0100624561309814
