@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE lp NUMERIC
@ATTRIBUTE unit NUMERIC
@ATTRIBUTE GNN_c6 NUMERIC
@ATTRIBUTE GNN_c14 NUMERIC
@ATTRIBUTE GNN_c29 NUMERIC

@DATA
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1067.cnf,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.32,0.29,0.0,0.01,0.0038905143737792,0.0014021396636962,0.0032715797424316
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3763.cnf,1.0,0.35,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3774.cnf,1.0,0.38,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc948.cnf,1.0,0.35,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3675.cnf,1.0,0.8,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3862.cnf,1.0,3.1,0.02,2.28,60.06,2.01,2.0,2.43,2.2,2.4,2.0,68.95,0.4,0.0525298118591308,0.0057947635650634,0.0451536178588867
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56679.cnf,1.0,2.58,0.02,1.36,60.02,2.01,1.26,2.29,2.16,2.32,2.0,66.22,0.15,0.0375151634216308,0.0052981376647949,0.0317814350128173
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3777.cnf,1.0,0.4,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1012.cnf,1.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?,4.363059997558594e-05,0.000115156173706,4.529953002929688e-05
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9423.cnf,1.0,0.85,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5307.cnf,1.0,3.28,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc994.cnf,1.0,4.65,0.05,3.59,61.46,2.01,2.0,2.5,2.24,2.3,2.0,64.99,1.34,0.0790488719940185,0.0085535049438476,0.0609364509582519
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3760.cnf,1.0,3.02,0.07,8.98,60.08,2.01,1.99,2.78,2.36,2.41,2.03,61.13,0.17,0.1260664463043213,0.0090408325195312,0.1158716678619384
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3504.cnf,1.0,0.02,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3501.cnf,1.0,0.01,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1131.cnf,1.0,0.02,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?,5.221366882324219e-05,4.434585571289063e-05,4.7206878662109375e-05
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9454.cnf,1.0,1.17,0.01,0.0,9.62,0.23,0.02,0.14,2.11,2.29,2.0,60.32,0.08,0.0065619945526123,0.0015475749969482,0.007685899734497
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3903.cnf,1.0,2.53,?,?,?,?,?,?,?,?,?,0.0,?,0,0,0
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3841.cnf,1.0,3.06,0.03,2.22,60.05,2.01,2.0,2.4,2.2,2.34,2.0,68.52,0.21,0.0499260425567626,0.0057442188262939,0.0407752990722656
