@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC

@DATA
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1067.cnf,1,3.5854874,1.42651,-0.0,12.120687,-0.0,1.0408617,10.894098,-6.1592764e-06,-0.12020563,-0.0,13.243799,3.7320552,-0.005044512,-0.11791158,11.021473,9.619274
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3763.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3774.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc948.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3675.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3862.cnf,1,430.91788,176.74388,-0.0,1585.5033,-0.0,246.49852,1572.0969,-0.0,-0.0,-0.0,1934.1769,515.8196,-0.0,-0.0,1535.4404,1403.4108
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56679.cnf,1,196.05771,81.568214,-0.0,731.2576,-0.0,116.24234,729.6997,-0.0,-0.0,-0.0,896.5706,241.71136,-0.0,-0.0,706.56793,649.33044
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3777.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1012.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9423.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
