@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56687.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.202969,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3893.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.32495,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc151.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.002998,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3537.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.105983,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3726.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.706891,ok
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9592.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.306953,ok
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5310.cnf,1,clasp-cssc_clasp-2.1-sat-t1,1.46178,ok
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1321.cnf,1,clasp-cssc_clasp-2.1-sat-t1,2.06369,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3737.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.525919,ok
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1216.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.391939,ok
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9433.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.083986,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3502.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.009997,ok
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc1044.cnf,1,clasp-cssc_clasp-2.1-sat-t1,1.53177,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3478.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.004998,ok
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc963.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.612906,ok
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc988.cnf,1,clasp-cssc_clasp-2.1-sat-t1,1.14282,ok
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1079.cnf,1,clasp-cssc_clasp-2.1-sat-t1,1.82772,ok
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5531.cnf,1,clasp-cssc_clasp-2.1-sat-t1,1.2898,ok
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1052.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.479926,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3675.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.19197,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3744.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.78388,ok
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1041.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.011997,ok
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5528.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.863868,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3856.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.838871,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3710.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.660899,ok
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3874.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.411936,ok
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1045.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.168973,ok
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5328.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.248961,ok
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9432.cnf,1,clasp-cssc_clasp-2.1-sat-t1,0.101984,ok
