@relation R_data_frame
@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric
@data
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3853.cnf,1,1
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc1092.cnf,1,1
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc1091.cnf,1,1
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc964.cnf,1,1
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc963.cnf,1,1
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56687.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc2351.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3682.cnf,1,1
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1042.cnf,1,1
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9432.cnf,1,1
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5328.cnf,1,1
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9463.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3638.cnf,1,1
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5531.cnf,1,1
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1085.cnf,1,1
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1063.cnf,1,1
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1095.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3802.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3471.cnf,1,1
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9406.cnf,1,1
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1016.cnf,1,1
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5314.cnf,1,1
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1054.cnf,1,1
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winegcc_vc1089.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3646.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3728.cnf,1,1
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5307.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc169.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3760.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3965.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3927.cnf,1,1
instances/Sat_Data/bench/SW-verification/WINE_v0.9.27__v1.1/winedump_vc5329.cnf,1,1
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc948.cnf,1,1
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/itox_vc965.cnf,1,1
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3584.cnf,1,1
