@RELATION COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE lp NUMERIC
@ATTRIBUTE unit NUMERIC

@DATA
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1067.cnf,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.32,0.29,0.0,0.01
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3763.cnf,1.0,0.35,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3774.cnf,1.0,0.38,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_dump_vc948.cnf,1.0,0.35,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3675.cnf,1.0,0.8,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3862.cnf,1.0,3.1,0.02,2.28,60.06,2.01,2.0,2.43,2.2,2.4,2.0,68.95,0.4
instances/Sat_Data/bench/SW-verification/XINETD_v2.3.14__v1.1/xinetd_vc56679.cnf,1.0,2.58,0.02,1.36,60.02,2.01,1.26,2.29,2.16,2.32,2.0,66.22,0.15
instances/Sat_Data/bench/SW-verification/HSAT/hsat_vc3777.cnf,1.0,0.4,?,?,?,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/GZIP_v1.2.4__v1.1/gzip_vc1012.cnf,1.0,0.0,0.0,0.0,0.0,?,?,?,?,?,?,0.0,?
instances/Sat_Data/bench/SW-verification/DSPAM_v3.6.5__v1.1/dspam_vc9423.cnf,1.0,0.85,?,?,?,?,?,?,?,?,?,0.0,?
