@RELATION SAT11-HAND-FeatureRuntime

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1.0,0.01,2.0,2.0,0.19,60.01,0.03,0.9,2.06,0.0,2.09,0.0024824142456054
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1.0,0.02,1.99,2.0,0.27,62.83,0.12,0.9,2.08,0.01,2.06,0.0098037719726562
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1.0,0.01,2.0,2.0,0.87,60.02,0.08,1.73,2.07,0.01,2.07,0.0024445056915283
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1.0,0.07,1.99,2.02,2.01,60.01,0.54,2.47,2.1,0.01,2.1,0.0095846652984619
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1.0,0.0,1.99,1.84,0.0,0.0,0.0,0.01,2.57,0.0,1.47,0.0023508071899414
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1.0,0.01,1.99,2.0,0.94,60.83,0.13,1.23,2.1,0.0,2.07,0.0023131370544433
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1.0,0.0,1.99,2.0,0.01,0.36,0.0,0.05,2.31,0.0,2.24,0.0014536380767822
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1.0,0.0,2.0,1.73,0.0,0.03,0.0,0.0,1.46,0.0,0.93,0.0014388561248779
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1.0,0.01,2.0,2.0,1.14,60.01,0.17,1.61,2.09,0.0,2.08,0.0024771690368652
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1.0,0.01,2.0,2.0,0.21,60.02,0.03,0.99,2.09,0.0,2.05,0.0026156902313232
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1.0,0.0,1.99,2.0,0.01,0.07,0.0,0.01,2.1,0.0,1.46,0.0019671916961669
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1.0,0.0,1.99,2.0,0.0,0.0,0.0,0.0,1.69,0.0,0.97,0.0020148754119873
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1.0,0.06,2.0,2.0,1.28,63.56,0.26,1.73,2.1,0.01,2.1,0.0162537097930908
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1.0,0.02,2.0,2.0,2.01,60.01,0.64,1.48,2.12,0.01,2.1,0.0028088092803955
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1.0,0.07,1.99,2.0,2.01,0.72,0.11,0.29,2.13,0.01,2.11,0.0016956329345703
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1.0,0.0,0.02,1.64,0.0,0.38,0.0,0.0,0.68,0.0,0.41,0.0014264583587646
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1.0,0.07,2.0,2.0,2.01,60.02,1.25,2.65,2.17,0.03,2.17,0.0042052268981933
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1.0,0.19,1.99,2.05,2.02,87.44,2.91,3.0,2.35,0.06,2.33,0.0241258144378662
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1.0,2.69,2.0,2.04,2.01,57.39,0.79,1.96,2.22,0.02,2.14,0.005429983139038
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1.0,0.02,2.0,2.01,2.01,60.02,0.91,2.21,2.11,0.02,2.08,0.0039544105529785
