@RELATION SAT11-INDU-FeatureRuntime

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1.0,931.76,2.03,2.0,2.09,60.84,23.28,60.28,8.8,1.73,8.69,7.543164730072021
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1.0,0.0,1.99,2.0,0.23,0.07,0.02,0.06,2.53,0.0,2.19,0.0068397521972656
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1.0,1.98,2.01,2.03,2.02,60.06,1.64,4.26,2.72,0.11,2.73,0.0548770427703857
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1.0,0.7,1.99,2.0,2.01,60.01,0.74,2.28,2.31,0.01,2.12,0.0296225547790527
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1.0,6.03,1.15,2.03,2.02,60.03,5.54,2.65,2.25,0.04,2.22,0.117875337600708
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1.0,0.57,1.99,2.0,2.01,60.01,0.66,2.05,2.33,0.01,2.11,0.0277605056762695
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1.0,2.96,2.0,2.01,2.02,60.08,3.01,2.94,2.36,0.04,2.26,0.0706615447998046
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1.0,14.8,2.01,2.02,2.02,60.06,5.66,3.39,2.3,0.06,2.3,0.2128336429595947
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1.0,319.34,2.03,2.12,2.11,60.43,14.49,34.07,5.67,1.22,5.85,2.709638833999634
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1.0,15.97,2.01,2.01,2.01,60.04,3.02,3.57,2.42,0.07,2.38,0.2517848014831543
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1.0,0.22,2.0,2.0,2.01,60.04,0.19,1.06,2.28,0.01,2.09,0.0191850662231445
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1.0,1.89,1.99,2.0,2.01,60.02,1.13,2.47,2.31,0.02,2.13,0.0559852123260498
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1.0,182.05,2.01,2.47,2.06,60.33,149.5,471.08,6.27,0.9,7.07,0
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1.0,1.71,2.01,2.0,2.01,60.01,2.11,2.55,2.26,0.02,2.15,0.0516691207885742
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1.0,1.07,1.99,2.0,2.01,3.42,0.58,2.27,2.33,0.02,2.11,0.0350470542907714
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1.0,2.32,2.0,2.01,2.01,60.04,7.86,2.94,2.4,0.05,2.3,0.0599732398986816
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1.0,0.0,0.0,1.5,0.0,0.02,0.0,0.01,1.24,0.0,1.06,0.0110032558441162
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1.0,1.56,1.99,2.0,2.01,44.65,1.4,2.46,2.27,0.02,2.16,0.0488550662994384
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1.0,0.16,2.0,2.0,2.01,60.07,341.2,2.54,2.2,0.01,2.12,0.0400633811950683
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1.0,9.01,2.0,2.01,2.01,60.04,2.13,3.51,2.36,0.05,2.27,0.1591641902923584
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1.0,97.95,2.01,2.26,2.2,62.84,24.6,33.74,5.63,0.76,5.6,1.1467289924621582
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1.0,78.18,2.01,2.0,2.06,155.34,27.69,22.11,4.69,0.55,4.75,1.1090762615203855
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1.0,0.0,2.0,2.0,0.02,0.04,0.0,0.02,2.45,0.0,2.22,0.0064091682434082
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1.0,0.25,2.0,2.0,2.03,60.33,0.9,3.47,2.25,0.04,2.26,0.0302696228027343
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1.0,19.8,1.99,2.0,2.02,13.68,3.18,3.19,2.35,0.07,2.31,0.2599265575408935
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1.0,2.22,1.99,2.0,2.02,60.04,1.24,2.51,2.28,0.03,2.14,0.0640733242034912
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1.0,0.01,2.0,2.0,2.01,60.01,0.1,0.44,2.1,0.01,2.08,0.0058820247650146
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1.0,5.43,2.0,2.17,2.03,60.3,13.28,3.82,2.63,0.11,2.63,0.14235520362854
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1.0,0.0,0.02,1.64,0.01,0.01,0.0,0.0,1.86,0.0,1.37,0.0077288150787353
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1.0,16.0,2.0,2.02,2.01,7.66,3.55,3.02,2.33,0.06,2.31,0.2256851196289062
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1.0,108.29,2.01,2.04,2.04,60.08,6.23,6.08,2.92,0.2,2.94,1.0117392539978027
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1.0,41.96,2.0,2.0,2.01,19.2,5.76,4.07,2.54,0.12,2.54,0.4555938243865967
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1.0,1.71,2.0,2.0,2.02,60.02,1.17,2.47,2.32,0.02,2.14,0.0512270927429199
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1.0,352.28,2.02,2.07,2.34,60.4,15.61,37.36,5.96,1.14,5.89,2.8784751892089844
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1.0,0.49,2.0,2.0,2.01,2.7,0.83,1.51,2.29,0.01,2.08,0.0267026424407959
