@RELATION FEATURE_VALUES-SAT11-RANDOM

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC
@ATTRIBUTE gnn_16 NUMERIC
@ATTRIBUTE gnn_17 NUMERIC
@ATTRIBUTE gnn_18 NUMERIC
@ATTRIBUTE gnn_19 NUMERIC
@ATTRIBUTE gnn_20 NUMERIC
@ATTRIBUTE gnn_21 NUMERIC
@ATTRIBUTE gnn_22 NUMERIC
@ATTRIBUTE gnn_23 NUMERIC
@ATTRIBUTE gnn_24 NUMERIC
@ATTRIBUTE gnn_25 NUMERIC
@ATTRIBUTE gnn_26 NUMERIC
@ATTRIBUTE gnn_27 NUMERIC
@ATTRIBUTE gnn_28 NUMERIC
@ATTRIBUTE gnn_29 NUMERIC
@ATTRIBUTE gnn_30 NUMERIC
@ATTRIBUTE gnn_31 NUMERIC
@ATTRIBUTE gnn_32 NUMERIC
@ATTRIBUTE gnn_33 NUMERIC
@ATTRIBUTE gnn_34 NUMERIC
@ATTRIBUTE gnn_35 NUMERIC
@ATTRIBUTE gnn_36 NUMERIC
@ATTRIBUTE gnn_37 NUMERIC
@ATTRIBUTE gnn_38 NUMERIC
@ATTRIBUTE gnn_39 NUMERIC
@ATTRIBUTE gnn_40 NUMERIC
@ATTRIBUTE gnn_41 NUMERIC
@ATTRIBUTE gnn_42 NUMERIC
@ATTRIBUTE gnn_43 NUMERIC
@ATTRIBUTE gnn_44 NUMERIC
@ATTRIBUTE gnn_45 NUMERIC
@ATTRIBUTE gnn_46 NUMERIC
@ATTRIBUTE gnn_47 NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1.0,15000.0,63000.0,14607.0,62536.0,0.0269,0.0074,0.2336,0.4939,0.5877,0.0,1.0,0.7124,0.0002,0.0643,0.0002,0.0004,0.1614,0.0,0.0,0.9634,0.0002,0.2863,0.0,0.0006,2.706,0.2288,0.1699,0.0,1.0,3.3644,0.0001,0.4016,0.0,0.0004,2.3267,0.4894,0.0004,0.2897,0.0001,0.0011,0.0003,0.2426,0.0001,0.0009,2.9552,0.1023,0.2409,0.037,0.4,2.2421,5.0899,0.0562,5.0,6.0,0.3023,11.1792,0.3326,5.0,21.0,17.0,7.0,13.0,8.0,11.0,64.8077,0.2001,36.0,109.1667,79.3077,49.5,74.1818,56.4,63.0,0.3945,0.5725,0.0001,1.0,0.702,0.0894,0.5691,0.2088,0.3916,0.0923,0.6521,0.0016,0.7135,0.1749,0.0284,0.1236,0.0474,0.0795,783.125,1.3476,2786.38,0.4043,3187.0,0.0,3217.0,0.8341,0.9577,0.9661,0.3501,263.417,0.147,3174.92,0.0135,3167.0,3132.0,3221.0,0.0894,0.5537,0.8259,0.0083,0.2304,0.2906,0.16623116,1.7352026,2.7834601,0.9487758,-0.02482926,-0.040736023,5.0988736,3.14676,0.043786936,-0.028568609,1.2021142,5.377252,0.89754003,5.6428146,0.0020399932,0.95517516,3.1436698,-0.026405297,2.7673607,1.765201,-0.02410275,3.2575645,1.6658763,-0.03162313,-0.0277121011167764,2.17026948928833,0.8892671465873718,2.967167615890503,-0.0005639840965159,0.0778506472706794,16.248476028442383,8.199034690856934,9.07567310333252,-0.0247421711683273,2.3388829231262207,15.07585334777832,2.1800808906555176,3.1394331455230717,9.877480506896973,0.7485952973365784,5.93336296081543,0.4588342607021332,2.930253028869629,0.0710646957159042,0.0295569505542516,1.4976438283920288,5.498721599578857,6.148277282714844
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1.0,700.0,2982.0,692.0,2973.0,0.0116,0.003,0.2328,0.4917,0.5813,0.0,1.0,0.6214,0.0044,0.0392,0.0043,0.0058,0.0742,0.0,0.0,0.9859,0.0044,0.2746,0.001,0.0098,2.6532,0.2288,0.166,0.0,1.0,3.3421,0.0022,0.3858,0.0,0.0057,2.3158,0.5076,0.0086,0.2729,0.002,0.0188,0.0065,0.2292,0.0017,0.0124,2.8998,0.1075,0.2449,0.0555,0.3333,2.273,4.0145,0.0297,4.0,5.0,0.0757,3645.1429,0.033,3462.0,3810.0,3810.0,3462.0,3711.0,3472.0,3688.0,36.1175,0.0646,33.1688,40.6055,40.6055,33.1688,38.2519,34.3506,35.3213,0.3827,0.5891,0.0005,1.0,0.7003,0.0811,0.5568,0.1883,0.3764,0.0865,0.7149,0.0013,0.7851,0.1666,0.025,0.1184,0.043,0.0714,28.7795,0.2041,151.591,0.0623,152.0,140.0,163.0,0.8947,0.2021,0.8576,0.0322,22.4568,0.4415,151.736,0.0655,152.0,140.0,164.0,0.2811,0.3567,0.8392,0.0398,0.2994,0.5045,0.11555132,1.4948782,2.6294613,0.9104506,-0.040576305,-0.0578612,2.669211,3.3103514,0.096667,-0.037777487,0.5616629,3.1744428,0.14957747,3.8110397,-0.03620217,0.51876414,2.983428,-0.0338748,1.068304,1.5575793,-0.028362164,2.1675565,1.8571575,-0.03756448,-0.0350644811987876,2.379661321640014,1.2290806770324707,1.8029335737228396,-0.0347652919590473,0.1447562575340271,10.026028633117676,4.343731880187988,5.127671241760254,-0.035355094820261,2.27424955368042,9.181560516357422,1.635752558708191,3.5925917625427246,6.579756259918213,1.007178783416748,5.2265167236328125,0.5537897944450378,2.1082239151000977,0.1845856755971908,0.053488727658987,1.895597577095032,3.0323214530944824,3.975577116012573
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1.0,450.0,1917.0,439.0,1907.0,0.0251,0.0052,0.2302,0.4944,0.595,0.0,1.0,0.7177,0.0069,0.0611,0.0068,0.0091,0.1539,0.0,0.0,0.9643,0.0069,0.2873,0.0026,0.0147,2.706,0.2186,0.1541,0.0,1.0,3.3049,0.0034,0.3815,0.0,0.0084,2.3078,0.4971,0.0136,0.2818,0.0052,0.0288,0.0106,0.228,0.0037,0.0215,2.923,0.1067,0.2357,0.0523,0.25,2.2504,4.0,0.0,4.0,4.0,0.0,3902.8571,0.0241,3793.0,4049.0,4049.0,3793.0,4036.0,3818.0,3869.0,25.9144,0.0693,23.5001,29.0163,29.0163,23.5001,27.694,24.2236,25.7924,0.3947,0.5618,0.0,1.0,0.6828,0.0808,0.5662,0.2094,0.4099,0.0842,0.6788,0.0044,0.3322,0.1675,0.0255,0.1148,0.0404,0.0696,16.9488,0.2541,97.803,0.0723,98.0,89.0,107.0,0.9481,0.1976,0.8541,0.0383,13.8122,0.2403,97.759,0.0742,98.0,88.0,107.0,0.3571,0.3659,0.8423,0.0364,0.3212,0.533,0.12572205,1.8161863,3.4438958,1.0716326,-0.03622756,-0.037479993,3.948754,3.9346428,0.15252264,-0.021708643,0.76340085,3.9545643,0.35821185,4.68042,-0.02741343,0.63650507,3.6615226,-0.02379668,1.5264482,2.0027196,-0.021659527,2.763259,2.2989206,-0.030919258,-0.025293419137597,2.648157835006714,1.411069393157959,2.268890619277954,-0.0275564193725585,0.2510179877281189,12.640087127685549,5.8395867347717285,6.375847339630127,-0.0320328250527381,2.725670099258423,11.36467170715332,2.180206775665283,4.273279666900635,7.919758319854736,1.100885272026062,6.531930923461914,0.6824148297309875,2.63379979133606,0.2209638804197311,-0.0041649285703897,2.197241306304932,3.930295705795288,5.098654270172119
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1.0,400.0,34000.0,400.0,34000.0,0.0,0.0,0.0118,0.3112,0.6782,0.1429,1.0,0.9975,0.0175,0.0,0.0175,0.0175,0.0,0.0,0.0,0.0,0.0175,0.0373,0.0154,0.0194,4.3402,0.0348,0.0252,0.0,0.1476,2.1705,0.0011,0.1584,0.0007,0.0016,3.0697,0.0602,0.0117,0.0005,0.0117,0.0117,?,?,?,?,?,?,?,?,?,?,2.0401,0.0962,2.0,3.0,0.1683,84.2564,0.214,57.0,133.0,112.0,67.0,93.0,70.0,79.0,57.7886,0.0719,51.6173,66.8647,65.0226,52.451,60.6076,54.2262,57.2143,0.0705,0.698,0.0001,0.273,0.139,0.0115,0.1023,0.0295,0.0629,0.0001,0.3687,0.0,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,33.2124,0.1639,65.768,0.1217,65.0,57.0,75.0,1.4086,0.2585,0.866,0.0541,32.6548,0.1547,65.7976,0.109,65.5,56.0,76.0,0.9441,0.4339,0.8603,0.0448,0.6048,0.702,501878.0,610369.06,4447158.5,2082298.8,2664.9275,152943.48,3325336.0,4251874.5,1519.9161,3253.1633,769578.3,897356.06,659296.06,1116076.4,184865.4,411956.03,2628100.8,9437.691,342987.03,1874062.5,-0.00022178025,736264.0,2349148.0,10454.825,483.8776550292969,1759966.5,1653828.0,326049.3125,9339.810546875,294508.25,1623024.625,1630068.125,773680.3125,3135.116455078125,2907348.25,3133171.25,1019444.625,4162594.5,2006809.625,610678.5,3886425.25,1118809.875,434616.4375,72887.09375,16366.2177734375,2947828.75,770814.5,629563.3125
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1.0,90.0,8010.0,90.0,8010.0,0.0,0.0,0.0112,0.3105,0.6864,0.1429,1.0,0.9997,0.0778,0.0,0.0778,0.0778,0.0,0.0,0.0,0.0,0.0778,0.0403,0.0699,0.0841,3.9008,0.0352,0.0262,0.0,0.1122,2.1754,0.0049,0.1722,0.0025,0.0069,3.1144,0.0633,0.0111,0.0,0.0111,0.0111,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,4385.25,0.0231,4289.0,4527.0,4527.0,4289.0,4527.0,4290.0,4435.0,31.7052,0.0174,30.8879,32.4376,32.4376,30.8879,32.4376,31.7124,31.7829,0.0707,0.7155,0.0001,0.2124,0.1465,0.0104,0.1046,0.0297,0.0645,0.0001,0.4306,0.0,0.0002,0.0001,0.0,0.0001,0.0,0.0001,10.5034,0.2451,15.3984,0.1876,15.0,12.0,19.0,1.9219,0.2967,0.8765,0.09,10.3075,0.2429,15.4183,0.1904,15.0,12.0,19.0,1.6974,0.4046,0.8731,0.0872,0.6615,0.7641,422498.88,517970.22,3423255.5,1629622.8,5409.665,95310.4,3707878.8,3220094.2,16.426687,-0.0006386381,872487.8,697299.44,879878.9,1507438.2,173184.53,383912.12,1949205.5,8503.167,527281.94,1437254.4,-0.001078981,869567.4,1929352.1,-0.00032971334,9519.107421875,1464857.625,1299478.75,350717.28125,38574.078125,163089.671875,2476145.5,2715547.5,1385951.5,1381.8477783203125,2190189.25,3727060.0,724136.9375,3033586.5,2155839.0,535173.0625,3117472.25,1051905.25,699263.75,47547.48828125,35114.08984375,2139228.0,1275316.125,830233.0625
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1.0,50.0,4450.0,50.0,4450.0,0.0,0.0,0.0112,0.3136,0.6788,0.1429,1.0,1.0038,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.0307,0.1312,0.1501,3.5793,0.0321,0.0235,0.0,0.0777,1.9928,0.0089,0.1539,0.0056,0.0126,2.8891,0.0638,0.011,0.0,0.011,0.011,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,4570.6,0.0121,4499.0,4659.0,4659.0,4499.0,4601.0,4537.0,4557.0,19.9056,0.0115,19.6339,20.3076,20.3076,19.6339,19.9622,19.7482,19.8762,0.0649,0.7137,0.0006,0.1523,0.137,0.0104,0.1034,0.0221,0.0565,0.0001,0.3085,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,6.8357,0.2951,8.8815,0.2328,9.0,6.0,12.0,2.1974,0.3427,0.8913,0.1145,6.3286,0.302,8.9003,0.2308,9.0,6.0,12.0,1.9658,0.423,0.8769,0.1161,0.7054,0.776,340698.8,806427.6,4741836.0,2272188.2,-0.0034990076,283316.44,3990871.2,4779082.5,83.608246,2.6923928,1230654.4,1060560.6,915916.4,1742865.5,22264.137,626292.06,2627796.5,13608.709,645140.94,2047363.2,-0.0034591607,1033981.2,2825169.0,-0.002603241,-0.0029245219193398,2168837.25,1920152.625,511343.90625,40923.34765625,462506.90625,3442718.5,2599070.75,1650144.625,67175.5234375,3312002.0,4404382.5,1124529.75,4494658.0,2993910.5,673446.8125,4246696.5,1059694.125,297421.65625,113682.0390625,0.3221089243888855,3332541.5,1536073.0,1069590.5
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1.0,1250.0,25000.0,1250.0,25000.0,0.0,0.0,0.05,0.3756,0.6514,0.2,1.0,0.8329,0.004,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.004,0.0973,0.0027,0.0058,3.6572,0.0761,0.0586,0.0,0.3488,2.9756,0.0007,0.2281,0.0003,0.0014,2.8386,0.1848,0.0137,0.0839,0.0097,0.0184,?,?,?,?,?,?,?,?,?,?,3.0,0.0,3.0,3.0,0.0,33.217,0.2711,19.0,71.0,44.0,23.0,37.0,27.0,32.0,61.3601,0.1074,45.907,78.7619,70.5217,53.5484,65.3429,56.5625,61.0385,0.1611,0.6951,0.0005,0.6114,0.3234,0.0276,0.2341,0.0712,0.1447,0.0027,0.6652,0.0001,0.02,0.0047,0.001,0.0034,0.0015,0.0023,68.0332,0.14,239.251,0.0516,240.0,223.0,255.0,1.0082,0.2235,0.856,0.0262,56.827,0.3438,238.281,0.0895,239.0,223.0,255.0,0.3383,0.776,0.8459,0.078,0.4728,0.5866,415.84503,762.2284,5163.115,2013.5712,4.036698,108.46676,5379.742,4790.7646,1.3257573,6.278511,1190.5472,1870.708,1085.0349,2344.4355,175.57097,687.2089,3070.0054,4.36729,1120.1064,2260.9016,-0.0019663656,1579.7725,2838.3413,0.32450765,7.490082263946533,2061.00048828125,1761.93896484375,633.9619750976562,41.370941162109375,276.5995483398437,4512.21240234375,3635.3779296875,2469.847900390625,2.514669418334961,3243.147216796875,6101.63818359375,1810.3583984375,4844.6708984375,3736.88037109375,655.3225708007812,5260.89306640625,1139.3074951171875,792.5040283203125,112.3026123046875,27.30014038085937,3079.6513671875,1921.832763671875,1605.8759765625
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1.0,550.0,2343.0,544.0,2337.0,0.011,0.0026,0.2328,0.4983,0.5829,0.0,1.0,0.6351,0.0055,0.0408,0.0055,0.0074,0.0796,0.0,0.0,0.9846,0.0055,0.2799,0.0021,0.0116,2.6777,0.2307,0.1729,0.0,1.0,3.3429,0.0028,0.4019,0.0004,0.0073,2.3436,0.5041,0.0109,0.2764,0.0043,0.0218,0.0083,0.2364,0.003,0.0163,2.9209,0.1091,0.2427,0.0541,0.25,2.2948,4.0,0.0,4.0,4.0,0.0,3822.4286,0.0281,3674.0,4014.0,4014.0,3674.0,3906.0,3736.0,3817.0,30.9712,0.1092,26.9066,37.2312,37.2312,26.9066,34.7504,28.8614,29.5637,0.4025,0.5806,0.0039,1.0,0.7287,0.0847,0.5789,0.2132,0.3953,0.0949,0.6438,0.0073,0.3393,0.1813,0.026,0.1274,0.0466,0.0839,16.9422,0.2981,120.957,0.0689,121.0,111.0,131.0,0.9114,0.2165,0.8558,0.0344,14.1506,0.2667,120.724,0.0713,121.0,110.0,132.0,0.3202,0.3846,0.8462,0.034,0.3111,0.619,0.07466952,1.589718,1.5286852,0.6091813,-0.031403244,-0.04701196,2.9509158,1.8241761,0.057547916,-0.033290323,0.8824993,4.326058,0.48889956,4.699705,-0.02427835,0.7152762,2.1735277,-0.029533966,1.7874639,1.0036824,-0.027565688,2.6526556,0.8560008,-0.037010256,-0.0327694453299045,1.5117260217666626,0.4778887927532196,2.563019037246704,-0.0383530631661415,-0.0088221365585923,13.228232383728027,6.141215324401856,7.0142107009887695,-0.0347172692418098,1.392563819885254,11.935678482055664,1.4937963485717771,1.9330296516418457,7.994823455810547,0.4294184148311615,4.310474395751953,0.2980767786502838,2.531729221343994,0.0280164740979671,0.0091350693255662,0.9497998356819152,4.001953125,5.339145183563232
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1.0,70.0,6230.0,70.0,6230.0,0.0,0.0,0.0112,0.3108,0.6918,0.1429,1.0,1.0028,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0393,0.0894,0.1104,3.8449,0.0337,0.0257,0.0,0.1017,2.1293,0.0069,0.1529,0.0045,0.0095,3.0286,0.0689,0.0111,0.0,0.0111,0.0111,?,?,?,?,?,?,?,?,?,?,2.0,0.0,2.0,2.0,0.0,4469.0,0.0175,4395.0,4607.0,4607.0,4395.0,4496.0,4400.0,4447.0,25.9461,0.011,25.4551,26.2427,26.2427,25.4551,26.2046,25.8541,25.9741,0.0679,0.7356,0.0005,0.194,0.1511,0.0105,0.1063,0.0245,0.0565,0.0001,0.4112,0.0,0.0002,0.0001,0.0,0.0001,0.0,0.0001,8.7252,0.2654,12.1057,0.2083,12.0,9.0,15.0,2.0295,0.3104,0.8806,0.0989,8.4841,0.2711,12.1768,0.2097,12.0,9.0,15.0,1.8323,0.4218,0.8773,0.0986,0.6771,0.7565,608520.44,343670.66,4234505.5,1844627.8,-0.0035250538,51864.816,2517487.5,4143060.0,0.8147027,2538.3872,296680.5,687771.0,225544.48,703427.44,112924.88,239614.72,2695888.8,-0.0016151031,110457.664,1680339.4,-0.00212319,230523.14,2381384.2,-0.0036208055,-0.002803448587656,2014157.25,1669870.125,166946.421875,-0.0031957062892615,467679.28125,710019.3125,777339.375,269444.25,-0.0023967691231518,3024087.5,1542587.375,858270.5,4412633.0,1391036.75,930873.125,3521264.75,849902.4375,460870.34375,316006.78125,5964.70458984375,3182721.0,400524.5,213259.078125
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1.0,800.0,3408.0,779.0,3387.0,0.027,0.0062,0.23,0.4949,0.5883,0.0,1.0,0.7252,0.0039,0.0689,0.0039,0.0077,0.1763,0.0,0.0,0.9593,0.0039,0.3032,0.0015,0.0097,2.7579,0.2262,0.1692,0.0,1.0,3.3549,0.0019,0.4127,0.0003,0.005,2.3869,0.5004,0.0078,0.3022,0.003,0.0192,0.006,0.249,0.0021,0.0124,3.0036,0.1046,0.2523,0.0465,0.25,2.2988,4.0167,0.0319,4.0,5.0,0.0849,1585.625,0.5855,695.0,3369.0,3206.0,724.0,2697.0,839.0,1136.0,32.4931,0.1492,26.0026,40.1961,40.0484,26.6508,37.9676,28.6412,30.6303,0.3965,0.5791,0.0003,1.0,0.7248,0.0788,0.5646,0.2238,0.3854,0.0914,0.6799,0.0032,0.408,0.1818,0.0272,0.1256,0.0446,0.0757,24.6923,0.2621,172.325,0.0569,172.0,160.0,185.0,0.8575,0.2133,0.8527,0.0297,19.5296,0.2811,171.73,0.0652,172.0,159.0,184.0,0.2634,0.4266,0.8406,0.0339,0.299,0.4884,0.103575125,1.857416,3.8513901,1.1981001,-0.031263657,-0.040813938,5.474632,4.1614604,0.18554272,-0.029927034,1.584411,5.499207,0.7506968,5.91434,-0.025881618,0.9665097,3.979086,-0.026487514,2.7067544,2.1556323,-0.027235834,3.1860335,2.3171387,-0.033627395,-0.0307303760200738,2.6564037799835205,1.5480623245239258,3.12849235534668,-0.0127518596127629,0.211600661277771,16.944522857666016,8.458706855773926,9.467978477478027,-0.0255155395716428,2.922110080718994,16.029085159301758,2.48406982421875,4.938596248626709,10.53719997406006,0.901184618473053,7.229928970336914,0.7309662699699402,3.125795364379883,0.1123625263571739,0.0375060997903347,2.3278701305389404,5.807043552398682,6.598864555358887
