@RELATION SAT11-RANDOM-FeatureRuntime

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE ls_gsat NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE ls_saps NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1.0,0.61,2.01,2.0,2.01,1.34,0.23,0.78,2.31,0.02,2.08,0.0034596920013427
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1.0,0.0,1.99,2.0,0.1,0.05,0.0,0.03,2.52,0.0,2.22,0.0014855861663818
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1.0,0.0,1.99,2.0,0.04,0.03,0.0,0.01,2.5,0.0,2.22,0.0017929077148437
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1.0,0.02,1.99,2.0,1.45,60.31,0.11,1.88,2.1,0.01,2.08,0.0027275085449218
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1.0,0.0,2.0,2.0,0.04,60.16,0.01,0.36,2.08,0.01,2.05,0.002040147781372
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1.0,0.0,1.99,2.0,0.01,60.01,0.0,0.2,2.06,0.0,2.06,0.0020687580108642
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1.0,0.02,1.98,2.0,2.01,60.01,0.06,0.46,2.2,0.0,2.11,0.0017287731170654
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1.0,0.0,2.01,2.0,0.05,0.04,0.0,0.02,2.58,0.0,2.22,0.0014727115631103
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1.0,0.0,1.99,2.0,0.03,60.22,0.01,0.29,2.05,0.0,2.06,0.0019223690032958
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1.0,0.0,2.0,2.0,0.13,0.06,0.0,0.03,2.5,0.0,2.19,0.0018975734710693
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1.0,0.01,2.0,2.0,0.04,60.12,0.01,0.32,2.05,0.0,2.05,0.0020656585693359
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1.0,0.01,1.98,2.0,0.03,60.21,0.01,0.28,2.06,0.0,2.08,0.0020685195922851
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1.0,0.0,2.0,2.0,0.06,0.05,0.0,0.03,2.5,0.0,2.23,0.0014934539794921
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1.0,1.1,2.0,2.05,2.01,1.87,0.32,1.11,2.23,0.01,2.09,0.0042765140533447
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1.0,0.01,2.0,2.0,0.13,60.04,0.03,0.69,2.06,0.0,2.05,0.0019164085388183
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1.0,0.0,1.99,2.0,0.01,7.36,0.0,0.04,2.15,0.0,2.13,0.0017585754394531
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1.0,3.25,1.99,2.07,2.03,3.37,0.61,2.21,2.22,0.04,2.15,0.006152868270874
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1.0,0.0,1.99,2.0,0.02,7.2,0.0,0.03,2.19,0.0,2.14,0.0015897750854492
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1.0,4.24,2.0,2.16,2.05,3.9,0.72,2.57,2.19,0.04,2.16,0.0069572925567626
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1.0,2.46,2.0,2.01,2.03,2.89,0.52,1.85,2.18,0.03,2.11,0.0052869319915771
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1.0,0.02,1.99,2.0,2.01,60.01,0.07,0.56,2.19,0.01,2.09,0.0018196105957031
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1.0,0.0,1.99,2.0,0.02,11.26,0.0,0.05,2.17,0.0,2.14,0.0014593601226806
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1.0,0.0,2.0,2.0,0.03,11.2,0.0,0.05,2.18,0.0,2.12,0.0015039443969726
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1.0,0.01,1.99,2.0,0.04,60.02,0.01,0.32,2.04,0.0,2.05,0.0020194053649902
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1.0,0.01,1.99,2.0,0.03,60.11,0.01,0.32,2.06,0.0,2.04,0.0019657611846923
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1.0,0.0,1.99,2.0,0.03,0.03,0.0,0.02,2.53,0.0,2.26,0.001544713973999
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1.0,0.0,1.99,2.0,0.06,0.04,0.0,0.02,2.5,0.0,2.25,0.0015480518341064
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1.0,0.01,1.99,2.0,1.34,0.2,0.02,0.1,2.48,0.01,2.16,0.0014760494232177
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1.0,0.01,2.0,2.0,0.05,60.09,0.01,0.36,2.06,0.0,2.04,0.0020630359649658
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1.0,0.01,1.99,2.0,0.04,60.14,0.01,0.32,2.06,0.0,2.07,0.0018813610076904
SAT11/random/medium/unif-k7-r89-v60-c5340-S239039906-021.SATISFIABLE.cnf,1.0,0.0,1.99,2.0,0.02,60.14,0.01,0.24,2.07,0.0,2.06,0.0018258094787597
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S643238994-057-UNKNOWN.cnf,1.0,2.4,2.0,2.09,2.03,2.87,0.51,1.82,2.18,0.03,2.11,0.0053076744079589
SAT11/random/medium/unif-k3-r4.26-v300-c1278-S1869766438-024.UNKNOWN.cnf,1.0,0.0,1.98,2.0,0.01,0.02,0.0,0.02,2.55,0.0,2.25,0.0014750957489013
