@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC

@DATA
13pipe_q0_k.cnf,1,1959.6914,1013.80133,-0.0,778.6558,-0.0,-0.0,94.73259,-0.0,-0.0,1038.3379,-0.0,707.39417,-0.0,694.8158,1980.8304,788.9508
ACG-20-10p1.cnf,1,4225.156,2201.3713,-0.0,1733.2368,-0.0,-0.0,191.77531,-0.0,-0.0,2202.9194,-0.0,1501.5645,-0.0,1470.0188,4243.415,1667.7949
complete-400-0.1-3-9876543214003.cnf,1,20.24966,10.400112,-0.0,7.616454,-0.0,-1.20022e-06,0.88563615,-0.00014291074,-0.0,11.621326,-0.008269422,7.827051,-0.0,7.588459,20.93612,8.481606
atco_enc1_opt1_10_15.cnf,1,204.31259,107.052475,-0.0,82.96101,-0.0,-0.0,8.985341,-0.0,-0.0,109.08911,-0.0,74.2659,-0.0,70.97731,207.354,81.63442
jgiraldezlevy.2200.9086.08.40.188.cnf,1,8.58606,3.527098,-0.0,26.237259,-0.0,2.4569,22.800303,-0.0,-0.003302144,-0.0,28.36072,6.9704337,-0.0,-0.017621996,24.872688,20.988312
50bit.dimacs.cnf,1,25.835926,13.341884,-0.0,9.9357395,-0.0,-0.0,1.1486983,-1.6291128e-06,-0.0,14.589421,-0.0012001754,9.813361,-0.0,9.537581,26.631617,10.683615
manthey_DimacsSorterHalf_31_2.cnf,1,48.33077,24.757303,-0.0,18.034473,-0.0,-0.0,2.8817623,-0.0,-0.0,27.157011,-0.0,18.382433,-0.0,17.868801,49.293808,20.489086
manthey_DimacsSorter_28_7.cnf,1,15.037859,7.875358,-0.0,6.035905,-0.0,-0.00025202392,0.59461325,-0.007266589,-0.0,8.604336,-0.01623051,5.756777,-0.0,5.4272065,15.248526,6.1666894
manol-pipe-c10nid_i.cnf,1,920.3926,469.55872,-0.0,338.81274,-0.0,-0.0,57.268078,-0.0,-0.0,511.11768,-0.0,347.00085,-0.0,340.50848,938.9814,389.9424
aaai10-planning-ipc5-pathways-13-step17.cnf,1,78.11038,30.395466,-0.0,266.9905,-0.0,35.948246,255.9236,-0.0,-0.0,-0.0,315.70438,82.55834,-0.0,-0.0,257.7286,230.05382
