@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC
@ATTRIBUTE gnn_16 NUMERIC
@ATTRIBUTE gnn_17 NUMERIC
@ATTRIBUTE gnn_18 NUMERIC
@ATTRIBUTE gnn_19 NUMERIC
@ATTRIBUTE gnn_20 NUMERIC
@ATTRIBUTE gnn_21 NUMERIC
@ATTRIBUTE gnn_22 NUMERIC
@ATTRIBUTE gnn_23 NUMERIC
@ATTRIBUTE gnn_24 NUMERIC
@ATTRIBUTE gnn_25 NUMERIC
@ATTRIBUTE gnn_26 NUMERIC
@ATTRIBUTE gnn_27 NUMERIC
@ATTRIBUTE gnn_28 NUMERIC
@ATTRIBUTE gnn_29 NUMERIC
@ATTRIBUTE gnn_30 NUMERIC
@ATTRIBUTE gnn_31 NUMERIC
@ATTRIBUTE gnn_32 NUMERIC
@ATTRIBUTE gnn_33 NUMERIC
@ATTRIBUTE gnn_34 NUMERIC
@ATTRIBUTE gnn_35 NUMERIC
@ATTRIBUTE gnn_36 NUMERIC
@ATTRIBUTE gnn_37 NUMERIC
@ATTRIBUTE gnn_38 NUMERIC
@ATTRIBUTE gnn_39 NUMERIC
@ATTRIBUTE gnn_40 NUMERIC
@ATTRIBUTE gnn_41 NUMERIC
@ATTRIBUTE gnn_42 NUMERIC
@ATTRIBUTE gnn_43 NUMERIC
@ATTRIBUTE gnn_44 NUMERIC
@ATTRIBUTE gnn_45 NUMERIC
@ATTRIBUTE gnn_46 NUMERIC
@ATTRIBUTE gnn_47 NUMERIC
@ATTRIBUTE gnn_48 NUMERIC
@ATTRIBUTE gnn_49 NUMERIC
@ATTRIBUTE gnn_50 NUMERIC
@ATTRIBUTE gnn_51 NUMERIC
@ATTRIBUTE gnn_52 NUMERIC
@ATTRIBUTE gnn_53 NUMERIC
@ATTRIBUTE gnn_54 NUMERIC
@ATTRIBUTE gnn_55 NUMERIC
@ATTRIBUTE gnn_56 NUMERIC
@ATTRIBUTE gnn_57 NUMERIC
@ATTRIBUTE gnn_58 NUMERIC
@ATTRIBUTE gnn_59 NUMERIC
@ATTRIBUTE gnn_60 NUMERIC
@ATTRIBUTE gnn_61 NUMERIC
@ATTRIBUTE gnn_62 NUMERIC
@ATTRIBUTE gnn_63 NUMERIC

@DATA
13pipe_q0_k.cnf,1,43302630000000.0,-5774662700000.0,238825600000000.0,-1331489100000.0,884143000000000.0,211627100000000.0,-2135553200000.0,56621493000000.0,652055800000000.0,739116700000000.0,58055340000000.0,-3515186700000.0,-5188800000000.0,125704350000000.0,-9640900000000.0,856532700000000.0,-351722080000.0,-2532979800000.0,-2636045600000.0,-6162487400000.0,135360730000000.0,-5089952000000.0,-5860808500000.0,2060798700000000.0,-3144529500000.0,74380850000000.0,-11264982000000.0,725627500000000.0,811409450000000.0,-2570586000000.0,-7949155000000.0,-1007041300000.0,1020587300000000.0,1358410400000000.0,739333900000000.0,-517073800.0,-8726638000000.0,-421383340000.0,-17047380000000.0,-6692585600000.0,-9404948000000.0,138372940000000.0,505567800000000.0,520692400000000.0,-10840691000000.0,-4864603600000.0,281341550000000.0,670126200000000.0,-397980200000.0,-8044355000000.0,-12854134000000.0,43311457000000.0,-2991312300000.0,-6798443000000.0,-1708436600000.0,91301740000000.0,1166815900000000.0,719447960000000.0,517614500000000.0,1363444900000000.0,229895320000000.0,-5717110600000.0,1074691100000000.0,458237580000000.0
ACG-20-10p1.cnf,1,15241.913,-5.210637,-113.23299,-213.42162,22710.947,18292.725,-399.1097,17030.37,22479.7,15049.246,-94.1291,806.6893,6657.202,-40.583557,-212.38647,7802.6685,8083.925,-139.08566,327.02505,6501.6196,5633.5215,-147.1853,-59.370964,27140.26,6950.701,-127.86654,-543.265,26613.477,4533.8486,-78.411385,-164.67014,14597.817,31421.375,3801.8032,12105.203,-225.45984,-242.20166,3431.1243,-351.71152,-54.632626,-238.2117,3936.735,11740.573,-114.29906,-484.59604,-132.61815,1559.8369,-40.56073,-92.47082,-75.51638,-298.75876,-12.104768,-110.89364,-105.015,-229.8735,11855.231,18028.422,3040.3137,24614.7,35005.06,1086.2131,-203.77827,34731.867,29898.436
complete-400-0.1-3-9876543214003.cnf,1,31994216000.0,-4352469000.0,184103290000.0,-976690200.0,672282840000.0,158831440000.0,-1525953700.0,42450846000.0,495886800000.0,565394800000.0,46972862000.0,-2719046700.0,-3965723400.0,98386936000.0,-7295952000.0,650758060000.0,-284737380.0,-1915933800.0,-2015603600.0,-4605771300.0,106182360000.0,-3855641300.0,-4465191000.0,1562628700000.0,-2399000300.0,59756863000.0,-8513995000.0,546899430000.0,616892200000.0,-1940915000.0,-5980784600.0,-729390000.0,775227100000.0,1036324900000.0,561932530000.0,-62621612.0,-6609502700.0,-295080420.0,-12933367000.0,-5025749500.0,-7084046000.0,107195200000.0,381920280000.0,396062980000.0,-8184469500.0,-3664796700.0,214155250000.0,510444000000.0,-345723300.0,-6065196500.0,-9715299000.0,35054158000.0,-2284294700.0,-5116336000.0,-1218328600.0,70675690000.0,882410460000.0,543915380000.0,387995860000.0,1035005850000.0,173498500000.0,-4358276000.0,813030440000.0,347030320000.0
atco_enc1_opt1_10_15.cnf,1,-489458.22,-385122.62,-154103.06,-866392.06,8122368.0,-94912.46,-366448.94,26861556.0,44943370.0,9310104.0,-1000256.7,-1951.019,-584442.44,-295865.84,-890581.0,66252920.0,-25661.479,10889548.0,-262467.34,-313301.88,44594240.0,-708988.25,-239586.05,89352696.0,-199225.75,26917892.0,-912163.8,77694120.0,44087070.0,-356676.5,-1046556.7,11467912.0,19980076.0,54514456.0,24473422.0,-96885.26,-773527.0,-312256.84,-749076.7,-820710.06,-897039.8,57135080.0,16495372.0,-453081.3,-786862.8,-328726.1,-503274.94,87891760.0,-280328.94,-605991.8,-802345.1,-265682.62,-121584.836,-22341.42,-329847.34,12684896.0,62004096.0,12346700.0,11136004.0,138987550.0,50902984.0,4185844.0,125062020.0,77267350.0
jgiraldezlevy.2200.9086.08.40.188.cnf,1,-0.03791716,-0.043187078,-0.042540994,-0.011695796,5.5364065,2.7827122,-0.08897601,0.46602693,6.509979,-0.0011932303,-0.04712734,-0.02682469,-0.014992858,-0.023385065,-0.13481687,8.2080765,-0.0050544096,-0.020208323,-0.035242464,0.48706365,-0.008283742,-0.073120475,0.5840244,17.240555,-0.011035805,-0.004375548,-0.09776865,7.9679747,4.55443,-0.03340056,-0.0734375,4.4280305,7.5472503,6.5406723,8.8763275,-0.015359117,-0.08188331,-0.026436092,-0.091402635,-0.09709448,-0.11522695,0.7772291,1.2816919,-0.00785151,-0.12418523,-0.021147383,-0.008363486,4.0351796,-0.014452921,-0.07170223,-0.15242353,-0.011568292,-0.009136316,-0.04799586,-0.014410047,2.3103864,6.0520554,6.3108687,2.7343748,13.555114,5.12673,-0.022641802,13.963501,10.390909
50bit.dimacs.cnf,1,-1003.59216,-1471.3489,-581.25494,-2342.4001,34670.6,1933.5427,-1772.2284,42913.06,155487.19,46213.164,-3566.0386,-527.5639,-1426.0331,-653.1397,-3081.8909,243028.53,47612.105,50656.13,-808.1407,-1158.9991,112774.36,-2475.4553,-1270.3314,331015.5,-594.5473,70081.98,-3647.8965,285487.84,118636.52,-1073.9684,-3851.824,48184.03,106901.34,174986.52,115661.92,-395.88986,-3475.4822,-1311.9291,-2689.533,-2594.8477,-3184.1042,163109.31,124902.32,-1727.0549,-3666.2024,-832.59766,-1462.4213,307291.56,-993.6508,-1704.1725,-2809.5327,-473.90213,-385.60605,-416.23038,-1240.6948,42194.867,210157.62,79453.21,41974.055,537242.1,184465.33,31368.988,429750.0,318605.9
manthey_DimacsSorterHalf_31_2.cnf,1,-2.5977252,-4.009241,-3.2637477,-10.17354,261.2323,-0.46064767,-6.85907,385.52966,814.23035,206.65636,-12.938603,-2.006892,-4.625434,-2.4032092,-14.890096,832.7972,-1.087885,132.82768,-3.3342166,-2.760055,391.16553,-10.116143,-4.006838,1496.0602,-2.6884465,365.98795,-14.958136,1278.582,485.59604,-4.1056457,-14.865035,112.44994,556.86743,946.6991,723.66925,-2.002053,-12.348646,-5.0878844,-11.346764,-11.352387,-13.724298,587.3643,508.1258,-6.0557685,-14.685885,-2.700052,-5.0281653,1143.1438,-4.8511353,-7.0734076,-12.250905,-2.6275048,-2.6586494,-2.302301,-5.679555,207.9241,943.29974,365.16626,246.67049,2158.1736,723.1673,43.91987,1909.0009,1212.1019
manthey_DimacsSorter_28_7.cnf,1,-0.22525871,-0.43349373,-0.89039886,-1.9577441,48.4899,3.9801657,-1.6249411,105.534615,175.70593,66.814476,-2.65514,-0.30462307,-0.68318164,-0.43882647,-2.946057,147.09291,-0.24874587,20.854221,-0.6239873,-0.24890856,102.66344,-2.0452662,-0.7312619,268.64456,-0.44004297,54.662422,-3.1995883,284.43228,53.018566,-0.74166214,-2.9206991,35.011955,132.2409,183.01917,149.15488,-0.7395538,-2.4972627,-0.7988694,-1.9823953,-2.0743651,-2.5814352,119.051476,112.98597,-1.5496,-3.219788,-0.46115217,-1.0058448,195.76799,-1.221113,-1.0829297,-2.398291,-0.78082436,-0.7982222,-0.39509255,-1.3671634,36.63978,173.07207,34.621128,46.93268,426.335,128.67577,15.009038,376.27097,285.2485
manol-pipe-c10nid_i.cnf,1,43016.1,-1365.4291,137545.3,-1397.263,287029.84,-395.18875,-904.95605,214514.83,158065.86,125816.41,-630.3849,-1620.4772,51548.742,-188.51967,-3215.5308,220894.28,2527.1929,-1556.5753,-557.8299,34146.938,41202.79,-2192.255,-334.2193,521501.56,-775.867,50845.957,-3024.204,241262.02,213437.1,-347.7575,-2226.473,-337.72562,253570.36,333051.75,125812.836,-186.92972,-1331.1467,-174.3699,-3474.9392,-2326.7346,-3675.8816,-542.1731,138510.78,52862.453,-2309.3337,-2448.9153,110533.445,177594.03,19777.635,-1606.0901,-3662.7559,-226.45323,-202.31824,-2006.6788,5981.3105,29417.29,364347.9,222517.06,93047.79,436386.38,129310.97,-1494.8125,415694.0,109430.0
aaai10-planning-ipc5-pathways-13-step17.cnf,1,3160.7307,-273.57858,7188.3145,-35.928963,34864.297,7656.5938,-131.48279,458.69125,21168.01,23989.844,1153.2408,-147.64423,-195.21533,5022.3184,-410.68674,33975.867,-21.698765,-108.71512,-80.09172,-260.03784,595.92865,-197.34361,-214.84996,85568.09,-121.26389,2805.4495,-450.8897,27996.367,33083.953,-108.322296,-337.55573,-50.654076,44643.59,51852.664,30547.707,1760.3601,-380.03458,-45.85757,-689.6264,-285.80463,-384.40668,4799.5186,22394.764,20156.668,-487.64557,-186.75923,13012.079,24990.322,-28.263918,-276.2764,-533.11993,1657.4197,-102.56585,-299.3857,-101.248825,6224.223,47769.867,31447.172,21595.297,51914.652,8421.486,-234.81229,45378.43,20318.076
