@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC
@ATTRIBUTE gnn_16 NUMERIC
@ATTRIBUTE gnn_17 NUMERIC
@ATTRIBUTE gnn_18 NUMERIC
@ATTRIBUTE gnn_19 NUMERIC
@ATTRIBUTE gnn_20 NUMERIC
@ATTRIBUTE gnn_21 NUMERIC
@ATTRIBUTE gnn_22 NUMERIC
@ATTRIBUTE gnn_23 NUMERIC
@ATTRIBUTE gnn_24 NUMERIC
@ATTRIBUTE gnn_25 NUMERIC
@ATTRIBUTE gnn_26 NUMERIC
@ATTRIBUTE gnn_27 NUMERIC
@ATTRIBUTE gnn_28 NUMERIC
@ATTRIBUTE gnn_29 NUMERIC
@ATTRIBUTE gnn_30 NUMERIC
@ATTRIBUTE gnn_31 NUMERIC
@ATTRIBUTE gnn_32 NUMERIC
@ATTRIBUTE gnn_33 NUMERIC
@ATTRIBUTE gnn_34 NUMERIC
@ATTRIBUTE gnn_35 NUMERIC
@ATTRIBUTE gnn_36 NUMERIC
@ATTRIBUTE gnn_37 NUMERIC
@ATTRIBUTE gnn_38 NUMERIC
@ATTRIBUTE gnn_39 NUMERIC
@ATTRIBUTE gnn_40 NUMERIC
@ATTRIBUTE gnn_41 NUMERIC
@ATTRIBUTE gnn_42 NUMERIC
@ATTRIBUTE gnn_43 NUMERIC
@ATTRIBUTE gnn_44 NUMERIC
@ATTRIBUTE gnn_45 NUMERIC
@ATTRIBUTE gnn_46 NUMERIC
@ATTRIBUTE gnn_47 NUMERIC

@DATA
13pipe_q0_k.cnf,1,3.2433463e+24,9.251977e+26,3.6919898e+27,1.4564416e+27,2.3315436e+16,2.745134e+21,1.432714e+27,4.2751956e+27,329261020000000.0,114070130000000.0,2.9144963e+26,2.304652e+25,4.15909e+26,1.6118021e+25,4.485212e+26,2.3048926e+26,1.5751027e+27,2725979600000.0,1.6359395e+25,2.0987215e+27,-0.0002251311,7.999847e+26,2.4327016e+27,25913691000000.0,3.7234732e+21,1.5747366e+27,1.5685277e+27,2.0136689e+21,1.6920554e+21,1.7024506e+21,3.433541e+25,4.123911e+25,2.457282e+25,50936987000000.0,2.8017573e+27,6.9355183e+25,6.477757e+26,3.687325e+27,6.519576e+26,5.036389e+26,2.6796322e+27,1.366443e+27,7.152506e+24,20766492000000.0,6.671431e+20,2.2143535e+27,1.7392012e+25,2.0978456e+25
ACG-20-10p1.cnf,1,3237.5393,13388.275,61625.305,27398.06,21.416195,1045.0323,32099.686,64828.43,0.06929374,29.045296,5742.6724,5858.5444,3821.504,7290.3164,4274.7104,7453.743,40401.875,4.329429,2065.2227,25258.734,-0.0025733323,9055.282,42176.27,0.9507882,10.638682,29636.357,29854.213,2213.8835,264.41827,4699.6055,10686.789,12989.446,5505.271,1.2329922,44722.54,19048.803,11293.822,62842.95,18427.79,10237.824,53382.473,22061.771,4038.0732,131.35977,1340.7506,41267.777,5868.895,3436.1995
complete-400-0.1-3-9876543214003.cnf,1,6.6452864e+19,4.4981417e+22,1.7930487e+23,7.0671535e+22,-7.844204e-06,-4.4609442e-05,6.913846e+22,2.0780102e+23,-0.00021265502,-1.8172334e-05,1.4053018e+22,8.2873354e+20,2.0055067e+22,5.7984172e+20,2.1803232e+22,1.1193245e+22,7.652967e+22,6.518898e-05,6.151414e+20,1.0199863e+23,-5.1746516e-05,3.887596e+22,1.1825792e+23,-1.1772745e-05,1.6782298e-05,7.65642e+22,7.626262e+22,1.3209345e+17,-1.5195529e-06,37097.88,1.2124032e+21,1.4106627e+21,9.050737e+20,4.255231e-05,1.36191005e+23,2.8291858e+21,3.1482562e+22,1.7922228e+23,3.1348159e+22,2.4498776e+22,1.301346e+23,6.64101e+22,2.2465836e+20,-1.6204127e-05,7.1322684e-06,1.076346e+23,6.237279e+20,7.484874e+20
atco_enc1_opt1_10_15.cnf,1,1371176800000.0,5679201000000.0,25339410000000.0,12043192000000.0,24187530.0,41763746000.0,22715832000000.0,26273265000000.0,141742740.0,639934.0,4495516400000.0,10144654000000.0,6548184000000.0,7175144500000.0,2724908000000.0,2493683900000.0,10459715000000.0,30859.771,7251373000000.0,12873715000000.0,-0.0022022682,5172511000000.0,14924656000000.0,4525.2603,47328490.0,9766398000000.0,9647150000000.0,49087070000.0,77077594000.0,6529771000.0,15510973000000.0,18330568000000.0,11054265000000.0,3970.3926,17306183000000.0,18181914000000.0,4060208700000.0,22639832000000.0,15304419000000.0,3134409700000.0,20207809000000.0,8416813600000.0,3114221200000.0,1297078.8,2810189600.0,13612381000000.0,7952280300000.0,9041756000000.0
jgiraldezlevy.2200.9086.08.40.188.cnf,1,0.41993615,2.9418364,10.571257,3.5034783,-0.007023041,-0.0018225582,12.309324,10.720666,0.09312027,0.009018556,2.3402288,8.394649,1.8747908,8.966037,0.33732116,1.5197097,8.345875,-0.009615107,4.6720657,5.2829814,-0.005618745,5.9399333,6.2978272,-0.011304192,-0.013321757,5.896248,3.618279,3.5219877,0.039813742,0.57044816,22.984549,13.360993,13.185966,-0.00398021,7.888616,23.380352,5.7316437,10.58185,15.856898,2.0784442,14.473193,1.7773407,4.435471,0.37203485,0.05934947,5.3471417,8.327205,9.406401
50bit.dimacs.cnf,1,2018004600.0,14879943000.0,65846026000.0,32027992000.0,205361120.0,3715981000.0,72267060000.0,76124900000.0,5377654.0,494570100.0,15367586000.0,44510556000.0,22815031000.0,39389950000.0,5074031600.0,11116493000.0,34417385000.0,6309043.0,29038914000.0,33079611000.0,-0.00027324894,17410951000.0,40392220000.0,2649768.5,29187396.0,33286382000.0,28127283000.0,8089561600.0,2277061400.0,1920818700.0,77461545000.0,66730684000.0,57995006000.0,78111480.0,50799727000.0,99425380000.0,13443486000.0,63812590000.0,60681757000.0,8958517000.0,59230610000.0,24839768000.0,6961026600.0,1030531500.0,1037111000.0,41897020000.0,44023636000.0,32010492000.0
manthey_DimacsSorterHalf_31_2.cnf,1,8282.868,57918.176,259028.64,124900.33,0.7624362,443.40646,313471.34,275748.0,0.08341656,1011.035,50041.73,161174.88,105880.36,126600.55,26883.822,39518.688,111359.555,0.65072304,131706.31,137976.14,-0.00037618846,75991.26,165025.84,-0.0003937492,171.50294,107532.33,104130.58,6996.148,10216.334,142.5282,301600.34,315266.62,214092.38,3.4188185,185668.33,326519.84,46296.88,239951.25,248628.3,44039.914,238377.77,85570.13,44406.45,0.38768506,23.938345,144022.03,150628.75,138806.62
manthey_DimacsSorter_28_7.cnf,1,567.4291,5992.1753,26131.45,12001.611,0.5008753,25.94241,33382.64,28593.445,0.5914507,187.62567,4781.3174,17059.863,11821.106,14285.584,2769.1328,4417.7773,11979.9375,2.9371364,14520.037,14327.474,-0.00042607976,8740.2,17420.975,0.06936186,8.775815,11452.182,10892.862,1291.4696,1527.0548,48.76667,35373.746,35020.004,24720.137,0.106819905,19463.74,37241.535,4975.57,25052.22,27705.225,4977.4214,24961.445,8735.467,4610.708,0.9752743,1.3163791,15043.115,17454.697,14527.9795
manol-pipe-c10nid_i.cnf,1,8074044.0,51785650.0,269204740.0,123748550.0,925027.8,3332923.5,163108160.0,299173920.0,9585.402,4796103.0,44415530.0,39034496.0,38425640.0,49742580.0,20926434.0,28789016.0,138866980.0,1076.3253,21047598.0,134797920.0,-0.015629651,46810164.0,179062060.0,845702.0,45179.84,132523800.0,116279570.0,11029872.0,1015637.56,7982874.0,87475176.0,81877190.0,55423684.0,78157.8,203285700.0,128589970.0,59244120.0,266680780.0,115405490.0,39352732.0,226363140.0,91476990.0,8743683.0,2203251.5,2884814.8,182527940.0,42625320.0,39982548.0
aaai10-planning-ipc5-pathways-13-step17.cnf,1,14500.662,9413276.0,37676480.0,14627796.0,-0.009570605,1617.3494,14569324.0,43387772.0,0.06301362,25.349941,2742634.0,229073.61,4023251.8,155692.36,4435289.5,2226296.5,16270093.0,0.015007575,179236.81,21345960.0,-0.0077698557,8510263.0,25085936.0,0.11752528,221.74399,16291785.0,16076396.0,2524.0237,963.8036,1416.4258,338263.78,380853.28,260128.1,2.599636,28612756.0,392047.03,6686355.5,37427692.0,6724203.5,5651520.0,27678272.0,13784908.0,59630.305,13.2905655,298.9805,22377430.0,176598.0,194789.98
