@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE Pre-featuretime NUMERIC
@ATTRIBUTE vars-clauses-ratio NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE VCG-CLAUSE-min NUMERIC
@ATTRIBUTE VCG-CLAUSE-max NUMERIC
@ATTRIBUTE VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY+ NUMERIC
@ATTRIBUTE TRINARY+ NUMERIC
@ATTRIBUTE Basic-featuretime NUMERIC
@ATTRIBUTE VCG-VAR-mean NUMERIC
@ATTRIBUTE VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE VCG-VAR-min NUMERIC
@ATTRIBUTE VCG-VAR-max NUMERIC
@ATTRIBUTE VCG-VAR-entropy NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE HORNY-VAR-mean NUMERIC
@ATTRIBUTE HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE HORNY-VAR-min NUMERIC
@ATTRIBUTE HORNY-VAR-max NUMERIC
@ATTRIBUTE HORNY-VAR-entropy NUMERIC
@ATTRIBUTE horn-clauses-fraction NUMERIC
@ATTRIBUTE VG-mean NUMERIC
@ATTRIBUTE VG-coeff-variation NUMERIC
@ATTRIBUTE VG-min NUMERIC
@ATTRIBUTE VG-max NUMERIC
@ATTRIBUTE KLB-featuretime NUMERIC
@ATTRIBUTE CG-mean NUMERIC
@ATTRIBUTE CG-coeff-variation NUMERIC
@ATTRIBUTE CG-min NUMERIC
@ATTRIBUTE CG-max NUMERIC
@ATTRIBUTE CG-entropy NUMERIC
@ATTRIBUTE cluster-coeff-mean NUMERIC
@ATTRIBUTE cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE cluster-coeff-min NUMERIC
@ATTRIBUTE cluster-coeff-max NUMERIC
@ATTRIBUTE cluster-coeff-entropy NUMERIC
@ATTRIBUTE CG-featuretime NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC

@DATA
13pipe_q0_k.cnf,1.0,176066.0,5761591.0,100858.0,5603534.0,0.745682048,0.028206664,13.42,0.017998998,0.897948825,0.312084569,0.0,1.0,0.656807955,3.2032e-05,3.110022771,1.983e-05,0.003975887,0.479769889,0.0,0.925305709,0.936539334,0.4,3.2032e-05,3.888349649,1.249e-06,0.004109906,5.079426949,0.509768561,0.350061134,0.0,0.9875,3.825304396,1.8666e-05,2.999946572,0.0,0.001113761,4.92879999,0.935851554,5.2956e-05,2.535993458,1.249e-06,0.003298454,14.8,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,21.78,1959.6897,1013.8006,0.0,778.6553,0.0,0.0,94.732574,0.0,0.0,1038.3369,0.0,707.3936,0.0,694.81525,1980.8289,788.9501
ACG-20-10p1.cnf,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4225.1562,2201.3716,0.0,1733.2369,0.0,0.0,191.77533,0.0,0.0,2202.9194,0.0,1501.5645,0.0,1470.0188,4243.4146,1667.7947
complete-400-0.1-3-9876543214003.cnf,1.0,800.0,47369.0,800.0,47369.0,0.0,0.0,0.2,0.016888682,0.638886303,0.726710607,0.0,1.0,1.481220415,0.017936282,1.28308104,0.0025,0.07625,1.638678657,0.0,0.681838333,0.681838333,-0.0,0.017936282,0.925031558,0.001203319,0.050771602,5.304646584,0.444543932,0.362947794,0.0,0.858666667,3.251034246,0.002136023,0.22432666,0.001182208,0.003525512,4.344540963,0.690282674,0.009224862,0.017797829,0.008127678,0.009732103,0.08,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.26,20.249664,10.400111,0.0,7.6164546,0.0,-1.20022e-06,0.88563806,-0.00014291075,0.0,11.621329,-0.0082695875,7.8270516,0.0,7.58846,20.93612,8.4816065
atco_enc1_opt1_10_15.cnf,1.0,46759.0,261059.0,22282.0,202936.0,1.098510008,0.286410494,0.84,0.109798163,0.547749562,0.598413983,0.0,1.0,1.96809359,0.000176932,0.517409334,8.9759e-05,0.000987344,1.836488773,0.0,0.260027792,0.528871171,0.02,0.000176932,2.814027116,9.855e-06,0.005144479,3.240879759,0.306218892,0.198859855,0.0,1.0,3.20702686,0.000103691,3.235982442,4.928e-06,0.002897465,2.989338212,0.593285568,0.000118084,1.025682763,9.855e-06,0.00067509,0.6,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.02,204.3126,107.05247,0.0,82.96103,0.0,0.0,8.985345,0.0,0.0,109.08914,0.0,74.26591,0.0,70.97731,207.35405,81.63442
jgiraldezlevy.2200.9086.08.40.188.cnf,1.0,2200.0,9086.0,2139.0,9010.0,0.028517999,0.008435072,0.0,0.237402886,0.495009249,0.587570145,0.0,1.0,0.719047383,0.001420841,0.065694854,0.001402525,0.002337541,0.16677452,0.0,0.0,0.961931188,0.0,0.001420841,0.28977667,0.000554939,0.003440622,2.692650354,0.229856589,0.171857892,0.0,1.0,3.321773958,0.000697319,0.403775936,0.0,0.00199778,2.323952121,0.49345172,0.002461345,0.259736084,0.000776915,0.006215316,0.0,0.002123328,0.247070406,0.000554939,0.004661487,2.946326474,0.141375723,0.273210251,0.056478405,0.392857143,2.685304605,0.12,8.586061,3.5270965,0.0,26.237267,0.0,2.4568996,22.800314,0.0,-0.0033023257,0.0,28.36073,6.970437,0.0,-0.017622001,24.87269,20.988317
50bit.dimacs.cnf,1.0,1652.0,33258.0,1212.0,33258.0,0.363036304,0.0,0.06,0.03644236,0.340111385,0.665505977,0.0,1.0,2.596431127,0.005869627,0.28962086,0.001650165,0.02640264,2.0867882,0.0,0.005833183,0.045162066,0.0,0.005869627,1.043461226,0.000270612,0.029707138,5.275058921,0.082705494,0.100903041,0.0,0.785714286,2.986444923,0.000455733,0.570555406,3.0068e-05,0.001503398,3.310147696,0.103223285,0.001132609,0.418194831,0.000120272,0.003307475,0.02,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.02,25.83592,13.341881,0.0,9.935737,0.0,0.0,1.1486963,-1.6291128e-06,0.0,14.589419,-0.0012003777,9.81336,0.0,9.5375805,26.631617,10.683612
manthey_DimacsSorterHalf_31_2.cnf,1.0,5408.0,18446.0,3325.0,16597.0,0.626466165,0.111405676,0.04,0.20033741,0.291718513,1.1838714,0.0,1.0,1.371360891,0.000806704,0.475561926,0.000601504,0.010526316,1.084648601,0.0,0.590046394,0.86407182,-0.0,0.000806704,0.577754413,0.000482015,0.005904682,2.278585805,0.204181731,0.166051092,0.0,0.76744186,2.846451679,0.000515665,0.729388189,6.0252e-05,0.004277882,2.374717511,0.754112189,0.000659672,0.563261314,0.000361511,0.004579141,0.02,0.001075763,1.136955723,0.000301259,0.046755438,3.334457747,0.183665771,0.498670063,0.00257732,0.666666667,3.431354588,0.24,48.33077,24.757301,0.0,18.034472,0.0,0.0,2.881758,0.0,0.0,27.157011,0.0,18.382431,0.0,17.8688,49.293808,20.489086
manthey_DimacsSorter_28_7.cnf,1.0,3507.0,11386.0,1934.0,9560.0,0.813340228,0.191004184,0.02,0.202301255,0.284172146,1.179535,0.0,1.0,1.393070797,0.001399045,0.417356902,0.001034126,0.012926577,1.139412626,0.0,0.569769874,0.842573222,-0.0,0.001399045,0.552908934,0.000732218,0.018828452,2.505238039,0.19108068,0.157514084,0.0,0.741935484,2.916123727,0.000881387,0.676888542,0.000104603,0.013912134,2.239214556,0.744351464,0.001194546,0.503242009,0.000523013,0.012133891,-0.0,0.001907398,0.978915202,0.000523013,0.043410042,3.385022875,0.180560713,0.462952838,0.004830862,0.571428571,3.391862701,0.14,15.037857,7.875357,0.0,6.035905,0.0,-0.00025202386,0.594612,-0.0072667548,0.0,8.604335,-0.016230576,5.7567754,0.0,5.4272037,15.248525,6.1666884
manol-pipe-c10nid_i.cnf,1.0,252516.0,750877.0,41437.0,320735.0,5.093973985,1.34111338,2.18,0.129193883,0.378182019,0.695412263,0.0,1.0,1.768869107,9.4236e-05,0.378914472,4.8266e-05,0.00103772,1.618890056,0.0,0.120997085,0.469736699,0.02,9.4236e-05,2.060377199,2.1825e-05,0.01283926,2.87703743,0.169209956,0.147332625,0.0,0.970149254,2.766499788,3.3174e-05,2.417154549,0.0,0.006466397,2.519492024,0.453963552,7.6477e-05,1.80141563,1.5589e-05,0.0072708,2.1,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.02,920.3925,469.5587,0.0,338.81277,0.0,0.0,57.26809,0.0,0.0,511.1177,0.0,347.0008,0.0,340.50845,938.9813,389.94238
aaai10-planning-ipc5-pathways-13-step17.cnf,1.0,25631.0,142227.0,19609.0,125436.0,0.307103881,0.133861093,0.32,0.156326732,0.492501641,0.971825608,0.0,1.0,1.063923398,0.000115817,0.870155665,0.000101994,0.002498853,0.451639991,0.0,0.900546892,0.96437227,0.02,0.000115817,0.643262268,1.5944e-05,0.000502248,2.558747946,0.388239479,0.29470842,0.0,1.0,2.829980806,9.2742e-05,0.846492059,0.0,0.000454415,2.634664388,0.906366593,0.000285871,0.778945828,1.5944e-05,0.000597914,0.46,0.00013936,1.387792175,1.5944e-05,0.006186422,2.770122457,0.237121714,0.54302217,0.00990099,0.714285714,2.989128206,1.88,78.1104,30.395458,0.0,266.9906,0.0,35.94826,255.92369,0.0,0.0,0.0,315.7045,82.55837,0.0,0.0,257.72867,230.0539
