@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE DIA NUMERIC
@ATTRIBUTE LOBJOIS NUMERIC
@ATTRIBUTE BASE NUMERIC
@ATTRIBUTE UNIT NUMERIC
@ATTRIBUTE SP NUMERIC
@ATTRIBUTE LS NUMERIC
@ATTRIBUTE LP NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
size_5_5_5_i019_r12.cnf,1.0,0.41,2.0,2.81,0.01,0.19,5.14,?,0.5693856929999583
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,1.0,0.08,2.0,1.4,0.03,0.07,5.51,?,0
170058440.cnf,1.0,0.01,2.0,0.01,0.0,0.0,6.27,?,0.2916401070015126
w19-5.1.cnf,1.0,6.44,2.0,26.08,0.06,4.77,4.46,?,0
vlsat2_32480_4362044.dimacs.cnf,1.0,?,4.07,?,?,?,?,?,326.97615099900577
g2-hwmcc15deep-6s33-k34.cnf,1.0,10.01,2.0,1.26,0.03,0.69,5.09,?,0
vlsat2_30195_3855554.dimacs.cnf,1.0,10.03,3.5,?,?,?,9.58,?,290.38262781900085
grain-53-80-0s0-seed-125-8-init-35.cnf,1.0,1.21,2.0,20.18,0.25,0.85,4.43,?,0
6g_6color_366_040_04.cnf,1.0,10.15,2.52,48.05,9.71,17.46,10.65,?,47.34601728100097
fclqcolor-20-15-12.cnf.gz.CP3-cnfmiter.cnf,1.0,10.01,2.0,44.94,4.46,?,4.3100000000000005,?,0
ex051_9-sc2018.cnf,1.0,10.02,2.0,22.189999999999998,0.27,6.1,4.66,?,0
size_4_5_5_i037_w31_r9.cnf,1.0,0.14,2.0,1.27,0.0,0.1,5.3100000000000005,?,0.5401666920001844
4g_5color_170_050_05.cnf,1.0,10.01,2.12,28.72,8.84,10.72,6.49,?,22.338281906999327
DLTM_twitter454_70_12.cnf,1.0,10.01,2.0,2.6,0.01,0.44,4.92,?,3.2556411550031044
TT7F-34-25.cnf,1.0,10.14,2.12,44.56999999999999,3.83,?,9.68,?,0
TT7F-33-24B.cnf,1.0,10.11,2.03,50.15,3.3,48.81,8.84,?,0
course0.2_2018_3_5.cnf,1.0,10.03,2.01,?,6.29,9.46,5.07,?,150.14139031000013
Timetable_C_241_E_34_Cl_16_S_12.cnf,1.0,10.01,2.02,31.0,0.05,7.01,4.84,?,67.48400971000228
DLTM_twitter845_79_18.cnf,1.0,10.01,2.0,8.55,0.03,1.34,4.62,?,6.931044144000225
ctl_4291_567_11_unsat.cnf,1.0,10.01,2.01,20.650000000000002,0.27,5.38,4.8100000000000005,?,7.085093983005208
logistics-unsat-logistics-rotate-11t5.sat05-1141.reshuffled-07.cnf,1.0,10.02,2.02,22.31,4.15,4.22,4.6,?,0
size_5_5_5_i059_r12.cnf,1.0,0.42,2.0,2.81,0.01,0.18,5.21,?,0.5857740829960676
newpol6-8.cnf,1.0,10.01,2.0,22.53,6.05,2.41,4.43,?,0
PRESENT_round_1-32_faultAt_30_fault_injections_10_seed_1579630418.cnf,1.0,10.01,2.0,7.6899999999999995,0.0,0.69,4.890000000000001,?,0
170055892.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.1899999999999995,?,0.321413321998989
vlsat2_21114_2240429.dimacs.cnf,1.0,10.01,3.0,47.06,?,23.45,6.98,?,151.0191907660046
schur-triples-7-60.cnf,1.0,10.01,2.0,21.14,1.48,2.99,4.54,?,0
6g_6color_366_050_04.cnf,1.0,10.41,3.02,58.589999999999996,16.08,23.18,12.61,?,59.36639986299997
combined-crypto1-wff-seed-18-wffvars-450-cryptocplx-40-overlap-2.cnf,1.0,0.96,2.0,20.119999999999997,0.02,0.62,4.68,?,0
gto_p60c241.cnf,1.0,0.0,1.84,0.02,0.0,0.0,3.13,?,0.2035208769993914
53-131220.cnf,1.0,10.01,2.04,23.42,1.95,7.02,5.23,?,0
ctl_4291_567_6_unsat_pre.cnf,1.0,10.01,2.0,20.540000000000003,0.15,3.4,4.82,?,5.892254559999856
ncc_none_7047_6_3_3_0_0_420.cnf,1.0,?,?,?,?,?,?,?,1034.414689097997
ncc_none_5047_6_3_3_3_0_435991723.cnf,1.0,10.11,4.93,?,1.92,22.6,9.059999999999999,?,694.8372128620031
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,1.0,0.99,2.0,20.09,0.02,0.64,4.65,21.81,0
combined-crypto1-wff-seed-12-wffvars-450-cryptocplx-40-overlap-2.cnf,1.0,0.99,2.0,20.119999999999997,0.03,0.69,4.59,?,0
4g_6color_182_100_02.cnf,1.0,?,?,?,?,?,?,?,197.0933992360005
b2005-p2-14x14c17h9-Ser4-0.cnf,1.0,?,?,?,?,?,?,?,0
170105432.cnf,1.0,0.01,2.0,0.01,0.0,0.0,6.3,?,0.4111692259975825
baseballcover12with24_and2positions.cnf,1.0,?,?,?,?,?,?,?,57.50835577199905
full-bf-ga-6-ce.cnf,1.0,1.44,2.0,19.799999999999997,0.35,0.22,5.0600000000000005,?,0
LABS_n038_goal002.cnf,1.0,10.01,2.0,20.75,0.44,5.2,4.4,?,13.119382390999816
velev-dlx-uns-1.0-05.cnf,1.0,10.09,2.32,?,?,27.57,9.21,?,0
VanDerWaerden_pd_2-3-26_635.cnf,1.0,0.55,2.0,20.12,0.04,2.91,4.29,?,0
Kittell-k7.cnf,1.0,10.02,2.0,22.23,13.75,5.98,4.99,?,0
dislog_a11_x11_n21.cnf,1.0,9.22,2.0,5.5,0.0,0.47,5.01,?,2.254266996000297
w19-8.0.cnf,1.0,10.01,2.0,28.689999999999998,0.02,5.3,4.52,?,0
abw-Q-494_bus.mtx-w208.cnf,1.0,10.4,2.0,?,0.11,16.07,6.63,?,0
sted3_0x1e3-147.cnf,1.0,1.24,2.0,20.180000000000003,0.08,0.41,4.83,?,0
bv-term-small-rw_848.smt2.cnf,1.0,1.77,2.0,1.32,0.13,0.18,5.37,?,0
170059722.cnf,1.0,0.01,2.0,0.01,0.0,0.0,6.26,?,0.291951668998081
fsf-300-354-2-2-3-2.23.opt.cnf,1.0,0.77,2.0,1.06,0.01,0.09,5.8100000000000005,21.29,0
size_4_5_5_i003_w31_r9.cnf,1.0,0.16,2.0,1.28,0.0,0.1,5.32,?,0.3528271390005102
preimage_80r_490m_160h_seed_6.cnf,1.0,10.01,2.0,17.93,0.03,1.64,4.6,?,10.53713880899886
gto_p50c314.cnf,1.0,0.01,2.0,0.06999999999999999,0.01,0.01,5.699999999999999,?,0.2537052039988339
Steiner-27-10-bce.cnf,1.0,0.0,0.88,0.05,0.0,0.01,3.05,?,0
abw-V-nos6.mtx-w220.cnf,1.0,10.3,2.18,?,0.07,40.82,10.19,?,0
bv-term-small-rw_503.smt2.cnf,1.0,1.45,2.0,4.41,0.07,0.13,5.289999999999999,?,0
mrpp_8x8#16_12.cnf,1.0,8.82,2.0,14.540000000000001,0.0,1.66,5.09,?,1.9213412119997884
iffyInterleavedModMult-8.smt2.cnf,1.0,0.52,2.0,2.26,0.04,0.12,5.18,?,0
ps_300_312_20.cnf,1.0,10.16,2.09,?,0.23,11.05,7.01,?,252.12271671100092
01-integer-programming-5-10-100.cnf,1.0,10.01,2.0,4.75,0.39,2.3,4.5,?,0
schup-l2s-bc56s-1-k391.cnf,1.0,10.04,2.0,52.56,17.31,8.46,5.08,?,0
Kakuro-easy-126-ext.xml.hg_7.cnf,1.0,11.6,2.0,?,1.5,?,?,?,0
Timetable_C_466_E_50_Cl_31_S_28.cnf,1.0,10.09,2.12,77.31,0.86,10.58,6.67,?,135.26947207100056
TT7F-33-24A.cnf,1.0,10.04,2.12,41.32000000000001,3.73,48.82,8.969999999999999,?,0
lang28.cnf.gz.CP3-cnfmiter.cnf,1.0,?,?,?,?,?,?,?,0
TT7F-34-27.cnf,1.0,10.1,2.0,40.269999999999996,2.49,28.42,6.9,?,0
bv-term-small-rw_1159.smt2.cnf,1.0,1.66,2.0,6.199999999999999,0.12,0.14,5.26,?,0
sted4_0x1e3-124.cnf,1.0,0.72,2.0,15.62,0.08,0.33,4.82,?,0
size_5_5_5_i260_r12.cnf,1.0,0.57,2.0,3.5,0.01,0.22,5.07,?,0.6748271380001825
ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_31944661.cnf,1.0,10.01,2.0,23.540000000000003,0.35,3.12,4.58,?,0
combined-crypto1-wff-seed-108-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.72,2.0,20.080000000000002,0.03,0.48,4.71,?,0
60-129673.cnf,1.0,10.02,2.08,23.22,1.93,6.81,5.15,?,0
rbsat-v760c43649g8.cnf,1.0,0.94,2.0,20.16,2.4,1.36,4.43,?,0
w19-20.0.cnf,1.0,10.01,2.0,31.47,0.03,5.77,4.55,?,0
LABS_n071_goal001-sc2013.cnf,1.0,10.02,2.03,34.41,5.37,6.64,4.5,?,0
SAT_dat.k80.cnf,1.0,10.01,2.0,21.03,0.48,5.51,5.09,?,6.870546922000358
Timetable_C_392_E_62_Cl_26_S_28.cnf,1.0,10.15,2.01,67.62,1.1,9.2,6.4,?,131.73669734100258
vlsat2_34161_4607712.dimacs.cnf,1.0,?,4.48,?,?,?,?,?,343.8880786989976
w15.cnf,1.0,0.91,2.0,12.48,0.02,0.46,4.4399999999999995,?,0.7329799449998973
ps_200_305_70.cnf,1.0,10.04,2.01,?,0.13,8.73,5.98,?,79.60832330700214
mulhs16.smt2.cnf,1.0,0.83,2.0,0.46,0.06,0.12,5.51,?,0.5351592760052881
TT7F-34-24D.cnf,1.0,10.07,2.18,52.370000000000005,5.03,?,11.29,?,0
Steiner-45-16-bce.cnf,1.0,0.0,1.83,0.48,0.0,0.1,5.609999999999999,?,0
sv-comp19_prop-reachsafety.queue_longer_false-unreach-call.i-witness.cnf,1.0,?,?,?,?,?,?,?,0
Kakuro-easy-132-ext.xml.hg_9.cnf,1.0,10.39,2.12,?,4.53,?,38.22,?,0
DLTM_twitter799_70_12.cnf,1.0,10.01,2.0,4.12,0.02,0.65,4.69,?,4.207371132000844
combined-crypto1-wff-seed-132-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.71,2.0,20.150000000000002,0.02,0.48,4.73,?,0
newpol6-6.cnf,1.0,10.01,2.0,21.310000000000002,4.8,1.51,4.49,?,0
preimage_80r_492m_160h_seed_136.cnf,1.0,10.01,2.0,16.81,0.1,1.56,4.62,?,12.852597608999986
abw-X-can__715.mtx-w103.cnf,1.0,11.48,3.38,?,5.37,?,15.21,?,0
sgen4-unsat-89-1.cnf,1.0,0.0,0.71,0.0,0.0,0.0,1.6,?,0
preimage_80r_495m_160h_seed_379.cnf,1.0,10.01,2.0,17.17,0.06,1.6,4.640000000000001,81.28,12.61752247500408
vlsat2_35929_5082743.dimacs.cnf,1.0,?,?,?,?,?,?,?,379.6215382339997
size_5_5_5_i053_r12.cnf,1.0,0.4,2.0,2.81,0.01,0.18,5.18,?,0.8894875009973475
sted1_0x0-649.cnf,1.0,10.01,2.0,20.94,0.37,1.65,4.6899999999999995,?,0
preimage_80r_490m_160h_seed_150.cnf,1.0,10.01,2.01,17.19,0.05,1.59,4.68,?,11.302733575001184
