@RELATION FEATURE_VALUES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC

@DATA
size_5_5_5_i019_r12.cnf,1,12.329743,4.837072,-0.0,43.87517,-0.0,5.879869,42.37672,-0.0,-1.6336509e-07,-0.0,51.80753,14.183571,-0.0,-6.144605e-07,41.625713,37.558308
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
170058440.cnf,1,10.257397,4.0437627,-0.0,35.46166,-0.0,4.3577876,33.547985,-0.0,-6.690513e-05,-0.0,40.764812,11.161964,-0.0,-7.0877795e-05,33.25081,29.653242
w19-5.1.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
vlsat2_32480_4362044.dimacs.cnf,1,453.00583,235.7212,-0.0,185.80849,-0.0,-0.0,20.288618,-0.0,-0.0,235.7304,-0.0,161.29182,-0.0,157.42276,454.23508,178.57224
g2-hwmcc15deep-6s33-k34.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
vlsat2_30195_3855554.dimacs.cnf,1,430.2051,223.57979,-0.0,175.16426,-0.0,-0.0,19.60893,-0.0,-0.0,224.90791,-0.0,153.76668,-0.0,150.22566,432.17874,170.53642
grain-53-80-0s0-seed-125-8-init-35.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
6g_6color_366_040_04.cnf,1,1204.6565,624.8316,-0.0,485.50018,-0.0,-0.0,56.72822,-0.0,-0.0,633.1096,-0.0,431.75226,-0.0,423.79944,1212.9906,479.76135
fclqcolor-20-15-12.cnf.gz.CP3-cnfmiter.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ex051_9-sc2018.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
size_4_5_5_i037_w31_r9.cnf,1,11.101039,4.3439674,-0.0,39.24145,-0.0,5.0897985,37.700916,-0.0,-4.9488367e-06,-0.0,45.884777,12.659998,-0.0,-8.816753e-06,36.97254,33.28618
4g_5color_170_050_05.cnf,1,476.2055,244.57103,-0.0,180.9258,-0.0,-0.0,26.145185,-0.0,-0.0,260.23462,-0.0,176.471,-0.0,173.48027,485.76126,197.66058
DLTM_twitter454_70_12.cnf,1,58.210327,29.750486,-0.0,19.854982,-0.0,-0.0,4.283095,-0.0,-0.0,33.39875,-0.0,22.72809,-0.0,22.023504,58.401268,25.456001
TT7F-34-25.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
TT7F-33-24B.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
course0.2_2018_3_5.cnf,1,3627.6233,1857.806,-0.0,1353.2544,-0.0,-0.0,214.17644,-0.0,-0.0,2006.8379,-0.0,1360.5869,-0.0,1332.129,3706.8357,1524.3071
Timetable_C_241_E_34_Cl_16_S_12.cnf,1,875.12354,436.3677,-0.0,289.54208,-0.0,-0.0,69.81267,-0.0,-0.0,496.55273,-0.0,338.2083,-0.0,336.10492,881.5148,397.5882
DLTM_twitter845_79_18.cnf,1,483.2417,238.7059,-0.0,160.11638,-0.0,-0.0,39.46632,-0.0,-0.0,273.00494,-0.0,185.21416,-0.0,187.29506,486.2611,220.50507
ctl_4291_567_11_unsat.cnf,1,278.84662,145.13542,-0.0,114.29811,-0.0,-0.0,12.3792925,-0.0,-0.0,145.36865,-0.0,99.1964,-0.0,97.15608,279.99133,110.00486
logistics-unsat-logistics-rotate-11t5.sat05-1141.reshuffled-07.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
size_5_5_5_i059_r12.cnf,1,12.329743,4.837072,-0.0,43.87517,-0.0,5.879869,42.37672,-0.0,-1.6336509e-07,-0.0,51.80753,14.183571,-0.0,-6.144605e-07,41.625713,37.558308
newpol6-8.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
PRESENT_round_1-32_faultAt_30_fault_injections_10_seed_1579630418.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
170055892.cnf,1,9.83598,3.8994703,-0.0,33.839783,-0.0,4.112153,31.908484,-0.0,-0.0001710763,-0.0,38.74951,10.639158,-0.0,-0.00015023704,31.648586,28.180544
vlsat2_21114_2240429.dimacs.cnf,1,303.48798,157.45535,-0.0,122.28211,-0.0,-0.0,14.161069,-0.0,-0.0,159.94868,-0.0,109.191246,-0.0,106.73788,305.8704,121.29626
schur-triples-7-60.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
6g_6color_366_050_04.cnf,1,1205.3395,625.1877,-0.0,485.75873,-0.0,-0.0,56.774303,-0.0,-0.0,633.4869,-0.0,432.01132,-0.0,424.05148,1213.6705,480.0298
combined-crypto1-wff-seed-18-wffvars-450-cryptocplx-40-overlap-2.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
gto_p60c241.cnf,1,6.619277,2.7219007,-0.0,21.920595,-0.0,2.333143,20.040056,-0.0,-0.020397555,-0.0,24.3028,6.6869993,-1.6117608e-07,-0.016225059,20.21165,17.713537
53-131220.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ctl_4291_567_6_unsat_pre.cnf,1,270.83337,140.5551,-0.0,109.44053,-0.0,-0.0,12.486783,-0.0,-0.0,142.59563,-0.0,97.10842,-0.0,95.25308,273.05185,107.90421
ncc_none_7047_6_3_3_0_0_420.cnf,1,8062.3813,3394.9854,-0.0,30097.191,-0.0,4812.699,30084.879,-0.0,-0.0,-0.0,36924.285,9941.585,-0.0,-0.0,29083.8,26760.953
ncc_none_5047_6_3_3_3_0_435991723.cnf,1,6817.887,2939.4248,-0.0,25973.457,-0.0,4274.6294,26126.24,-0.0,-0.0,-0.0,31987.416,8651.229,-0.0,-0.0,25065.754,23182.33
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
combined-crypto1-wff-seed-12-wffvars-450-cryptocplx-40-overlap-2.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4g_6color_182_100_02.cnf,1,4136.9517,2145.8281,-0.0,1666.622,-0.0,-0.0,195.4561,-0.0,-0.0,2173.178,-0.0,1482.5261,-0.0,1455.1943,4164.2607,1647.2682
b2005-p2-14x14c17h9-Ser4-0.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
170105432.cnf,1,10.133554,4.000609,-0.0,35.01092,-0.0,4.292077,33.10567,-0.0,-8.904961e-05,-0.0,40.20925,11.027362,-0.0,-8.605842e-05,32.7966,29.245346
baseballcover12with24_and2positions.cnf,1,495.82864,251.36478,-0.0,179.16843,-0.0,-0.0,33.339092,-0.0,-0.0,276.73846,-0.0,188.51964,-0.0,184.76091,503.75766,213.17807
full-bf-ga-6-ce.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
LABS_n038_goal002.cnf,1,286.38837,141.29984,-0.0,92.99302,-0.0,-0.0,23.30734,-0.0,-0.0,163.05693,-0.0,110.701,-0.0,111.76481,289.65833,131.73947
velev-dlx-uns-1.0-05.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
VanDerWaerden_pd_2-3-26_635.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Kittell-k7.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
dislog_a11_x11_n21.cnf,1,95.48384,41.69518,-0.0,368.1074,-0.0,60.939594,370.8929,-0.0,-0.0,-0.0,452.8077,123.38199,-0.0,-0.0,353.89087,328.14313
w19-8.0.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
abw-Q-494_bus.mtx-w208.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
sted3_0x1e3-147.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bv-term-small-rw_848.smt2.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
170059722.cnf,1,10.363325,4.0818114,-0.0,35.837757,-0.0,4.4106846,33.91138,-0.0,-5.3110776e-05,-0.0,41.219692,11.272202,-0.0,-6.0089875e-05,33.62648,29.987797
fsf-300-354-2-2-3-2.23.opt.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
size_4_5_5_i003_w31_r9.cnf,1,11.101039,4.3439674,-0.0,39.24145,-0.0,5.0897985,37.700916,-0.0,-4.9488367e-06,-0.0,45.884777,12.659998,-0.0,-8.816753e-06,36.97254,33.28618
preimage_80r_490m_160h_seed_6.cnf,1,250.41249,101.150215,-0.0,914.3237,-0.0,139.7673,905.5938,-0.0,-0.0,-0.0,1112.4094,299.91016,-0.0,-0.0,882.1295,805.8783
gto_p50c314.cnf,1,8.755806,3.528944,-0.0,29.582891,-0.0,3.4467504,27.567049,-0.0,-0.001387803,-0.0,33.470184,9.193704,-0.0,-0.0010865637,27.523628,24.354708
Steiner-27-10-bce.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
abw-V-nos6.mtx-w220.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bv-term-small-rw_503.smt2.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
mrpp_8x8#16_12.cnf,1,79.207794,40.90597,-0.0,30.578869,-0.0,-0.0,4.080003,-0.0,-0.0,43.48163,-0.0,29.478191,-0.0,28.716536,80.90878,32.618664
iffyInterleavedModMult-8.smt2.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ps_300_312_20.cnf,1,6549.646,3386.4138,-0.0,2586.6572,-0.0,-0.0,322.43973,-0.0,-0.0,3491.3022,-0.0,2374.2688,-0.0,2331.59,6641.9946,2653.6082
01-integer-programming-5-10-100.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
schup-l2s-bc56s-1-k391.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Kakuro-easy-126-ext.xml.hg_7.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Timetable_C_466_E_50_Cl_31_S_28.cnf,1,3444.93,1703.2369,-0.0,1151.0563,-0.0,-0.0,281.35464,-0.0,-0.0,1944.4181,-0.0,1318.2142,-0.0,1328.2152,3467.6008,1568.7925
TT7F-33-24A.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
lang28.cnf.gz.CP3-cnfmiter.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
TT7F-34-27.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bv-term-small-rw_1159.smt2.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
sted4_0x1e3-124.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
size_5_5_5_i260_r12.cnf,1,19.781185,8.720913,-0.0,76.82935,-0.0,12.478073,77.12164,-0.0,-0.0,-0.0,94.02934,25.813604,-0.0,-0.0,73.49949,68.13013
ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_31944661.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
combined-crypto1-wff-seed-108-wffvars-500-cryptocplx-31-overlap-2.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
60-129673.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
rbsat-v760c43649g8.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
w19-20.0.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
LABS_n071_goal001-sc2013.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_dat.k80.cnf,1,384.7284,193.1943,-0.0,135.45625,-0.0,-0.0,27.84567,-0.0,-0.0,215.33916,-0.0,146.29457,-0.0,145.22469,389.3291,169.06058
Timetable_C_392_E_62_Cl_26_S_28.cnf,1,3426.1858,1693.0544,-0.0,1142.8583,-0.0,-0.0,280.00772,-0.0,-0.0,1934.5308,-0.0,1311.4269,-0.0,1322.5128,3450.595,1561.1183
vlsat2_34161_4607712.dimacs.cnf,1,482.78806,251.07301,-0.0,197.37643,-0.0,-0.0,21.797453,-0.0,-0.0,251.66096,-0.0,172.1473,-0.0,168.11581,484.44226,190.78015
w15.cnf,1,18.056183,9.255799,-0.0,7.9255595,-0.0,-6.1632445e-06,0.39270625,-0.0004248613,-0.0,9.724054,-0.059616096,6.3424063,-0.0,6.2389455,18.765503,7.090824
ps_200_305_70.cnf,1,4235.0327,2189.7612,-0.0,1672.4567,-0.0,-0.0,208.41777,-0.0,-0.0,2258.231,-0.0,1535.5913,-0.0,1507.6353,4295.4663,1716.0482
mulhs16.smt2.cnf,1,5.8753014,2.446633,-0.0,16.094873,-0.0,0.9569678,12.508626,-0.0,-0.0423474,-0.0,16.4094,3.6169512,-3.5804384e-05,-0.1445833,15.441673,12.177937
TT7F-34-24D.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Steiner-45-16-bce.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
sv-comp19_prop-reachsafety.queue_longer_false-unreach-call.i-witness.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
