@RELATION FEATURE_VALUES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gnn_0 NUMERIC
@ATTRIBUTE gnn_1 NUMERIC
@ATTRIBUTE gnn_2 NUMERIC
@ATTRIBUTE gnn_3 NUMERIC
@ATTRIBUTE gnn_4 NUMERIC
@ATTRIBUTE gnn_5 NUMERIC
@ATTRIBUTE gnn_6 NUMERIC
@ATTRIBUTE gnn_7 NUMERIC
@ATTRIBUTE gnn_8 NUMERIC
@ATTRIBUTE gnn_9 NUMERIC
@ATTRIBUTE gnn_10 NUMERIC
@ATTRIBUTE gnn_11 NUMERIC
@ATTRIBUTE gnn_12 NUMERIC
@ATTRIBUTE gnn_13 NUMERIC
@ATTRIBUTE gnn_14 NUMERIC
@ATTRIBUTE gnn_15 NUMERIC
@ATTRIBUTE gnn_16 NUMERIC
@ATTRIBUTE gnn_17 NUMERIC
@ATTRIBUTE gnn_18 NUMERIC
@ATTRIBUTE gnn_19 NUMERIC
@ATTRIBUTE gnn_20 NUMERIC
@ATTRIBUTE gnn_21 NUMERIC
@ATTRIBUTE gnn_22 NUMERIC
@ATTRIBUTE gnn_23 NUMERIC
@ATTRIBUTE gnn_24 NUMERIC
@ATTRIBUTE gnn_25 NUMERIC
@ATTRIBUTE gnn_26 NUMERIC
@ATTRIBUTE gnn_27 NUMERIC
@ATTRIBUTE gnn_28 NUMERIC
@ATTRIBUTE gnn_29 NUMERIC
@ATTRIBUTE gnn_30 NUMERIC
@ATTRIBUTE gnn_31 NUMERIC
@ATTRIBUTE gnn_32 NUMERIC
@ATTRIBUTE gnn_33 NUMERIC
@ATTRIBUTE gnn_34 NUMERIC
@ATTRIBUTE gnn_35 NUMERIC
@ATTRIBUTE gnn_36 NUMERIC
@ATTRIBUTE gnn_37 NUMERIC
@ATTRIBUTE gnn_38 NUMERIC
@ATTRIBUTE gnn_39 NUMERIC
@ATTRIBUTE gnn_40 NUMERIC
@ATTRIBUTE gnn_41 NUMERIC
@ATTRIBUTE gnn_42 NUMERIC
@ATTRIBUTE gnn_43 NUMERIC
@ATTRIBUTE gnn_44 NUMERIC
@ATTRIBUTE gnn_45 NUMERIC
@ATTRIBUTE gnn_46 NUMERIC
@ATTRIBUTE gnn_47 NUMERIC

@DATA
size_5_5_5_i019_r12.cnf,1,26.322098,121.95181,801.0717,320.04453,1.9455023,6.0908856,1943.2085,618.5156,0.6443314,47.76772,845.30414,358.39917,546.7425,1200.9009,19.802328,303.78827,773.01544,-0.001097318,113.65288,341.73096,-0.0022311131,279.09085,349.1476,7.3996396,-0.0015415112720802,275.3291015625,290.80126953125,638.9987182617188,29.03881454467773,102.1618423461914,2635.512451171875,2002.545654296875,1262.2845458984375,-0.0015956945717334,544.625732421875,2976.68994140625,369.5700988769531,789.5980834960938,1533.765869140625,73.00574493408203,864.9573364257812,169.27096557617188,437.1529846191406,40.17512893676758,2.1174490451812744,465.98638916015625,1094.350830078125,752.481689453125
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
170058440.cnf,1,0.012731318,0.97401017,0.53956604,0.29925245,-0.050052393,-0.07006927,1.122147,0.92173994,-0.021217119,-0.048801683,0.3364517,2.3034143,0.17488973,2.3424585,-0.044728648,0.3878656,1.1146293,-0.03917142,0.94785726,0.45541692,-0.03297107,1.2562265,0.38590825,-0.050263245,-0.0419833064079284,0.7280858755111694,0.1106695309281349,1.5580769777297974,-0.0442753694951534,-0.0381241142749786,7.671327114105225,3.115304470062256,4.274879455566406,-0.0408102720975875,0.6782525777816772,6.589576721191406,0.42173632979393,1.0261900424957275,4.41877555847168,0.2300889790058136,2.258266925811768,0.096739187836647,1.1936124563217163,-0.0387663170695304,-0.0089177619665861,0.4943376183509826,2.51010799407959,2.5624337196350098
w19-5.1.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
vlsat2_32480_4362044.dimacs.cnf,1,2.7284179e+19,4.4615428e+22,1.7776562e+23,6.9937484e+22,-0.0013519364,563547800000000.0,6.781822e+22,2.0615652e+23,-0.0011976424,-0.0031381939,1.3795385e+22,1.9149457e+20,1.9712283e+22,1.338533e+20,2.1617974e+22,1.1013725e+22,7.588751e+22,0.000718029,1.3572141e+20,1.0119015e+23,-0.006255249,3.856769e+22,1.1730446e+23,-0.0045040445,-0.0032173534855246,7.5937706325686e+22,7.563835205845469e+22,61755.4765625,-0.0024803054984658,2.04611022210728e+17,2.852755749915056e+20,3.4303140787057905e+20,2.039508747422165e+20,0.0006764539284631,1.3510271960955086e+23,1.7317503058893372e+21,3.12337649561067e+22,1.7778499961000317e+23,3.041295014702122e+22,2.4300365243378764e+22,1.2886952155248798e+23,6.588585660497978e+22,5.963504778452402e+19,-0.0042025623843073,2361879557046272.0,1.0676577351656027e+23,1.4441355155116917e+20,1.7430102197514378e+20
g2-hwmcc15deep-6s33-k34.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
vlsat2_30195_3855554.dimacs.cnf,1,1.5949663e+19,2.6015086e+22,1.0365348e+23,4.077981e+22,-0.0013212255,407663970000000.0,3.9544235e+22,1.2020746e+23,-0.001170358,-0.0030564705,8.0434965e+21,1.11977184e+20,1.1493786e+22,7.826623e+19,1.2605399e+22,6.4222473e+21,4.4249875e+22,0.00071639806,7.9362855e+19,5.900245e+22,-0.0060923444,2.2488328e+22,6.8399167e+22,-0.0043824827,-0.003123756730929,4.427894567994361e+22,4.410439516558598e+22,68833.7890625,-0.0024059873539954,1.3546392994080358e+17,1.668064164686877e+20,2.005741953684792e+20,1.1925719170058446e+20,0.0006656944751739,7.877704574675801e+22,1.009482771268771e+21,1.8212047986328395e+22,1.0366501815151794e+23,1.7734075328376028e+22,1.417000427036859e+22,7.514292907784617e+22,3.841709193015556e+22,3.4868592349334733e+19,-0.004090609960258,1699765116993536.0,6.225407730427455e+22,8.444175414138293e+19,1.019165651205106e+20
grain-53-80-0s0-seed-125-8-init-35.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
6g_6color_366_040_04.cnf,1,-2.6256706e-05,42695293000000.0,169723870000000.0,66572350000000.0,-4.658348e-05,-1.3501735e-05,64534620000000.0,196826520000000.0,-5.3013504e-05,-6.913126e-06,12946096000000.0,36.090332,18593744000000.0,161.80852,20644199000000.0,10423784000000.0,72584770000000.0,9.692486e-06,-5.7027282e-05,96576440000000.0,-1.5417958e-05,37069863000000.0,112219290000000.0,-3.802475e-06,4.788845672010211e-06,72712261206016.0,72364628901888.0,69.66024017333984,-8.39790232021187e-07,0.9272323846817015,207.70584106445312,90.13639831542967,78.01795959472656,-2.954083356598857e-05,129094276612096.0,936606367744.0,29842923847680.0,169702210928640.0,28846778744832.0,23616276135936.0,123263413911552.0,62840853495808.0,62.05096054077149,-4.895224265055731e-06,2.08829783332476e-06,101843128549376.0,14.90881633758545,143.6377716064453
fclqcolor-20-15-12.cnf.gz.CP3-cnfmiter.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
